tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
521183,MUSA KAYA,2018,Hemorajik inme - iskemik inme ayırıcı tanısında hematolojik parametrelerin ve CRP\'nin yeri<br><span style='font-style: italic';>The role of haematological parameters and CRP for differentiation of hemorrhagic and ischemic stroke,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('p3M1GrttjeK-zqVNDXNCFg','LfHnFSa4-F9wIA8tZssCYQ')"
484903,ERTUNÇ ÇİNPOLAT,2018,"Tiroidin benign ve malign neoplazmlarının ayırt edilmesinde HBME-1, galektin-3, CK-19, emerin, CD56 ve caveolin-1\'in ekspresyon profilleri<br><span style='font-style: italic';>The expression profiles of HBME-1, galectin-3, CK-19, emerin, CD56 and caveoline-1 for di̇sti̇ngui̇shi̇ng beni̇gn and mali̇gn neoplasms of the thyroi̇d",Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('k_56RsiVKppBdWVEPqLv_w','1jXSo_rMnc1ifcmy2o1L3w')"
493437,YUNUS MURAT AKCABELEN,2018,Ailesel akdeniz ateşi hastalığında elektroensefalografik değerlendirme<br><span style='font-style: italic';>Electroencephalographical evaluation in children with familial Mediterranean fever,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('p_-c_oZf7xzNGwK2UHiQ4Q','KRspEfA5dL2jTelR3lPRGQ')"
440442,HÜSEYİN DURSİN,2016,Alt ektremite deneysel iskemi/reperfüzyon modelinde gelişen reperfüzyona bağlı iskelet kas hasarına ketoprofen\'in etkilerinin araştırılması<br><span style='font-style: italic';>Investigating the effects of ketoprofenon reperfusion related skeletal muscle injury which occurred in lower extremity experimental ischemia/reperfusion model,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('doNvr3s-WOURf1zQNjsKtw','efIYO_IciwDVqm1J5oODlA')"
242996,AYŞEGÜL SOLMAZ TUNCER,2009,Kronik viral hepatit olgularında viral yük ve hepatik doppler ultrasonografi bulguları arasındaki ilişkinin incelenmesi<br><span style='font-style: italic';>Inspecting the relationship between the viral load in chronic hepatities cases and the observation of hepatic doppler ultrasound,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('L5-BHCRnw2M1JhU7gZykJw','PxoXkviaxksoedrO_h712g')"
384474,MEHMET ÖZYAŞAR,2014,Prehipertansif ve hipertansif hastalarda serum omentin düzeyi ilişkisinin incelenmesi<br><span style='font-style: italic';>Analysis of the relationship between serum omentin level in patients with prehypertension and hypertension,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('dDLCA_yIo2pj9Bejw3q1jw','w7Uxcl171MmKPVd4MiIZnA')"
502329,YILDIRAY KILIÇCIOĞLU,2018,Travmatik beyin hasarı oluşturulan ratlarda tiyopental ve propofol infüzyonunun serebral etkilerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the serebral effects of thiopental and propofol infusion in the rats creating traumatic brain damage,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('ARMTvW0OIcN275mJy4SHFg','E7YRC9RzHqbMupfXcmLNUw')"
502362,ORHAN YAZAR,2018,Vitamin b12 eksikliğinin hemogram parametrelerine etkisinin retrospektif incelenmesi<br><span style='font-style: italic';>Retrospective analysis of the effect of vitamin b12 deficiency on hemogram parameters,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('aHTGJIOlijyZViwiHCsxOg','bJSPvlrdbX2X-o_qSgncFQ')"
156940,AŞKIN ONUR,2004,Merkezi görme tarayıcısı(Central vision screener (CVS)) ile görme taraması ve sonuçların med lab 750 otomatik perimetre bulgularıyla karşılaştırılması<br><span style='font-style: italic';> ,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('et2cylaJEaQkAIRhzpQ2vg','zdzXN45KRRZwS1f4GTEHfg')"
247858,ALİ SARPKAYA,2010,"Kronik hipertansif olgularda, perioperatif deksmedetomidin kullanımının stres yanıt ve hemodinami üzerine etkileri<br><span style='font-style: italic';>The effect of perioperative use of dexmedetomidine on hemodynamic parameters and surgical response in chronic hypertensive patients",Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('wUg8LUX6C7V7ZxYq-L9yAg','D3Vj17PuoCuH-Yr1nROKng')"
384476,ÖZLEM BUCAK,2014,"Bolu ilinde borrelia burgdorferi sensu lato seroprevalansının araştırılması<br><span style='font-style: italic';>Seroprevalence of borrelia burgdorferi sensu lato in province of Bolu,Turkey",Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('K9t8Vb9CMzi0sLFbnbqheg','VRx3gMesx7BWwpMIxP-c1Q')"
384478,ADEM SOYDAN,2014,Tek taraflı ambliyop olgularda maküla ve retina sinir lifi tabakası kalınlığının optik koherens tomografi ile değerlendirilmesi<br><span style='font-style: italic';>Evalution of macular and retinal nerve fiber layer thickness using optical coherence tomography in cases with unilateral amblyopia,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('DedQo5zZ-25eoU_rbQtNmw','OqqrTNaFPPPfRtFKLMF_zg')"
132272,SEVİM MAKARÇ,2003,Romatizmal hastalıklarda tiroid fonksiyonları ve tiroid fonksiyonlarında romatolojik semptom ve bulgular<br><span style='font-style: italic';>,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('wE3oYDDYiykOreA8iDGJWQ','BckW51GzL-d7zecCm1uyiw')"
360155,ÖZGÜR İKİZ,2014,Mezenter iskemi reperfüzyon hasarında likopenin etkisi<br><span style='font-style: italic';>The effects of lycopene in mesenteric ischemia reperfusion injury,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('Xz9Wk_c7tWk3pTlP-6tq4Q','xch4HF3czUOKRjvBmWJFHQ')"
236625,CANAN TURGUT YOLCU,2009,Kronik öksürük nedeni ile müracaat eden hastaların önceki tanı ve tedavileri ile son tanı ve tedavilerinin karşılaştırılması<br><span style='font-style: italic';>To compare the diagnosis and treatment regimens of children with chronic cough before and after admission to clinic,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('0xJY4bfdqaamNK-XxjKeng','A1_Ys3Ukv_Jcr6luhbAmzA')"
466281,FATMA AKDAĞ KAHVECİOĞLU,2017,"Dipper ve nondipper hipertansiyon hastalarında kronoterapi, 24 saatlik idrarda sodyum ve serum ürotensin 2 düzeyi bakılması<br><span style='font-style: italic';>Chronotherapy i̇n di̇pper and nondi̇pper hypertensi̇on pati̇ents, researchi̇ng sodi̇um i̇n 24 hours uri̇ne and serum urotensi̇n ii levels",Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('ZxBkT4_LS207BS8u4vq7jQ','T7d3pp9HxUGFb4ZcW9qN-g')"
365948,SELÇUK ÖZTÜRK,2014,Kronik kalp yetmezliği hastalarında ivabradin tedavisinin atriyal ileti sürelerine etkisinin değerlendirilmesi<br><span style='font-style: italic';>The effect of ivabradine treatment on atrial conduction times in patients with chronic heart failure,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('xAY8O8sv261Vmt2zrCoHZw','hwh9CSF9KyVql1bTl42C6w')"
330064,SEVİM KARAÇAY,2012,Bolu İl Merkezi\'nde helicobacter pylori seroprevalans çalışması<br><span style='font-style: italic';>Seroprevalance of helicobacter pylori in the centre of Bolu,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('I6HkO5fApJaeHKfE-DSwkA','_qwuTo_n8U7wFs68HFDFzA')"
360154,ESMA ÖZMEN,2014,Bolu il merkezi ̓ nde (Araştırılmamış) dispepsi prevalansı: Populasyona dayalı çalışma<br><span style='font-style: italic';>The prevalence of dyspepsia in the city of bolu (Uninvestigated): A population-based study,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('P9Kj_sdu0tuEHrAnIi7r-A','RbmvFayV1PhNiAUak5Es4Q')"
447340,ENGİN KESGİN,2016,"Septoplasti ameliyatlarında nöromüsküler bloğun geri döndürülmesi için kullanılan neostigmin ve sugammadeksin bis değerleri, postoperatif bulantı-kusma ve derlenme üzerine etkilerinin araştırılması<br><span style='font-style: italic';>Investigation of effects of Neostigmin and Sugammadex, used for reversing of neuromuscular block, on BIS values, postoperative recovery and nausea-vomitting in septoplasty surgeries",Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('5EYilN_gQTZPaDS33xLJGw','8XjuNq-QGrRBTMywJOwJgw')"
482949,YASİN DURUKAN,2017,Ratlarda oluşturulan iskemi reperfüzyon modellerinde astaksantinin etkisinin biyokimyasal ve histopatolojik bulgular ile değerlendirilmesi<br><span style='font-style: italic';>Evaluation of astaxanthin effect with biochemical and histopathological findings in ischemia / reperfusion models created in the rats,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('LOKywH_iaG5n3TglzdUmeQ','-V3pvmCuAFTmUPH5BEvYJw')"
242992,NURAN PARLAK,2009,"Pirolizidin alkaloidinin neden olduğu hepatotoksisitede nükleer faktör kappa B inhibitörü Pirolidin Ditiyokarbamat\'ın koruyucu etkinliğinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of protective efectiveness of pyrrolidine dithiocarbamate, inhibitor of nf?b on pyrrolizidine alcaloids induced hepatotoxicity",Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Eczacılık ve Farmakoloji = Pharmacy and Pharmacology," onclick=tezDetay('bu0K2otySD6J2Ak1e9I27w','p_C-VJRIPsRYyN9GPzCukA')"
330068,HAKAN BAYIR,2012,Abant İzzet Baysal Üniversitesi Sağlık Araştırma ve Uygulama Merkezinde açık kalp cerrahisinde malnütrisyon oranları ve ilişkili risk faktörlerinin araştırılması<br><span style='font-style: italic';>Investigation of malnutrition rates in open heart surgery and related risk factors in Abant İzzet Baysal Üniversity of Health Research and Application Center,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('tvAPWm6yFSMP-4dWn6V9Eg','tCwCV7tjV4d4NlhJYPBefg')"
353893,YASİN YÜCEL BUCAK,2012,Deneysel kornea damarlanması modelinde Siklosporin A\'nın etkinliğinin incelenmesi<br><span style='font-style: italic';>Investigation of the effect of Cyclosporine A in an experimental model of corneal neovascularization,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('Jf2VC2lZj2ho9wPVb5XUAQ','YR9_wY5QS3vR9-AKPGYjyg')"
203166,BEKTAŞ KORKMAZ,2008,Unilateral migrenli hastalarda ense sempatik deri yanıtları<br><span style='font-style: italic';>Sympathetic skin response from neck area in patients with unilateral migraine,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('IO_IFjOZVmHZer04PF9DLg','fksB2ES3mgu3qCQKRmosBQ')"
408367,İSTEMİHAN ÖZTÜRK,2015,"Trombositten zengin plazmanın etkinliğinde donörün, trombosit sayısının ve konsantrasyonun öneminin fibroblast hücre kültürü üzerinde incelenmesi<br><span style='font-style: italic';>Evoluotion of the importance of the donor, platelet count and concentration on PRP efficacy on fibroblast cell culture",Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('DTF6lVPTJ005SfNgaYQjJA','c_LcrKA_vyLEfcgSH8fWhA')"
433310,BENGÜ ALTUNAY TUMAN,2016,Psoriasis hastalarında serum oksitosin düzeyleri ve psikometrik değişkenlerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of serum oxytocin levels and psychometric variables in patients with psoriasis,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('oV9Swvmtb10F69p-ApMZHQ','gRv4OlfZVNFXuOAtGJ4icw')"
203167,VİLDAN TÜRKELİ,2008,Tiroidektomi sonrası serum kalsiyum düzeylerinin araştırılması<br><span style='font-style: italic';>Study of serum calcium level after thyroidectomy,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('M-jkMARxKcMfEvDeyf2vmA','YQxglK0E4RAN9GHF2RZhSQ')"
396392,HİLAL ÇAĞLAR,2015,"Kas iskelet sistemi hastalıklarında fizik tedavi ve balneoterapinin erken dönem depresyon, anksiyete, yaşam kalitesi ve ağrı skorlarına etkinliğinin değerlendirilmesi<br><span style='font-style: italic';>Early physical therapy and balneotherapy in diseases of the skeletal system nov depression, anxiety, quality of life and pain scores evaluation of the effectiveness of",Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('V9zroONPBjIPr25m_H5y0w','nmYPLe_Vxus2dvorqFAFIw')"
384472,ŞERİF YAVUZ,2014,Trombositten zengin plazmanın hızlı ve yavaş doku genişletme üzerine etkilerinin incelenmesi<br><span style='font-style: italic';>Effects of platelet rich plasma on fast and slow investigation of tissue expansion,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('3QNX9_plib47_m2YjVLTIw','QoW7MHrKVw-zYZWPvIbffA')"
353889,ERKAN TEZCAN,2013,Susam yağı ve nitrofurazon içeren pomad ile hazırlanan burun tamponlarının tavşanlarda mukoza değişikliklerinin histolojik ve mikrobiyolojik olarak incelenmesi<br><span style='font-style: italic';>Examination of histological and microbiological mucosal changes in rabbits using nasal tampons prepared with pomades containing sesame oil and nitrofurazone,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('fXvvXLn73jSTbbSAoGWcyA','E4NDzd8uetdBSpPA4Ymf5Q')"
157735,MUHAMMET ALİ KAYIKÇI,2004,Deneysel varikosel modelinde testiste oluşan histopatolojik değişikliklerin ve cerrahi tedavinin koruyucu etkisinin incelenmesi<br><span style='font-style: italic';> ,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('HHsdUfjdh3sQYhxqHuHiQg','RRIGnrGljPnn22ZZIBwcBg')"
299048,SELÇUK GENÇ,2011,"Alt abdominal cerrahi geçirecek olgularda bıs kontrollü minimal, düşük ve yüksek akımlı desfluran anestezisinin hemodinami ve derlenme üzerine etkilerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the effects of bıs controlled minimal, low and high flow desfluran anasthesia on hemodynamics and recovery patients undergoing lower abdominal surgery",Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('8CkbjjCN68yuUAvMzjmpUg','pInG0DJh9if1T_J9KJiRYA')"
157054,HÜSEYİN ANUL,2004,Tip 2 diabetes mellitusta oral semptom ve lezyonlar<br><span style='font-style: italic';> ,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('PWk3ZZezUKLr0xduaFkpRg','4vaX8WcZgwQzxjzpuyo2dA')"
294294,SERDAR YANIK,2012,"Abant İzzet Baysal Üniversitesi Tıp Fakültesi Patoloji Anabilim dalı arşivindeki 8 yıllık (2002-2010) tümör olgularının genel değerlendirmesi<br><span style='font-style: italic';>The analysis of 8-years data (2002-2010) of the tumor cases based on the pathology records of aibu, school of medicine",Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('xbmBy3pNLRAkx3hucPT5Gw','dc3mZz4UaCNM4u4yIyJv7w')"
431748,SÜMEYRA AĞCA,2016,Migren hastalarında retina sinir lifi ve koroid tabakası kalınlıklarının optik koherens tomografi cihazı ile değerlendirilmesi<br><span style='font-style: italic';>Evaluation of retina nerve fiber and choroid layer thicknesses in patients with migraine by using optic coherens tomography,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('ViT_kvdcn8wWMND-lxqWXg','tH5mZPQ5jWBSZxJzQJF18w')"
426566,İSMAİL ONUR,2016,"Bolu ili Doğancı Köyü erişkin nüfusta kalp ve damar hastalıkları için risk faktörleri sıklığı ve ilişkili faktörler<br><span style='font-style: italic';>Frequency of risk factors and related factors for cardiovascular diseases in adult population of Doğanci Village, in Bolu",Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('KF2YbXrgxs-LYFXq1uo76Q','u81wrrP_rcHYooAQhsXGlg')"
285792,KIVILCIM ERTÜRK,2011,Glutamat aspartat ilave edilmiş ve ilave edilmemiş kardiyopleji kullanımının miyokard koruması ve kardiyak fonksiyonlar üzerine etkilerinin karşılaştırılması<br><span style='font-style: italic';>A search about myocardial protection and effects on myocardial functions by using cardioplegia with or without glutamate aspartate,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('i4-TpWmI0UoJGUB4TSnQGw','-9oTRf5xm0ZNy2EOj7c--A')"
157781,METE ERBAŞ,2004,İzole kuzu pulmoner arterlerinde gelişen hipoksik pulmoner vazokonstriksiyonda Gi ve Gs proteinlerinin rolü<br><span style='font-style: italic';> ,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('pnGcXZ2TucE_Qmjw8uPdKg','I_9_itq7AxXETVC4A3asqw')"
353886,ERKAN YEŞİLLER,2013,Bolu\'da ilköğretim çocukları arasında aşırı kilo-obezite sıklığı ve  risk faktörlerinin belirlenmesi<br><span style='font-style: italic';>Defining risk factors and over weight-obesity prevalence among primary school students in Bolu,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('jJPxFGQ60hd2V_0Pt3T6Lg','EQrcN7GkA1GZKQ7W1SXZsg')"
453853,MESUT ORAL,2017,Parkinson hastalığında servikal vestibüler evoked myojenik potansiyeller<br><span style='font-style: italic';>Cervical vestibular evoked myogenic potentials in parkinson disease,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('93dNvYjaOt6vtgbQRZ8tBw','X48VdLgERwQmKYFAPvvq3g')"
466869,ÇAĞLAR ÇETİN,2017,Negatif kolposkopik bulguları olan hastalarda rutin servikal biyopsinin servikal intraepitelyal neoplazileri tesbit etmekteki rolü<br><span style='font-style: italic';>Role of routine cervikal biopsy in detecting cervical intraepithelial neoplasms in patients with negative colposcopic findings,Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('1-vQGN5vtG7m-8UDF-uz-g','2uDyMXDE9bqboS7DAS3vJw')"
