tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
653371,SEMİH ÖZYURT,2020,İnflamatuvar bağırsak hastalıklarında sarkopeni ve klinik tablo ile ilişkisi<br><span style='font-style: italic';>Sarcopenia in inflammatory bowel diseases and its relationship with the clinical course,Acıbadem Mehmet Ali Aydınlar Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('-YOkk7ZBPQK4duQmUQFM7w','opU6bRXQgYWJLSYdcIuilg')"
562170,GİZEM YILDIZ,2019,Türkiye acil tıp kliniklerinde ağrı yönetim pratiklerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of pain management practices in turkey\'s emergency departments,Acıbadem Mehmet Ali Aydınlar Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('SAvOcREHJD6yjbAVlEB3Og','ZLYvuc4ZbVyXbwSch-nZUg')"
538863,ŞEYMA BAHŞİ,2019,Mide kanserinde MSI-H ile MSI-H ekspresyonu sıklığı ve klinikopatolojik parametreler ve sağ kalımla ilişkisi<br><span style='font-style: italic';>The MSI-H and the MSI-H expression frequency in gastric cancer and association of clinicopathologic features and survival,Acıbadem Mehmet Ali Aydınlar Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('gnSBPNx4TywKbLGnkvVkDQ','aCxSw7YFSWKQDxc6pzyQeg')"
544193,ALIREZA MALEKPUR ALAMDARI,2019,Çoklu damar perkütan koroner girişim uygulanan hastaların bir yıllık sonuçları ve hematolojik değerler ile ilişkisi<br><span style='font-style: italic';>One-year outcomes in patients undergoing percutaneous coronary intervention for multivessels coronary artery disease and its relation with hematologic parameters,Acıbadem Mehmet Ali Aydınlar Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('RvBZtc8AHW1XufvpuYh-7g','tQ50kLUGLn9RzChUhG6jGQ')"
554215,SAVAŞ GÜNDOĞAN,2019,Over torsiyon tedaviside ovarian arter ligasyonunun etkinliğinin sıçan modeli üzerinden değerlendirilmesi<br><span style='font-style: italic';>Assessment of ovarian artery ligation efficiency for ovarian torsion treatment via rat model,Acıbadem Mehmet Ali Aydınlar Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('vetzKyM6BBYp-nC95LLpyA','JLFWzi8N-R0gzETjWJXCsA')"
554236,AYDAN ARSLAN,2019,"Radikal prostatektomili olgularda multiparametrik prostat MR ve PSMA galyum PET-BT sonuçlarını karşılaştırma, füzyon PSMA PET-MR\'ın tanıya katkısını araştırma<br><span style='font-style: italic';>Comparison of multiparametric prostate MRI and PSMA gallium PET-CT results in cases with radical prostatectomy, fusion PSMA PET-MRI contribution to diagnosis research",Acıbadem Mehmet Ali Aydınlar Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('baxLtQ1rH_4i_FrDgoam9w','TRYo2pF87HjeF6Gj_9aYVQ')"
818570,MERVE ŞEKER,2023,Elektif tek taraflı total diz protezi cerrahilerinde turnike uygulamasının kardiyak fonksiyonlar üzerindeki etkileri<br><span style='font-style: italic';>The effects of tourniquet application on cardiac functions in elective unilateral total knee replacement surgery,Acıbadem Mehmet Ali Aydınlar Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('vUC1Cuq3HKvJMV2_9tD51g','m0lREcMgFUADOEau6r9yJQ')"
813127,AYŞEGÜL GÜMÜŞLÜ,2023,İntrauterin büyüme kisitliliği olan yenidoğanlarda erken dönem gastrointestinal morbiditeler ve süt çocukluğu döneminde fonksiyonel gastrointestinal bozukluklar<br><span style='font-style: italic';>Neonatal gastrointestinal morbidities and functional gastrointestinal disorders of infancy in newborns with intrauterine growth restriction,Acıbadem Mehmet Ali Aydınlar Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('KDoXPXCUCnizAxiMKrEtyw','87l26xmsylJWyyyXoNrk6Q')"
883872,MUSTAFA ENES MISIR,2023,Meme kanserli hastalarda neoadjuvan kemoterapi sonrası mr incelemede radyolojik ve patolojik yanıtın karşılaştırılması ve patolojik yanıtı etkileyen olası parametreler açısından tedavi öncesi MR inceleme ile değerlendirilmesi<br><span style='font-style: italic';>Comparison of radiological and pathological response in breast cancer patients after neoadjuvant chemotherapy on mr imaging and evaluation of pre-treatment MR for potential parameters influencing pathological response,Acıbadem Mehmet Ali Aydınlar Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('oJMXXoeVqa8iQVQdabUZdw','iJ0xi_R198mvbjA1YCpK2Q')"
870620,BENGİSU GÜNER YILMAZ,2024,Yenidoğan ve çocuk yoğun bakım ünıtesinde hızla kötüleşen kritik yenidoğan ve süt çocuklarında hızlı yeni nesil dizileme ile genetik tanı<br><span style='font-style: italic';>Genetic diagnosis through rapid next generation sequencing for acutely deteriorating critically ill newborn and infant patients in neonatal and pediatric intensive care units,Acıbadem Mehmet Ali Aydınlar Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('yKeCn_vjdgpUgqEpt4ODQQ','hwWQjhLhiP-EdkO0eOWmQQ')"
