tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
203265,ABDURRAHMAN YETER,2008,Raloksifen ve risedronatın serum biyokimyasal belirteçleri üzerine olan etkilerinin karşılaştırılması<br><span style='font-style: italic';>The effect of raloksifen and risedronate therapy on serum biochemical markers,Afyon Kocatepe Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('ODn5XiLRLuRKO0Y49fV9pQ','7fWiSx4iIrf769vSg1-olA')"
260286,ALPER YAMAN,2010,Hemodiyaliz sürelerinin serum asimetrik dimetil arjinin düzeyleri ve endotelial markırlar üzerine etkisi<br><span style='font-style: italic';>The effects of hemodialysis treatment duration on the serum asymmetric dimethylarginine levels and endothelial markers,Afyon Kocatepe Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('YQB-qDcluA0MxQxttpyfRA','tzAEhAvAk0szSlL5y9xk1Q')"
336636,MESUT ŞAN,2011,Kronik böbrek yetmezliğinde endotel disfonksiyonu ve fibroblast growth faktör 21 ile ilişkisi<br><span style='font-style: italic';>Endothelial dysfunction in cronic kidney failure and its relation with fibroblast growth factor 21,Afyon Kocatepe Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('vfK1V8K3Ou_ewqriKvEEUw','86C14dBKNO2R6ahB1wZKrw')"
225860,FİLİZ SAYLAN,2008,"Sağlıklı gebelerin serum ghrelin, leptin, lipid profili ve büyüme faktörleri ile yenidoğan doğum ağırlıkları arasındaki ilişki<br><span style='font-style: italic';>Relation among serum ghrelin, leptin levels of the healthy pregnant women and the growth factors, lipid profile and neonatal birth weights",Afyon Kocatepe Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('sFwi2EowAH9tG4BH9zy-HA','OEw5_hyF8SJSdllE8NZ77w')"
225855,HASAN PUSAK,2008,Kronik bel ağrılı hastalarda kaplıca tedavilerinin yaşam kalitesi üzerine etkinliğinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the spa-balneotherapy effectiveness on quality of life in patients with low back pain,Afyon Kocatepe Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('YrtGOt3Yy7Sz-0DlWxqg-w','C2AV45b_MPTpReF8LfFXCA')"
336643,GÜLAY GÜN OR,2011,Yenidoğan sepsisinin tanı ve izleminde töllner skorlamasının CRP ve lökosit sayısı ile karşılaştırılması<br><span style='font-style: italic';>The comparison of the tollner score with crp and leukocyte count in the diagnosis and follow-up of neonatal sepsis,Afyon Kocatepe Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('WYJXJICEo-3Ol0wYyQ8c-A','Zk9YPKyg1XhXBgCynphWWw')"
508847,SUAT AKGÜR,2015,"Kan basıncı profili, arteriel stiffness ve osteoprotegerin ilişkisi<br><span style='font-style: italic';>Relationship between blood pressure profile, arterial stiffness and osteoprotegerin",Afyon Kocatepe Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('yr5_TV29vhOlvHKTwI6Hnw','8b2TLul40PU2-VYW-_bzrg')"
336642,GÜLAY GÜNGÖR,2012,Paranazal sinüs ve nazal kavite varyasyonlarının bilgisayarlı tomografi ile değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the variations of paranasal sinuses and nasal cavity by computed tomography,Afyon Kocatepe Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('36kAPqKo5PGQTSVrLbPXIQ','bV8MAesX3_5Zh0GqKQxSDw')"
464783,HALİL İBRAHİM GÜZEL,2014,İntihar girişiminde bulunan mdb hastalarında serum no-adma düzeyi<br><span style='font-style: italic';>Serum no-adma levels in patients who attempted suicide in major depressive disorder,Afyon Kocatepe Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('Htvvz9vvN8ivwBIyHssBeA','Bo_a6JQVOWm3g4xSUf17ag')"
620751,AHMET KATIRAĞ,2015,Ensefalit hastalarında diffüzyon ağırlıklı görüntülemenin önemi ve lezyon yaygınlığının manyetik rezonans görüntüleme ile topografik analizi<br><span style='font-style: italic';>,Afyon Kocatepe Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('SvwfS_i-NlqwBE_34Lregg','cYxoSwKXYd-z6Rm7ktsYrg')"
