tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
644391,HİLAL YAVUZ,2019,"Obsesif kompulsif bozukluk hastalarında çocukluk çağı travması, üst biliş ve silik nörolojik belirtiler arasındaki ilişki<br><span style='font-style: italic';>The relationship between childhood trauma, metacognition and neurological soft signs in obsessive compulsive disorder",Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('Xwg1UoQ1OPyra0tBJ3M7SA','XSBqwJ4ZUfMbbW0l3JirLw')"
710124,DOĞAN GÖRAL,2021,Dental implant cerrahisinde uygulanan sert doku ogmentasyon materyallerinin farklı uzmanlık alanlarına göre kullanım sıklığının değerlendirilmesi<br><span style='font-style: italic';>Assessment of the frequency of use of hard tissue augmentation materials applied in dental implant surgeryaccording to different speciality,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Diş Hekimliği = Dentistry," onclick=tezDetay('Kf1BIQARsdyZMjHaror4nQ','5-JPU0eCrfHEsi-vMboxtQ')"
653308,FEYZA MERVE SEKKİN SINICI,2019,Akciğer kanseri hastalarında metastaz paternleri ve prognoza etkisinin araştırılması<br><span style='font-style: italic';>Investigation of metastasis patterns and its effect on prognosis in lung cancer patients,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('SnaiUVYnIHonUAPPf9aeTA','TnlXLSGxkBqemXK0TSquQQ')"
702972,ERSİN BEŞTAŞ,2020,"Ankilozan spondilitli hastalarda kaplıca tedavisi, su içi egzersizi ve kara egzersizinin hastalık aktivitesi, semptomları, uyku kalitesi, yaşam kalitesi ve serum sklerostin seviyesi üzerine olan etkileri<br><span style='font-style: italic';>The effects of spa treatment, acuatic exercise and land exercise on disease activity, symptoms, sleep quality, quality of life and serum sclerostin level in patients with ankylosing spondylitis",Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('zb5Qvh5jcFH3lgDEgAnUxg','Y_hhzId-2kkdKk4nyqD6pg')"
703437,FEYZA ÖZKAYA,2021,Tur- P hastalarında genel ve spinal anestezide postoperatif nötrofil / lenfosit oranının karşılaştırılması<br><span style='font-style: italic';>Comparison of postoperative neutrophyl / lymphocyte ratio in general and spinal anesthesia in TURP patients,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('eeIpUpmLS4kc8Sk9f96HSw','ogr5LBgf9Nmbpc6VRYHX2w')"
710095,DERYA AKSU,2021,"Baş boyun bölgesi kutanöz skuamöz hücreli karsinomlarında tümör tomurcuklanması ve tümöre karşı lenfositik inflamatuar yanıtın değerlendirilmesi, diğer histopatolojik prognostik parametrelerle karşılaştırılması<br><span style='font-style: italic';>Evaluation of tumor budding and lymphocytic inflammatory response against tumor in cutaneous squamous cell carcinomas of the head and neck region, comparison with other histopathological prognostic parameters",Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('NTDU3RrGBHBapiKs0WND9Q','40OugV-vORmEgt8JataBKw')"
626101,ESRA ÇELİK,2020,"Ergenlerde problemli internet kullanımının uyku, fiziksel aktivite ve beslenme alışkanlıkları ile ilişkisinin araştırılması<br><span style='font-style: italic';>Investigation of problem internet use relationship with sleep, physical activity and nutrition habits in adolescents",Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('QCH8qZUH_592iHc0sgtEuw','sT-7N87luRmytHed2eJ0uQ')"
653620,TUBA YİĞİT,2020,"Pankreas adenokarsinomlarında CD4, CD8, FOXP3 3 ekspresyonlarının immünohistokimyasal olarak değerlendirilmesi ve prognostik parametrelerle karşılaştırılması<br><span style='font-style: italic';>Immunohistochemically evaluation of CD4, CD8, FOXP3  expressions in pancreatic adenocarcinomas and comparison with prognostic parameters",Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('pFsdTFmHiw6rBB6v9idaLA','cXOX3uLeDetWMCsjJitaHA')"
663515,ÖZGÜR DENİZ YILDIRIM,2020,Afyonkarahisar ili yoğun bakım ünitelerinde çalışan sağlık personelinin tükenmişlik düzeyinin sosyodemografik değişkenlerle ilişkisi<br><span style='font-style: italic';>The relationship of sociodemographic variables of healthcare personnel working in Afyonkarahi̇sar intensive care units,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('4MyY2DL6pU_Vzit2OEtEpA','IwEoMHdJGY7wjAzHW8dfmw')"
681587,BEDRİYE AÇIKGÖZ YILDIZ,2020,Tiroid fonksiyon bozukluğu ve vitamin D eksikliğinin tip 2 diabetes mellituslu hastalarda kan şeker regülasyonu üzerindeki rolü<br><span style='font-style: italic';>The role of thyroid dysfunction and vitamin D deficiency in blood glucose regulation in patients with type 2 diabetes mellitus,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('FAAzRCK47Fi_XFSu7Okj_Q','s_HXt3T8IhmKGi3c71zoHQ')"
653299,SELİN SÖYLER,2019,Spinal kord yaralanmalı hastalarda nöropatik ağrı ile serum lizofosfatidik asit ve S100 beta protein seviyeleri arasındaki ilişki<br><span style='font-style: italic';>Correlation between neuropathic pain and serum lysophosphatidic acid and s100 beta protein levels in patients with spinal cord injury,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('v5loog-5z_mUcXrmkTJ0UA','fpM_6fdJ68zHCNsST5LK3A')"
653297,ADEM GENCER,2019,Videotorakoskopi yapılan hastalarda multimedya destekli hasta eğitiminin postoperatif ağrı ve anksiyete üzerine etkisi<br><span style='font-style: italic';>The effect of multimedia supported patient trainingon postoperative pain and anxiety in patients with videothoracoscopy,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('k55Er3ENEEW0xeZ0vP6TlA','kxVvRyhOYIZ4IEvt0gK8Hg')"
653895,ALPTEKİN KÜÇÜK,2020,"Endometrium kanserli olgularda MSI (Mikrosatellit instabilite) sıklığı, klinikopatolojik özellikleri ve inflamasyon parametreleri ile ilişkisi<br><span style='font-style: italic';>Relationship with the frequency of MSİ (Microsatellite instability), clinicopathological features and inflammation parameters in endometrium cancer cases",Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('9OiqmWapvQzax3-1I8ZCxA','GrHTni-qGQHT-OZaKi10FA')"
653293,HASAN NADİR RANA,2018,Diyabetli bireylerde sms müdahalesinin hastalık algısı ve tedaviye uyuma etkisinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation the impact of sms intervention on improvement of illness perception and treatment compliance in diabetic patients,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('6BLdp_EMzPQ7oALzONDeyQ','bFlNT1LaMAH-fM4UXyJZLg')"
703452,SUNA SARI,2021,"2010-2019 yılları arasında invaziv meme karsinomlarında CD68, CD163, CD11c, CD44 ekspresyonlarının hormon reseptör, patolojik evre ve diğer prognostik parametreler ile ilişkisinin immünohistokimyasal yöntem ile değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the relation of CD68, CD163, CD11C, CD44 expressions with hormone receptor, pathological stage and other prognostic parameters in invasive breast carcinomas between 2010 and 2019 by immunohistochemical method",Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('QoEyX-tzNskb1RFSotdZxQ','Agslyv7Nc7NyJ5--GOaizA')"
702710,GONCA ÖZÇELİK,2018,İzoimmün hemolitik hastalığı olan yenidoğanlarda ivig tedavisinin uyuşmazlık tipine göre klinik seyrinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the clinical course of i̇vi̇g treatment in newborns with i̇soimmune hemolytic disease according to the type of incompatibility,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('ay-rWU77vKiuiDKgOMXoTA','XCFJyZ_xY8ZfQSvRU1F35w')"
679897,YUSUF ÖZEKE,2021,Prediyabetik hastalarda mikroalbuminüri sıklığının araştırılması<br><span style='font-style: italic';>Investigation of the frequency of microalbuminuria in prediabetic patients,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('plN28Z4OtXsjJ1l27JrY9Q','RKSJV3vjLkQZMqg2xjF8hw')"
781518,SEVNUR AYSAL SARI,2021,Hipertansiyon hastalarında laparoskopik kolesistektomi cerrahi sırasında farklı PEEP uygulamalarının optik sinir çapına etkisinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the effect of different PEEP applications on optic nerve diameter during laparoscopic surgery in hypertensive patients,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('CQyiGt_YabjSQY-JQ0uNZQ','wzIkfsVru3_gj3rLFoY_Aw')"
867368,SAMED SOLAK,2019,Postmenopozal kadınlarda pnf egzersizlerinin denge ve düşme riski üzerine etkisi<br><span style='font-style: italic';>The effect of pnf exercises on balance and fall risk in postmenopausal women,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('uZPzoW5qQf4uUe_okeMQHQ','dV-NTJVbBbOWGA0IcMm30w')"
653404,RECEP ALTIN,2020,Primer total diz artroplastisinde turnike kullanımı ile hoffa dokusunda iskemi/reperfüzyon hasarı ilişkisinin araştırılması<br><span style='font-style: italic';>A research of the relationship between the using of tourniquet in the total knee artroplasty and the hoffa\'s fat pad\'s ischemia/reperfusion damage,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('QNOvTD5_6I2okcT8mrGnig','gdnYI_vOUpaka6t6HNtqkg')"
