tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
533886,İBRAHİM BAYSAL,2019,2015-2017 yılları arasında Akdeniz Üniversitesi Hastanesine genitoüriner travma öyküsü ile başvuran çocuk olguların özellikleri<br><span style='font-style: italic';>Characteristics of children who had A History of genitourinary trauma and admitted to Akdeniz University Hospital between the years of 2015-2017,Akdeniz Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('2wiO_YXI_-erdxaKYxMd4Q','0j9APRi1foWQQ1pKdkr-8g')"
433204,ABBAS FARUK AKKURT,2015,"Tıkanma sarılığı ile başvuran pankreas kanseri hastalarında endoskopik retrograd kolanjiopankreatografi (ERCP), perkütan transhepatik kolanjiografi (PTK) ve cerrahinin morbidite, mortalite ve sağkalım üzerine etkisi<br><span style='font-style: italic';>Comparision of the effectiveness for morbidity, mortality and survival between endoscopic retrograde cholangiopancreatography ERCP), percutaneous transhepatic cholangiography (PTC) and surgery in pancreatic cancer patients admitted with obstructive jaundice",Akdeniz Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('WxVkY8ErAjDAmbwL8XLhyg','VGZ_lFluwFRaHeBjOTidrg')"
307871,HASAN KAYA,2011,N-butil-2-siyanoakrilat ile ticari siyanoakrilat\'ın yara iyileşmesi ve komplikasyonlar bakımından karşılaştırılması<br><span style='font-style: italic';>Comparison of n-butyl-2-cyanoacrylate and commercial cyanoacrylate for wound healing and complications,Akdeniz Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('AKKOJxOxUb2uuF1B7PvByA','4ODc55aHLMe0Kvy8fGC6iQ')"
433217,ONUR KUBİLAY,2015,Meme yoğunluk paterni: Toraks bt\'nin mamografi ile karşılaştırılması<br><span style='font-style: italic';>Breast density: Comparison of chest ct to mammography,Akdeniz Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('ctFLTcMW3RU5TJmgw-fZnA','kwDt9Hm7ykj6pijq90ituQ')"
307874,HAŞİM TEKŞAN,2012,Kafatası kırıklı ölüm olgularının adli tıp açısından değerlendirilmesi<br><span style='font-style: italic';>Evaluation of death cases with skull fractures from the aspect of forensic medicine,Akdeniz Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('AazhenXgw14gO8Ogj4lElg','iEqzxGN7cyATR_vjwb8a7w')"
307820,AKIN TÜTÜNCÜLER,2006,Kadın cinayetlerinin adli tıp açısından değerlendirilmesi<br><span style='font-style: italic';>Evaluation of homicides in women in point of forensic medicine,Akdeniz Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('mQBhLgQ_REC_UYHtl2wW2Q','lIWIQV8H2bN9Ga6rPrEkKg')"
555433,PARVIN TAGHIYEVA,2019,"Incidence and prevalence of ALS in Antalya, Turkey, in 2017-2018<br><span style='font-style: italic';>Antalya il merkezinde ALS insidans ve prevalans çalışması",Akdeniz Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('FX7jU64LILa0JflESHAsHA','M7H6ZxLk3EnnmfCTubINrA')"
645911,AYŞE GEREN,2020,Covid-19 pandemisinin gebe kadınlarda oluşturduğu depresyon ve anksiyetinin şiddetinin değerlendirilmesi<br><span style='font-style: italic';>Evaluate the severi̇ty of anxi̇ety and depressi̇on i̇n pregnant women duri̇ng the covid-19 pandemi̇c,Akdeniz Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('g6HXUzioRNtGUBsPU_ficQ','b4VcbgR7sKFtPh7K_f-kNQ')"
496768,ELİF NAZLI SERİN ATAŞ,2017,Hemodiyaliz programındaki kronik böbrek hastalarında fabry hastalığı prevelansının saptanması<br><span style='font-style: italic';>Determi̇ni̇ng the prevalence of fabry di̇sease among chroni̇c ki̇dney pati̇ents i̇n hemodi̇alyses programs,Akdeniz Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('wPxN3Xg4PBG4JbxgbDdNrQ','IJgaDTW8UJnEespvEVMKog')"
484685,SELİM GÜLDİKEN,2017,Diyabetik makuler ödem tedavisinde intravitreal enjeksiyon sonuçlarımız<br><span style='font-style: italic';>Results of intravitreal injection in the treatment of diabetic macular edema,Akdeniz Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('8U7nC0KX8LyPOFGOdM_TNQ','ceoZ2YsJ1t8xWxqjwwA6lA')"
