tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
629958,AYDIN SİNAN APAYDIN,2020,Deneysel siyatik sinir hasarı modelinde levetirasetam tedavisinin etkilerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the effects of levetiracetam treatment in the experimental model of sciatic nerve injury,Ankara Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('Ku8XHu5BK0gWxMJUd32Lxw','PyQfOvB4qnRLxBo9b5nAMg')"
515649,EBRU ÇETİN,2018,Hekimlerin tıp hukuku ve mevzuatlar hakkında bilgi düzeyi ve davranışları<br><span style='font-style: italic';>The level of information on doctors about Medicine law and A legislation,Ankara Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('Wrb_f7m4wRHDYeUOKbjFww','HgB_f6JyA9O6r_-of_6ctQ')"
679476,GÖKHAN SÖNMEZ,2021,65 yaş üstü PCR pozitif COVID-19 hastalarında frailty(=kırılganlık) değerlendirilmesi<br><span style='font-style: italic';>Evaluation of frailty in PCR positive COVID-19 patients over 65 years of age,Ankara Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Sağlık Eğitimi = Health Education," onclick=tezDetay('k0cHb-cRBMYVJKzF0fd9Rw','OGXWMbq6NjkmxRcirUZpIQ')"
531902,SAMET YAMAN,2018,"LDL kolesterol düzeyi 250 MG/DL ve üzerinde olan olası, muhtemel ve kesin ailevi hiperkolesterolemi hastalarında farkındalık, yeterli tedavi edilme ve tedaviye uyum oranları<br><span style='font-style: italic';>Awareness, sufficient treatment and treatment compatibility ratings in possible, probable and definite family hypercolesterolemia patients whose ldl  cholesterol level is 250 MG/DL and higher than 250 MDL",Ankara Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('QLo4kLGXgV2cYQYQYcNjBQ','Cxu70DST1qbJX9PjRSIg9g')"
607318,GAMZE AVCIOĞLU,2019,"Uyuşturucu madde analizinde tükürük, idrar, kan örneklerinde kullanılan tarama ve doğrulama yöntemlerinin laboratuvar ve klinik bakış açısından değerlendirilmesi<br><span style='font-style: italic';>The evaluation of screening and verification methods used in saliva, urine, blood samples in the drugs analysis in terms of laboratory and clinical view",Ankara Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine ; Biyokimya = Biochemistry ; Uyuşturucu Alışkanlığı ve Alkolizm = Drug Addiction and Alcoholism," onclick=tezDetay('tr2Ez8ijDwLP2-xeo4IygQ','SGk9Fa258R73wLVoyl6YNw')"
497011,HALİL İLKER YENCİLEK,2018,"Acil serviste pnömoni tanısı alan huzurevinde yaşayan hastalarda dinamik tiyol/disülfid dengesi, iskemi modifiye albumin ve ferroksidaz düzeyinin prognostik değeri<br><span style='font-style: italic';>Prognostic value of dynamic thiol/dissulfid balance, ischemia modified albumin and ferroxidase kevels at emergency service patients living in A nursing home with diagnosis of pneumonia",Ankara Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('xrIkZGNYKFfBVOBIBH3hLg','a6EizZziqRRw7VJrb4a8Eg')"
634105,ADİL EMRE GEZER,2020,Acil serviste pulmoner emboli tanısı konulan hastalarda delta nötrofil indeksinin 28 günlük mortaliteyi ve trombolitik tedavi endikasyonlarını öngörmedeki yeri<br><span style='font-style: italic';>The value of delta neutrophil index in predicting 28-day mortality and trombolytic treatment indications in patients with a diagnosis of pulmonary embolism in the emergency department,Ankara Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('o98nU3V9GSJz3mMIZvrzgA','5ZqXpVs0-yaLBN5ua8Njrw')"
680273,SEFER GEDİKTAŞ,2021,Endometrial polip oluşumuna etkili faktörler<br><span style='font-style: italic';>Factors affecting the formation of endometrial polyp,Ankara Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('m4b9KlhURZhd49wgZUuf0Q','o9lecwcHYRB0GEjZKufH8A')"
550498,CAHİT TEKE,2019,Ülkemizde günışığı yararlanma zamanına geçilen ve geçilmeyen dönemlerdeki trafik kazası başvuru sayısının ve yaralanma ciddiyetinin geriye dönük taranması<br><span style='font-style: italic';>Retrospective screening of number of traffic accident applications and injury severity in daylight savings and passed times in Turkey,Ankara Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Kazalar = Accidents ; Trafik = Traffic ; İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('-4i8ibBm1AXyB0w_kyFjxQ','yzsnNN_nykCrJ7xHE-JGDg')"
607152,AHMET RIFAT BALIK,2019,"Androgenetik alopesi olan hastalarda NF kappa B, TNF-alfa, TGF-beta, tiyoredoksin, nitrik oksit, total oksidan status (TOS), total antioksidan status (TAS) düzeyleri ve tiyol disülfid homeostazisinin araştırılması<br><span style='font-style: italic';>NF kappa B, TNF-alpha, TGF-beta, thyoredoxin, nitric oxide, total oxidan status (TOS), total antioxidant status (TAS) levels and thyol dysulfide homeostasis in the androgenetic alopecia",Ankara Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry ; Dermatoloji = Dermatology ; Genetik = Genetics," onclick=tezDetay('TxIg1StQLXiVIn_MDGV8Mw','s_o_81K2yaX--f3OnQAgvQ')"
