tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
60851,ALİ GÜÇLÜ,1988,Hemiplejik vakalarda subklinik duyu bozukluğunun araştırılmasında somatosensoriyel uyarılmış potansiyellerin değeri<br><span style='font-style: italic';>,Ankara Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('4kcb45mXojhlYawQT5_r4Q','4kcb45mXojhlYawQT5_r4Q')"
60852,FATİH KÖKEŞ,1988,Ön fossa meningiomları -Retrospektif analiz-<br><span style='font-style: italic';>,Ankara Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('tCQIkl6EZ82ewNI11RorvQ','tCQIkl6EZ82ewNI11RorvQ')"
60853,HALUK DEDA,1988,Temporal lobun seksüel fonksiyonlar üzerine etkisi<br><span style='font-style: italic';>,Ankara Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('b3RVrr3Dap1FrE4CC1e50Q','b3RVrr3Dap1FrE4CC1e50Q')"
60854,KADİR BİRLER,1988,Growth hormon adenomları ve tedavisi<br><span style='font-style: italic';>,Ankara Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('0pAvO0HvPGQVfNPXOpkDwA','0pAvO0HvPGQVfNPXOpkDwA')"
60855,ALİ RIZA ERTÜRK,1988,Hemifasial spazmı cerrahi tedavisinde mikrovasküler dekompresyon<br><span style='font-style: italic';>,Ankara Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('mxgaiTgA4ShBrknlOEElpA','mxgaiTgA4ShBrknlOEElpA')"
20205,R.YÜCEL ANADOLU,1991,Larenks kanserinde preoperatif-postoperatif dönemlerde serum ve dokuda çinko ve bakır düzeyleri ile immün yanıt değişimlerinin araştırılması<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('mcEJyJQt84t3WYCHgalO0Q','mcEJyJQt84t3WYCHgalO0Q')"
173792,ÇETİN EROL,1979,Parankimal böbrek hastalarında doku ve idrar kültürlerinin değerlendirilmesi<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology ; Parazitoloji = Parasitology," onclick=tezDetay('iyEeG06eHXeCizokm_7lxQ','cWvel9wkqTNzcZbSoNmzQg')"
173870,SOYER ŞİMŞEK,1977,Giardia lambliasisde serum immunglobulin değişiklikleri<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Parazitoloji = Parasitology," onclick=tezDetay('NFnXSMrZEMtxngcOcVqJIA','JHYNq24N0JY8JW9Ki5naKQ')"
60055,İMDAT DİLEK,1997,Allojeneik periferik kök hücre transplantasyonu sonrası hematopoietik ve T lenfositleri bazında immün yeniden yapılanmanın graft versus host hastalığı açısından değerlendirilmesi<br><span style='font-style: italic';>Evaluation of hematopoietic and immune reconstitution after allogenic peripheral stem cell transplantation in therm of graft versus host disease,Ankara Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('7tzMd4wbz1L98Pe8xApVxg','7tzMd4wbz1L98Pe8xApVxg')"
20206,RECEP ACAR,1991,"Kalp delikleri ve kapaklarının alan ve çapları ile bunların yaş, vücut alanı, ağırlık ve boy ile ilişkileri<br><span style='font-style: italic';> ",Ankara Üniversitesi,Tıpta Uzmanlık,Morfoloji = Morphology," onclick=tezDetay('cZLizA_qrvkSjPv8Q7_1mA','cZLizA_qrvkSjPv8Q7_1mA')"
20207,MELTEM KARAKAŞ,1991,Juvenil romatoid artritte otoimmunite ve immünogenetik özellikler<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Romatoloji = Rheumatology," onclick=tezDetay('02UvoJO73So9jtXIJNzJjQ','02UvoJO73So9jtXIJNzJjQ')"
173873,BAKİ KOMSUOĞLU,1978,Koroner kalp hastalarında apekskardiyogram ve sol ventrikül kinetiği<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('CDqtFdVjBQwLC0xVUh5COA','Oybi-Qp_fwSlAz43s6OAFA')"
173941,ÇETİN CAN ÇETİNKAYA,1977,"Ana çocuk sağlığı çalışmaları ve bu çalışmaların Abidinpaşa, Etimesgut ve 2 nolu Cebeci Ana Çocuk Sağlığı Merkezi örnekleri ile değerlendirilmesi üzerine görüşler<br><span style='font-style: italic';> ",Ankara Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('fOE5Xw6PgwPbxKMe30hl6Q','EVY86qSWr7nIYEPmGTj99w')"
173942,YILDIZ DİVANLI,1978,Esansiyel hipertansiyonlularda magnezyum metabolizması<br><span style='font-style: italic';>,Ankara Üniversitesi,Tıpta Uzmanlık,Fizyopatoloji = Physiopathology," onclick=tezDetay('jNfYY36CFvKZqrvHsCjvnA','zKXTAS5-8I6ROuxufADiwQ')"
61017,TANJU BAŞARIR,1987,Term ve preterm yenidoğanlarda tiroid fonksiyonlarının incelenmesi<br><span style='font-style: italic';>,Ankara Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('p8zOIyfk2qETtwY54JDywQ','p8zOIyfk2qETtwY54JDywQ')"
61019,SEVGİ BAŞKAN,1987,"Nefrotik sendromlu hastalarda plazma, kırmızı küre ve idrar çinko düzeyleri<br><span style='font-style: italic';> ",Ankara Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('29yg0uBIn4DFUqAcBU11nw','29yg0uBIn4DFUqAcBU11nw')"
174045,ŞÜKRÜ DÖVER,1976,Kolesistektomilerden sonra görülen kesi enfeksiyonlarının kökeni<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('j1dJ0mgtRqitC0OyBVgxNw','o_jxMH0ERWxjiUOjt8azsA')"
174047,İCLAL BALCI,1978,"Çeşitli besi yerlerinde Streptolysin S üretimi ve buna bazı fizik, şimik faktörlerin etkisi<br><span style='font-style: italic';> ",Ankara Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology ; Parazitoloji = Parasitology," onclick=tezDetay('yhe5vK_Yu4b1ZpNXgDk83A','rwdzvQQK1j836HsUYLvFXw')"
174048,AYSEL IŞIK,1977,Toplum içi aile planlaması çalışmaları ve bu çalışmaların sağlık ocaklarına entegrasyonu<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('kL8v7rEPFBOd-ABmuMJRxQ','8e4aFKFpUcy0J57Cp0-bcw')"
174194,HAYDAR ŞAHİNOĞLU,1980,Morfin-diazepam kombinasyonu ile halothane\'in göz içi basıncına etkilerinin karşılaştırılmalı incelenmesi<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('9fZL2DECR4yVbABAysS83g','QmstZrNZ3O4h6sllzjnuLw')"
49954,GÖNÜL ALTUN,1996,Renal transplantasyon komplikasyonlarında serum sICAM-1\'in tanıdaki değeri<br><span style='font-style: italic';>The Diagnostic value of sICAM-1\'in complications of renal transplantation,Ankara Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('G6IAjdnqF266ASCy8-SdUg','G6IAjdnqF266ASCy8-SdUg')"
174197,HAKKI AKALIN,1980,Primer akciğer kanserinde pnömonektomi sonuçlarının değerlendirilmesi<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery ; Nöroşirürji = Neurosurgery," onclick=tezDetay('e1Z-K-Xi4_hrxKWUieniQw','6Fw1AnYaAE45YcPDb4LxdA')"
174198,AYHAN GÖKLER,1980,Normal kişilerde çift ısılı kalorik uyaranla oluşan nistagmusun elektronistagmografi yardımı ile değerlendirilmesi<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('WQ5Zn6RpStTSJgpuInzDYQ','L1DemzAeDiBKzLn4iJTygA')"
174260,CANDAN TUNÇER,1980,Gebelik ile parankimal böbrek hastaları arasındaki ilişki<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('C7blCq2N_w8PCWGFOQkYAA','Ekucj7_oOuvcdsCJRe9qkg')"
174339,GÖNÜL OĞUR,1979,Kromozomal bozuklukların Giemsa bandlama yöntemleri ile incelenmesi<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('t1pxdkCl_mfS-VBvR-OWVg','7a6pmt3V80PL98KsXODzyA')"
174340,AYDIN SALDIRTAY,1979,Ankara Üniversitesi Tıp Fakültesi Psikiyatri Kliniği\'ne bir yıl içinde başvuran acil hastalar üzerine bir araştırma<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('K1nxnan9opQLFM80ODOeTA','c_-2aBF9n7pDQM5iFQJ8fw')"
174497,OYA ÖRÜÇ,1983,Bronş kanserlerinde serum kompleman (C3 ve C4) düzeyleri<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('OtVTmzXhScST0ReyYHRksw','cQkjHte74v3qa-wHRSHaLg')"
20208,ERHAN NALÇACI,1991,Kan-beyin bariyerinin yıkılışında serbest oksijen radikallerinin rolü<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Fizyoloji = Physiology," onclick=tezDetay('cUCSg6JQMm79KQzPVU_bZA','cUCSg6JQMm79KQzPVU_bZA')"
20209,F.NURHAN ÖZDEMİR,1991,Otozomal dominant polikistik böbrek hastalarında mitral kapak prolapsusu insidansı<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('DIROtTv9saTFa_vC6J__hA','DIROtTv9saTFa_vC6J__hA')"
20210,LEVENT ERTUĞRUL İNAN,1991,Multipl sklerozda HLA antijenleri<br><span style='font-style: italic';>,Ankara Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('CUlVTiGnvgDfrHmVSRLv-g','CUlVTiGnvgDfrHmVSRLv-g')"
173764,GÜZİN ÖZELÇİ,1983,Çeşitli tip anemilerde eritrosit superoksit dismutaz aktivitesi<br><span style='font-style: italic';> ,Ankara Üniversitesi,Tıpta Uzmanlık,Fizyoloji = Physiology," onclick=tezDetay('C2EHqkZxy7OKpd-hqdM-4Q','AqF5s3rW1oWLmzxU4mETkw')"
