tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
118701,MUAMMER ÖZTÜRK,2002,Experimental akut sinüzitlerde nitrik oksid(NO) etkinliğinin araştırılması<br><span style='font-style: italic';> ,Atatürk Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('zv84VQYc43zjlPNNv-t-JQ','1Tcivy_qyfFdcvBFhv9UJA')"
60785,ADNAN ÖBEK,1987,Nüksi aftlar ve Behçet hastalığında HBsAg özgüllüğü<br><span style='font-style: italic';>,Atatürk Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('L8Is-Yvk0CjuG5ugm-edGw','L8Is-Yvk0CjuG5ugm-edGw')"
413107,ALİ ÖZENCİ,1978,Yerine konmamış eski dirsek çıkıklarının cerrahi tedavisi ve sonuçları<br><span style='font-style: italic';>,Atatürk Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('kaXFfk9O4g8wVfuoDfx64w','QLConxma0yXtV8_SfYgKow')"
413110,ALİ ŞENER,1979,Yenidoğan ve prematüre bebeklerde ter ve serumda klor değerleri<br><span style='font-style: italic';>,Atatürk Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('Y5Yg9ol34xaD74U3npAnSw','OodWPs5kj6L1qRtV9HpWBQ')"
419487,ONUR DÜNDAR,2003,"Bölgemiz illerinde preeklampsi-eklampsi insidansı, illere göre dağılımı (Rakımın hellp sendromu ve eklampsi üzerine etkileri)<br><span style='font-style: italic';>",Atatürk Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('fnzTxYyFcqCbgLQllht4tw','hEG271eNQthfK4Xt-I4x3Q')"
419490,ORHAN KARASU,1974,Erzurum\'a bağlı köysel bir bölgede influenza virüslerine karşı hemoglütinasyon önlenim antikorlarının araştırılması üzerine bir çalışma<br><span style='font-style: italic';>,Atatürk Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('L_363auE53GIWRf94RKEVg','twOq62PNCYPCQ_0hz5SoVw')"
419493,OSMAN AKTAŞ,1986,Atatürk Üniversitesi Tıp Fakültesi Araştırma Hastahanesine başvuran diyareli hastalarda camphylobacter jejuni yönünden bir araştırma<br><span style='font-style: italic';>,Atatürk Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('zi0wjVOwuUDD2Nn5xlvYCQ','3KBJLw5SBi6SOZBg5OTgFg')"
310085,EMİN MURAT AKBAŞ,2012,Diyabetli hastalarda glikolize hemoglobin bilinci ve hastalığın regülasyonu ile ilişkisi<br><span style='font-style: italic';>Knowledge of glycosylated hemoglobin and relationship between blood glucose control in patients with diabetes,Atatürk Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('m3MbHoGDSz2CGh8LdLOynQ','vgxgP9gxyi46diVBA4KwrQ')"
419521,RECEP AVCI,1982,Kronik obstrüktif akciğer hastalıklarında spirometrik solunum fonksiyon test değerlerinin günlük ritmi ve kortizol sekresyonu ile ilişkisi<br><span style='font-style: italic';>,Atatürk Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('1WM4mpb_ojneXkWkqbsNFQ','z7QLl0ndrNsdBgBPSvxvuw')"
419523,M:RIFAT GİRİŞKEN,1973,Değişik yaşlardaki erkek ve dişi kobay sürrenallerinin makro ve mikro-morfolojik özellikleri ve bu bezin çeşitli bölgelerindeki alkalenfosfataz enziminin kantitatif durumu<br><span style='font-style: italic';>,Atatürk Üniversitesi,Tıpta Uzmanlık,Anatomi = Anatomy," onclick=tezDetay('bjmXSAHTuJMNdVwpREHhrA','xrM0wEUaKexMh5gkdaRr9Q')"
99056,SABAHATTİN DALGA,2000,Deneysel ekstrahepatik kolestazda soluble intercellular adhesion molecule-1 (sICAM-1) aktivitesi ve bu aktivite üzerine deksametazonun etkisi<br><span style='font-style: italic';>,Atatürk Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('TfphK-IsCvpWgoDlNJO1Zg','l2snLe2Qcz1X8r1P2iKFOg')"
260401,Y. RANA KARAOĞLU,2010,Hemiplejik hastalarda postural simetrinin sağlanmasında Biofeedback\'in etkinliği<br><span style='font-style: italic';>Comparison of effectiveness of convantional physical theraphy methods with biofeedback in providing postural symmetry in hemiplegic patients,Atatürk Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('sTvWJGdjaYNAZkcSPeaydg','aRA_50EZ0WZlURJJNmEG_g')"
49952,YILMAZ AKSOY,1996,"Mesane tümörlerinde tümör belirleyicisi olarak karsinoembriyojenik antijen, karbonhidrat antijen 19-9, beta human koryonik gonadotropin ve transferrinin kan ve idrar düzeyleri<br><span style='font-style: italic';>Blood and urine carcinoembrionic antigen, carbonhydrate antigen 19-9, beta-human chorionic gonadotropin and transferrin levels as specific markers of bladder tumors",Atatürk Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('8uExWjXkvJzHFZyOxE8ZeA','8uExWjXkvJzHFZyOxE8ZeA')"
271735,SİNAN İNCİ,2010,ST segment yükselmeli miyokard infarktüsünde primer perkütan koroner girişimin akut dönemde sol ventrikül dissenkronisi üzerine etkisi<br><span style='font-style: italic';>Effectof primary percutaneous coronary intervention on the left ventricular dyssynchronization in acute period of ST segment elevation myocardial infarction,Atatürk Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('uxLx6XedFQdXIk1BP3YohQ','G_HSVUwTVec5M9k8ON1vXw')"
