tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
523539,ALİ ŞİŞMAN,2018,İleri yaş (80 yaş üzeri) trokanterik kırığı olan hastalarda proksimal femoral nail (PFNA) uygulananlar ile hemiartroplasti yapılanların karşılaştırılması<br><span style='font-style: italic';>Comparison of hemiarthroplasty and proximal femoral nail(PFNA) applied in advanced age patients with trochantericfracture (patient over 80 years),Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('xJEf8VnuPoXGLc-AW4psxQ','2sJ8OwTW550kIXeWnD5uFw')"
689322,YAĞMUR KÖKSAL,2021,"Aydın ilinde yaşayan kadınlarda tütün kullanımı sıklığı, davranışı ve ilişkili faktörler: Kantitatif ve kalitatif bir çalışma<br><span style='font-style: italic';>Prevalence of tobacco use, behavior and related factors in women living in Aydin: Quantitative and qualitative study",Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('_eU5Jg5vgjxGBgfDWYWkcA','V2on7OFv2duzkdhjUBvVJA')"
557224,BERNA GÜNDÜZ ÇITIR,2019,Otizm spektrum bozukluğu olan çocukların  kardeşlerinde uyku bozukluğu bağlanma stili ve ebeveyn yaşam kalitesi arasındaki ilişki<br><span style='font-style: italic';>The relationship between  sleep disorder attachment style and parental quality of life in siblings of children with autism spectrum disorders,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('QVgi6gNBRb6mxLbidspRLQ','b5bXrow0dzJWv5EzTVodfQ')"
689464,MELİH AKSU,2021,Diyabetik ayak enfeksiyonuna bağlı amputasyonların mortalite üzerine etkisi<br><span style='font-style: italic';>Effect of amputations due to diabetic foot infection on mortality,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('Y1zGyM_qa-9MmVM_Pp04eQ','7xOlo7b89F_5Axm_GbLGwQ')"
655283,OĞUZHAN ZOR,2020,Tıp fakültesi öğrencilerinde nargile kullanımı ve tercih nedenleri<br><span style='font-style: italic';>Use of hookah in medical faculty students and reasons for choice,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('O9YW5oKiZj1_3FJ55PdyKQ','Nu7whLmJN4yS9aSW3iMYXQ')"
655284,ONUR ÜNSAL,2020,Fibromiyalji tanılı hastalarda geleneksel ve tamamlayıcı tıp kullanımı<br><span style='font-style: italic';>The use of complementary and alternative medicine in patients with fibromyalgia,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('tTnE67kfOaaYHCpMmTUDaQ','YRJ183rbcypc0iEFg-cPkw')"
523530,ELİF DUYGU TOPAN,2018,Malign tiroid nodüllerini belirmede dolaşımdaki mikroRNA\'lar duyarlı bir belirteç olabilir mi?<br><span style='font-style: italic';>Can micrornas in the circulation be A sensitive biomarker to identify malignant thyroid nodules?,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('Z2t2RRztPz8PaeNXHKarOg','O82DdqIeuBdwboNUGK8ndQ')"
646150,BETÜL YILMAZ,2020,Aydın ili Efeler İlçesi aile sağlığı merkezlerinde izlenen çocukların ilk bir yaşta anne sütü alma durumları ve anne tutum ve davranışlarının emzirme süresine etkisi<br><span style='font-style: italic';>Breast feeding conditions of children observed in Aydin City Efeler District family health centers in the first age and the effect of maternal attitudes and behaviors on breastfeeding duration,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('n-8NUFRn5HpxRPeJafEdcQ','OMTAaj8A-OWue3qqG6dvoA')"
633650,BESİM HACIOĞLU,2020,Çocuklarda ailevi Akdeniz ateşinde trombosit ilişkili değişkenlerin önemi<br><span style='font-style: italic';>The importance of platelet-related variables in familial mediterranean disease in children,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('Tas8kB_bQKjioVOoDFHaJw','bDkKlwC5garEZCXxeXpDiQ')"
598389,ÖNGÜN ŞAHİN,2019,Bilateral adrenal insidentalomalar MEN 1 ya da MEN 4 bileşeni olabilir mi?<br><span style='font-style: italic';>Can bilateral adrenal insidentalomas be A MEN 1 or MEN 4 component?,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('s5_xPyJNB7HaUPdk7fEgDQ','O2Rz2ClJKNXV5HJACCqcTw')"
682043,MURAT ÇAVUŞOĞLU,2021,Trafik kazalarında fiziksel etmenler ve güvenlik önlemlerinin yaralanmaya etkisi<br><span style='font-style: italic';>The effect of physical factors and safety measures on injury in traffic accidents,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('OyoswW7L1c7cj6HURF30lA','kA3l_Rs2vcjuOa2EhIgBIw')"
598622,MELİH ANDİÇ,2019,Aile hekimliği polikliniğine başvuran erişkin hastalarda birincil koruyucu sağlık hizmetleri ile ilgili bilgi düzeyi ve davranışlar<br><span style='font-style: italic';>Knowledge level and behavior of primary protective health services in adult patients applied to family medicine polyclinic,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('ROZ42mUFvQiaaZ7XlI-RBA','iUOT904eq9F9E8D5cqjngQ')"
686439,FATMA AYHAN,2021,"Aydın efeler ilçesi 65 yaş üstü bireylerde akılcı ilaç kullanımı farkındalığı, uygunsuz ilaç kullanımı ve maliyeti<br><span style='font-style: italic';>Awareness of rational use of drugs, inappropriate drug use and cost of individuals over 65 years of age in aydin efeler district",Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('NYLjMwJltEB3LhztSDln_Q','zxYzB57Tx2UXnrDtjeXUQg')"
633123,SEÇİL ASRAV ŞENTOSUN,2020,18-36 aylık çocuklarda otizm spektrum bozuklukları riskinin araştırılması: Aydın il merkezi örneği<br><span style='font-style: italic';>Risk investigation for autism spectrum disorders in children aged 18-36 months: Aydin city center sample,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('v2Ksz0d5UC1RuuGCqOcJDA','chkE6ksQRVDiyfDVE0GdvA')"
627584,BÜŞRA EKİNCİ,2020,Triple negatif meme kanserlerinde immünhistokimyasal PD-L1 ve androjen reseptörü ekspresyonlarının klinikopatolojik önemi<br><span style='font-style: italic';>Clinicopathological importance of immunhistochemical PD-L1 and adrogen receptor expressions in triple negative breast cancers,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('z5o_6cpFMQw3k1eNd6K-nw','JgMTW7sxfJmpQ0mGtfbsqA')"
548946,ÇAĞRI ÇAYLI,2019,Pnömotoraks vakalarında pnömotoraksın USG ile saptanması ve yeni bir yöntem olan doku dopplerinin pnömotoraks tanısında kullanılması<br><span style='font-style: italic';>Detection of pneumothorax with USG in pneumothorax cases and the use of tissue doppler in diagnosis of pneumothorax,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine ; İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('oQ3kwu-YlI5BwkuFXMyZdA','Kx37ZGi61YPVicZdo7qa6w')"
667555,NİLÜFER ŞALVARLI,2021,Hastayla kurulan empatik ilişki: Aile hekimlerinde tükenmişliği artırıyor mu?<br><span style='font-style: italic';>Empathic relationship with the patient: İs it increasing burnout in family physicians?,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('YpkUPyILSS6Sj7_fD6g7sQ','OSAglF0b1mv6kqbUS19lSQ')"
626933,GÜLBİN PEKER,2019,Reçetesiz ilaç kullanımı: Üniversite hastanesine başvuran            hastaların bilgi ve davranışları<br><span style='font-style: italic';>Use of non-prescribed drugs: Information and behavior of patients        admitted to university hospital,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('pU67xygbTglz3PVZm51wWg','XdpajK5aMSUyfTQFqcm0qw')"
655278,MELTEM SÜNGÜ,2020,Meme kanseri hastalarında adjuvan kemoterapinin sarkopeni üzerine etkisinin değerlendirilmesi<br><span style='font-style: italic';>The evaluation of the effect of adjuvant chemotherapy on sarcopenia in breast cancer patients,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('yRGmONnk3GHzPpYrRcDvMQ','pxD8amrWqJKGxIJ9BFARlw')"
694848,ESRA ÇELİK,2021,"İklim değişikliğinin sağlık etkileri konusunda belediyelerin bilgi düzeyi ve farkındalığının arttırılması, yerel iklim değişikliği planlamalarında iklim değişikliğinin sağlık etkileri bölümünün yer alması için bölüm yazım kılavuzu hazırlanması<br><span style='font-style: italic';>Increasing the knowledge and awareness of the municipalities on the health effects of climate change, preparing a chapter writing guide for the inclusion of the health effects of climate change in local climate change planning",Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('6n_mqe_Fj9wUxqzagvv6FQ','vIJHtR5qTG8-DgpsEVS_Mw')"
656955,ELİF SELVİOĞLU,2021,Kolistin nefropatisini önlemede Kurkumin\'in etkilerinin ratlarda araştırılması<br><span style='font-style: italic';>Investigation of the effects of curcumin in prevention of colistin nephropathy in rats,Aydın Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('cWcZJbk_mQImQ33ywI13NA','eV3Zx0066PP9VveUB70Xag')"
