tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
509190,MERVE ŞAHİN CAN,2015,Major depresyonda d vitamini düzeyleri ve d vitamini reseptör gen polimorfizmi<br><span style='font-style: italic';>Vitamin d levels and vitamin d receptor gene polymorphism in major  depression,Balıkesir Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('VkYVHde5APehX1zHIy21Cw','q-6r6-eEv7gEITUqpPcy3A')"
684885,MUHAMMET BERKAY ÖZYÜREK,2021,Yeme bozuklukları-15 ölçeğinin Türkçe geçerlilik güvenilirlik çalışması<br><span style='font-style: italic';>Validity and reliability study of the Turkish version of eating disorders-15 scale,Balıkesir Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('VrtD5ZQ-Cxrvt7ev8C3xmw','jNDfAyTxvr0KouRH28WLLw')"
581866,BETÜL TATAR,2019,Anestezi indüksiyonunda hastalarda gelişen hemodinamik değişikliklerin retrospektif olarak değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of hemodynamic changes in anesthesia induction,Balıkesir Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('GKJX-majd77v0Z7F0GHikg','PqAa6FG6MCswuDwZY0v5Xw')"
625714,BURCU CANER,2015,Kronik böbrek yetmezliği hastalarında hastanede edinilmiş anemi<br><span style='font-style: italic';>Hospital-acquired anemia in patients with chronic kidney disease,Balıkesir Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('VI-vV9pY9_GOkbwkbtL_4g','_7pHu-eH0ZbKTMaTITxRpQ')"
625728,İSMAİL ARSLAN,2016,Laparoskopik kolesistektomilerde ultrason eşliğinde oblik subkostal ve lateral yaklaşımla uygulanan transversus abdominis plan bloğun perioperatif analjezi üzerine etkileri<br><span style='font-style: italic';>The effects of ultrasound guided oblique subcostal and lateral approach transversus abdominis plane block on perioperative analgesia for laparoscopic cholecystectomy,Balıkesir Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('M12rAukmpQSp1nvO7UbG5A','yQgTqUZkPpPr8wlyNn9xzg')"
553018,TUĞBA MELİKÖYLÜ İNCE,2018,Laparoskopik cerrahilerde anestezi yönetiminde uygulanan farklı taze gaz akımlarının akciğer dinamikleri ve solunum fonksiyonları üzerindeki etkilerinin retrospektif incelenmesi<br><span style='font-style: italic';>Effects of different fresh gas flows during anesthesia management on lung dynamics and respiratory functions in laparoscopic surgery: A retrospective study,Balıkesir Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('cIMOfp90T_tWdBqxE0zgBQ','A6pX5SxLi4c7G1_2h3zRdA')"
663499,YUSUF DOĞAN,2021,"Psoriasisli hastalarda depresyon, anksiyete ve cinsel işlev bozukluğunun değerlendirilmesi ve hastalık şiddeti, tutulum yerleri ile ilişkileri<br><span style='font-style: italic';>Evaluation of depression, anxiety and sexual dysfunction in patients with psoriasis and its association with the severity of the disease and involvement sites of psoriasis",Balıkesir Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('owyPJbgkYQZfSpreOA9_kQ','nhWJb2egOvU-h618qtcZdQ')"
627253,SELİN GÜL TEZCAN,2020,"Endometriozis hastalarında genital mikrobiyota ile endometrial natural killer ve peritoneal T regulatuar hücreler arasındaki ilişki<br><span style='font-style: italic';>The relationship between genital microbiota, endometrial natural killer cells and peritoneal T regulatory cells in Endometriosis patient",Balıkesir Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('b6x0VBx8fCpty6pzZUV9Yg','hcmxnlEc0yc3qIAhliCtmw')"
674333,GÖKAY GÜVEN,2020,Modifiye –kessler suturasyon tekniği ile 4 merkezi geçişli sutur hattına dik düğümlenen suturasyon tekniğinin biyomekanik karşılaştırılması ve 4 merkezi geçişli sutur hattına dik düğümlenen suturasyon tekniği ile yapılan el  verdan zone 2 fleksör tendon  yaralanması   onarımı  sonuçları<br><span style='font-style: italic';>,Balıkesir Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('DDwL4jSETYRmA6AhgHX1GQ','QBEjn8yRrm7Q5r6or1ZAjg')"
734848,MAHMUT SERKAN SARIKAYA,2022,Total laparoskopik histerektomi ile V-NOTES histerektominin retrospektif karşılaştırılması<br><span style='font-style: italic';>Retrospective comparison of total laparoscopic hysterectomy and V-NOTES hysterectomy,Balıkesir Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('MG6fqBgvwD4lMjyvy7ZPtA','niTSD34XhUCYTQTnqJPE9g')"
