tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
602648,JEHAT KIZILKAN,2019,Alfa lipoik asit ve l-karnitinin sinerjistik etkisinin flep yaşayabilirliğini arttıran klasik yöntemlerle karşılaştırılması<br><span style='font-style: italic';>Comparison of synergistic effects of alpha lipoic acid and l-carnitine over classic methods on flap viability increasement.,Bolu Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('GKSkAgAEHZDQfaYRVmmI1w','tsERBBKbYedmxw1f20vzgQ')"
653375,OĞUZ KAYABAŞI,2021,"Sodyum glikoz ko-transporter -2 inhibitörlerinin diyabetes mellitus hastalarında aortik sertlik, diyastolik fonksiyon ve akım aracılı dilatasyon üzerine etkileri<br><span style='font-style: italic';>Effects of sodium glucose co-transporter-2 inhibitors on aortic stiffness, diastolic function and flow-mediated dilatation in patients with diabetes mellitus",Bolu Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('AlwOEY9V61NBfJbFpkavpA','eKM5uDm2u4XCfUUGWFoxTw')"
626619,DENİZ CENGİZ,2020,Polikistik over sendromlu hastalarda plazma insulin like peptide-5 (INSL5) düzeyleri ile hormonal ve metabolik parametrelerin ilişkisi<br><span style='font-style: italic';>Analysis of insulin like peptide-5 (İNSL5) levels and their association between hormonal and metabolic parameters in polycystic ovary syndrome patients,Bolu Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('ijO1KN0xnLg19535soUqRA','4Qf4oOVfORqSL2frwQEBtA')"
639319,FERİŞTE ARAS KALAY,2020,Psödoeksfoliasyon ve kuru gözün ön ve arka segment bulgularına olan etkisinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the effects of pseudoexfoliation and DRY eye on the anterior and posterior segment findings,Bolu Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('u_CVEi_lI00jG24B98556Q','paO7dweY-xOuEeKa-_GmAg')"
627252,MERVE ÖNERLİ,2020,El ve ense sempatik deri yanıtları ile kan basıncı arasındaki ilişkinin araştırılması<br><span style='font-style: italic';>Investigation of the relationship between hand and neck sympathetic skin responses with blood pressure,Bolu Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('AU70Xa5NlmPQYEJNqNlbvw','5bKXtgJ-ZG0nqlmBVa13uA')"
634338,SEMİHA AKBULUT,2020,Kronik obstrüktif akciğer hastalığı alevlenmesinde solunum kaslarının sonografik olarak incelenmesi ve alevlenmenin klinik şiddeti ile ilişkisinin değerlendirilmesi<br><span style='font-style: italic';>Sonographic examination of respiratory muscles at chronic obstructive lung disease exacerbation and evaluation of the relationship wi̇th the clinical severi̇ty of exacerbati̇on,Bolu Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('zIwYWH5WjZATtqqYlp1Qog','SfnFw-rQ7nJarAGIunOeYg')"
665748,TUĞBA ALIŞIK,2021,Tiyol-disülfit dengesi ve okside-redükte glutatyon dengelerinin inme sonrası hastalık şiddeti ve klinik prognoz ile ilişkisi<br><span style='font-style: italic';>Association of thiol-disulfide and oxidized-reduced glutathione homeostasis with severity and clinical prognosis of post-stroke patients,Bolu Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('lBGJkMmRgLASjnXW4pTeLA','0hbdGPmTCLXsfU-ABb9itA')"
608926,DİCLE AYDOĞDU OĞUZ,2019,Premenopazal kadın hastalarda obezitenin fibromiyalji üzerine etkisinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the effect of obesity on fibromialgia in premenopasal female patients,Bolu Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('dF0b7JKp1DrxRB2JndBRTg','i_lysMm2E9XECkKvjAbLgw')"
645549,ASLIHAN ÖZÇAĞLAR,2020,Diyabetik anne bebeklerinin 4-6 yaş grubunda ventriküler repolarizasyon değerleri ve insülin rezistansı<br><span style='font-style: italic';>Ventricular repolarization values and insulin resistance of diabetic mother babies in 4-6 age group,Bolu Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases ; Kardiyoloji = Cardiology ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('a1NPW2QN9tngxwOygmFCPw','vKlBiCpxiRWM1dzEqac4KA')"
516394,HAKAN SAMURCU,2018,Bolu ağır ceza ve asliye ceza mahkemeleri\'nde karara bağlanan 65 yaş ve üzeri bireylerin mağduru veya faili bulunduğu suçların analizi<br><span style='font-style: italic';>The analysis of crimes concluded in bolu heavy penalty and basis penalty court in which 65 years and older individuals are found victim or offender,Bolu Abant İzzet Baysal Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('y9KUwei8J84RBQ0A_H4ZVA','ME8nESio7__fq33PHj43xg')"
