tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
203685,ERAY ESER,2007,"Dinamik kontur tonometre, nonkontakt tonometre, tonopen ve goldmann aplanasyon tonometresi ile yapılan göz içi basıncı ölçümlerine korneal, refraktif ve biyometrik parametrelerin etkisi<br><span style='font-style: italic';>Effects of corneal, refractive and biometric parameters on intraocular pressure mesaurements with dynamic contour tonometer, noncontact tonometer, tonopen and goldmann applanation tonometer",Celal Bayar Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('X6SPwOpF4r8iHzGKn2uZdw','3vyzB_LJ957Vff1l_zdnQg')"
422891,MELİS GÜNGÖR DEMİRCİ,2016,Deneysel hayvan modelinde candida tropicalis peritonitinin tedavisinde kaspofungin ve amfoterisin b etkinliğin karşılaştırılması<br><span style='font-style: italic';>Comparison of caspofungin and amphotericin b in candida tropicalis peritonitis treatment in an experimental animal model,Celal Bayar Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('g1Z6cSPRqXolx5FASusP-g','kBZ3QElLGQFaMLLIhY32KQ')"
242038,UĞUR HEPÇİVİCİ,2009,Kronik obstrüktif akciğer hastalarında sigara içmeye devam etmenin ve hastalık şiddetinin QT dispersiyonu üzerine etkisi<br><span style='font-style: italic';>The effect of smoking on QT dispersion and disease severity in chronic obstructive pulmonary disease,Celal Bayar Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('62TpED8EW518zDwzJ40Zew','VRUVKUoeRgix7FD5Xfju7Q')"
384519,GÜVEN GÜRSOY,2014,Yüksek dereceli primer beyin tümörü (Glioblastoma multiforme) olgularında TGF-beta ailesi ve smad reseptörlerinin prognostik önemi<br><span style='font-style: italic';>The role of tgf-β and smad receptors in determining prognosis in high grade primary brain tumors (Glioblastoma multiforme),Celal Bayar Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('_DPN-mgnjRxtHLNwZEmyfA','S0XMarvdFarOvsTaENvSUw')"
242043,LÜTFİ MUTLU,2009,İntestinal iskemi reperfüzyon oluşturulan ratlarda Tadalafil\'in anastomoz iyileşmesi üzerine etkisi<br><span style='font-style: italic';>The effect of Tadalafil on the healing process of the intestinal anastomosis with ischemia and reperfusion in rats,Celal Bayar Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('SxfpT5wmwLFXs6QZjDukOg','Mk6hRlAcuZDWbHnk8ItRzA')"
352943,RAMAZAN SERDAR ARSLAN,2014,Meme kanseri cerrahisinden sonra gelişen kronik postmastektomi ağrı insidansı: Retrospektif bir çalışma<br><span style='font-style: italic';>The incidence of chronic postmastektomi pain after breast cancer surgery: A retrospective study,Celal Bayar Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('N4LDNkLPDF5zrlMPu-Bhlw','8iFYXQwzPdq9IRgtdx3IHw')"
452922,BEKİR AKKAYA,2012,Koroner yavaş akım ve anksiyete ilişkisi<br><span style='font-style: italic';>Coronary slow flow and anxiety,Celal Bayar Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('zXd8v21qeNWefrtOJC4Riw','xLK8uNHbFIm-UervKobYNg')"
229779,YUSUF ZİYA KAYA,2008,Psödoeksfolyasyon sendromlu gözlerde biyometrik değişiklikler<br><span style='font-style: italic';>The biometric changes in eyes with pseudoexfoliation syndrome,Celal Bayar Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('hxYsjTBK-Gr5NpYlQeN5MQ','EhiZUR7lV93f7u9opTNxMg')"
412524,ESAT ÇALIK,2015,Servikal kanserde hedef tedavi: SRC tirozin kinaz inhibitörleri<br><span style='font-style: italic';>Targeted treatment for cervi̇cal cancer: SRC-tyrosi̇n ki̇naz i̇nhi̇bi̇tors,Celal Bayar Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('J8MQhb-8f4zq7RWd_z9pdQ','rYZQM4yToEhWuXbfr6AbMQ')"
242137,EMİN SIR,2009,Flep yatağı izole edilmiş sıçan dorsal cilt flebi yaşayabilirliğine sildenafil sitratın etkilerinin araştırılması<br><span style='font-style: italic';>Effect of sildenafil citrate on random pattern rat dorsal skin flaps viability,Celal Bayar Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('6l7JpCayntRNX0cbiroMzQ','Q8NHoqdCjLgFvHOqML4-7g')"
