tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
118740,ABİDİN ŞEHİTOĞULLARI,2002,Akut respiratuar distress sendromunun tedavisinde pentoksifilin ve metilprednizolonun etkinliği<br><span style='font-style: italic';>,Dicle Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('KTVXkcIvLUOugvkigD8G-w','HNtNDNVRRz5M5wNOLYT7bQ')"
118741,AŞKIN ENDER TOPAL,2002,Aort cerrahisinde hipotermik retrograd venöz perfüzyon ile spinal kord korunması<br><span style='font-style: italic';> ,Dicle Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('h8lQrizGAqUELPTr10Y3WA','gohcU5SN6tWcZiSEEs90Iw')"
91605,TALAT REMZİ DEMİRKOL,2000,Hirsutismuslu hastaların tedavisinde GnRH analogları ve spironolakton\'un etkinliğinin karşılaştırılması<br><span style='font-style: italic';>The Comparison of effectiveness of GnRH analog and spironolactone therapies in hirsutismus,Dicle Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('AZ2yAK0I5bTm2NbSy1i7WQ','9aAcVlIh9W7vsy8A-AwmKg')"
248675,SERDAR AKTAŞ,2009,Yenidoğan servisinde yatarak tedavi gören yenidoğanlarda tiroid fonksiyon testlerinin retrospektif değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of thyroid function tests in newborn which is hospitalized in newborn service,Dicle Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('NUoP-SuDF6QRkdWNq3ChsQ','I-FkDGbtL_H0sngjwTC2KA')"
298951,İKNUR ŞEVİN BULUTTEKİN DAĞ,2011,Siztemik sklerozda kardiyak fonksiyonların ekokardiyografik bulguları ile serum adma düzeyleri arasındaki ilişki<br><span style='font-style: italic';>The association between echocardiographic findings of cardiac functions and serum adma levels in sustemic sclerosis,Dicle Üniversitesi,Tıpta Uzmanlık,Romatoloji = Rheumatology," onclick=tezDetay('q4rOpJq1Vd1yMzOXV1doDw','cVWyjR8nkAMhowCLPsDUeg')"
156934,MUSTAFA TEKİN,2004,Göz içi basınç yöntemlerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of IOP\'s measurements methods,Dicle Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('n7vp9xeGtyy4f6oZY7o_Cg','5R_aHPVmudrYQi2Sxkzp_g')"
49917,ALİ KEMAL UZUNLAR,1996,"Malign olmayan balgam yaymalarında sigara içenlerle içmeyenlerin sitolojik karşılaştırılması<br><span style='font-style: italic';>In nonmalign sputum, cytologic differences between smokers and nonsmokers",Dicle Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('RVTwq_wO3VZ_Mh3NffbXdQ','RVTwq_wO3VZ_Mh3NffbXdQ')"
49918,MEHMET MÜDERRİSZADE,1996,Endoskopik mide biyopsilerinde epiteliyal displazi<br><span style='font-style: italic';>Epithelial dysplasia in endoscopic gastric biopsies,Dicle Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('3bxBbnJUuqcEOZkLyDGHKQ','3bxBbnJUuqcEOZkLyDGHKQ')"
49995,SEZAİ KURT,1996,Akut karında mortaliteye etkili faktörler<br><span style='font-style: italic';>The Factors affecting the mortality on acute abdomen,Dicle Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('WQS65w8-wHrmSKl0GsEz5Q','WQS65w8-wHrmSKl0GsEz5Q')"
225281,İLKNUR DEVRAN SENCAR,2008,Postmenopozal osteoporozlu hastalarda meme ve endometrıumun ultrasonografik olarak değerlendirilmesi<br><span style='font-style: italic';>The evaluation of the breast and endometrium of postmenopausal osteoporotic patients by ultrasonography,Dicle Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('Lhv-Od5dplC-KZcft5_WqQ','1cfoAmYMmHuDt8bTZJz94w')"
90474,E. BELGİN YAŞAN,2000,Erişkin bağlılık tipleriyle psikiyatrik semptom korelasyonu<br><span style='font-style: italic';>There was corelation between adult attachment style psychiatrical semptomology,Dicle Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('g8pmc6S2m31RGa7LlYM3dw','g8pmc6S2m31RGa7LlYM3dw')"
365613,HATUN DURAN,2007,Konjenital hipertrofik pilor stenozu: 22 yıllık deneyimimiz<br><span style='font-style: italic';>Congenital hypertrophic pyloric stenosis: 22 years experience,Dicle Üniversitesi,Tıpta Uzmanlık,Çocuk Cerrahisi = Pediatric Surgery," onclick=tezDetay('p5LwpMZU4EZ3FIkEIb_6wg','sxQHEJE93gNcpqTcO_c_VA')"
91348,MUSTAFA CENGİZ,2000,İntravenöz kanulasyonda topikal lokal anestezik olarak lidokain-prilokain kremin (emla krem) kullanılması; Süre çalışması<br><span style='font-style: italic';>Time study and use of lidocain-prilocain cream (emla cream) as topikal local anesthetic in intravenous cannulation,Dicle Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('8d1-unvnKMpamxux--4mfw','8d1-unvnKMpamxux--4mfw')"
266706,SEVDET BALIK,2010,Güneydoğu Anadolu Bölgesinde çocuklarda akrep sokmalarının retrospektif incelenmesi<br><span style='font-style: italic';>,Dicle Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('NvaLDriikxWlysDfo1HwTg','u0uVhfYFvEi_sQLwUXuS-A')"
156959,ERCAN GEDİK,2004,"Laparaskopik ve konvansiyonel cerrahi yöntemlerinin , serum sitokin düzeylerine etkilerinin karşılaştırılması<br><span style='font-style: italic';> ",Dicle Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('MInnfxDK-uTvilgb_4HGVw','wlpBJMvmZDOjigwJfN5jzw')"
452812,ÖZLEM ÇETİNKAYA,2012,"Koroner arter hastalığı için risk faktörleri, istirahat EKG, eforlu EKG ve Ekokardiyografi bulguları ile miyokard iskemisi arasındaki ilişlinin Tc-99m MIBI EKG-GATED miyokard perfüzyon sintigrafisi ile araştırılması<br><span style='font-style: italic';>Investigation of the relationships between myocardial ischemia and resting ECG, exercise ECG and ECHO findings and risk factors for coronary artery disease using Tc-99m MIBI ECG-GATED myocardial perfusion scintigraphy",Dicle Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('VmRq8kMwkO8VzBrmq_il9A','Ttqct4GEc8hPgF6dKM8JPw')"
