tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
460410,TURGAY ÖZTÜRK,2017,Kütahya ili okul çocuklarında kan ağır metal ve arsenik düzeylerinin saptanması<br><span style='font-style: italic';>Determination of blood heavy metal and arsenic levels of children in Kutahya,Dumlupınar Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('IwFW2frL8Mp9-1vD3TtYsg','Jiq7eqHPQwTBW0H1coYPwQ')"
460409,NAGİHAN SÖZEN GENCER,2017,Prediyaliz hastalarında ortalama trombosit hacmi ile renal ultrasonografi bulguları arasındaki ilişki<br><span style='font-style: italic';>The relationship between mean platelet volume and renal ultrasonographic findings in pre-dialysis patients,Dumlupınar Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('kDBJCFgpaOF2EN-4Rx7B_g','Y4Sr4HH6QFw710aJMs1Cww')"
452567,MURAT POLAT,2017,"Tekrarlayan gebelik kaybında mucın-1, glikodelin-A, lokemia inhibitory factor, interlökin-15 ve granulosit colony stimulatıon faktör\'ün etkisi<br><span style='font-style: italic';>Effect of mucin-1, glycodelin-a, lokemia inhibitory factor, interleukin-15, granulocyte colony stimulation factor in recurrent pregnancy loss",Dumlupınar Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('8Mf7c6yj2neGVtq4MG3Ajw','KiKuzQGZqcigvj9HA1vQSQ')"
468943,MEHMET ÖZGEYİK,2017,Yoğun bakım ünitesinde çalışan hemşirelerde çalışma ve dinlenme zamanları arasında kalp hızı değişkenliğinin karşılaştırılması<br><span style='font-style: italic';>Comparison of heart rate variability of the nurses working in intensive care unit during working and nonworking days,Dumlupınar Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('sG6w20NELzL5vZww2n2AfQ','0HHriURUkyZ4WoQ0T73qCQ')"
851728,MEHMET TETİKOĞLU,2010,Fakoemülsifikasyon cerrahisi sonrası maküla kalınlığının optik koherens tomografi ile değerlendirilmesi<br><span style='font-style: italic';>,Dumlupınar Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('4P2l6tsZGBY8gbnMpkiOEA','zUN34jdWD_tLkCn2B-hAdA')"
445247,ONUR ERDOĞAN,2016,"Anti vasküler endotelyal büyüme faktörü bevucizumab\'ın nazal polipozis ve nazal mukoza üzerine etkileri<br><span style='font-style: italic';>The effect of bevucizumab, an antivascular endothelial growth factor over nasal mucosa and nasal polyposis",Dumlupınar Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('5CqOROGrft43PCHOHjOrhg','gptTN2veqd39zJxOMtzMHg')"
445251,SERDAR ÜÇGÜN,2016,Otoimmün tiroid hastalarında erythrovirus B19 (parvovirus B12) sıklığının araştırılması<br><span style='font-style: italic';>Investigation of Erythrovirus B19 (Parvovirus B19) frequency in autoimmune thyroid patients,Dumlupınar Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases ; Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('IP4A5tY5jqqXhyBpT2iN7w','NrLonIF0JRcz7ZH1sL3wag')"
493213,ŞÜKRAN ASLAN,2018,Yenidoğan sepsisinde serum hepsidin düzeyinin c reaktif protein ve interlökin 6 düzeyleriyle karşılaştırılması<br><span style='font-style: italic';>Comparison of serum hepsidin level with c reactive protein and interleukin 6 levels in newborn sepsis,Dumlupınar Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('ZdtgBbJwDUPlksTS2fDeUA','cGZsZAGwYUksFECJHLjfFw')"
445249,HASAN AYDIN,2016,Kafa travmalı geriatrik hastalarda prognozu etkileyen faktörlerin incelenmesi<br><span style='font-style: italic';>Investigation of the factors affecting the prognosis in elderly patients wi̇th HEAD trauma,Dumlupınar Üniversitesi,Tıpta Uzmanlık,Geriatri = Geriatrics," onclick=tezDetay('97WXO6i4Qv1jBfJ89E-atA','9jLf5LSItu2RI9kq_JjZxA')"
462361,ORÇUN KÜET,2017,Tip 2 diabetes mellituslu hastalarda tedavi şekline göre oksidatif stres durumunun ve yaşam kalitesinin karşılaştırılması<br><span style='font-style: italic';>Comparison of oxidative stress situation and quality of life according to TYPE of treatment in patients with TYPE 2 diabetes mellitus,Dumlupınar Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('dGPq1jQwVVk5QH2rOWdi8w','8-benbKBkpAXruDNX4MJYA')"
