tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
266910,SONER ÇOBAN,2010,Tıkayıcı uyku apne sendromu ile alt üriner sistem yakınmaları arasındaki ilişkinin araştırılması<br><span style='font-style: italic';>The relationship between obstructive sleep apnea syndrome and lower urinary tract symptoms,Düzce Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('kFaajzs7ICVRVSAZs3I6Gw','9KKMe27xgTXYaT8wF77QuA')"
306224,OĞUZ KÜÇÜKÇAKIR,2011,1999-2010 yılları arasında kliniğimizde takip edilen herpes zoster vakalarının retrospektif değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of the patients with herpes zoster followed in our clinic for between 1999 and 2010 years,Düzce Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('vps6_42ENVGL4ZocxaTo3w','4CRyLzaiVZ23Qh_xkAD8HA')"
340610,ÖMÜR ÖZTÜRK,2013,Sigara kullanımının nöromuskuler bloğun geri döndürülmesi üzerine etkisi<br><span style='font-style: italic';>The effect of smoking on reversing neuromuscular block,Düzce Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('26xpkctMuB2tEL7Kidw9YA','TsJoIieIq7BDL_drZDRvng')"
621451,MERVE ASLANTAŞ,2019,Sendromik olmayan obez hastalarda yeni nesil dizi analizi ile uridin difosfat glukronil transferaz  1A1 (UGT1A1) geninin araştırılması<br><span style='font-style: italic';>Investigation of uridine diphosphate glucronyl transferase 1A1 (UGT1A1) gene by next generation sequenci̇ng in non-syndromic obese patients,Düzce Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('8vdi7rYiiKa1zQMAW4w-Kw','ZXIsWheVZ08qA-uq3qraZg')"
471455,FATİH GÜNEYSU,2017,Senkop ile gelen olgularda elektrokardiyografik ve ekokardiyografik özelliklerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of electrocardyographic and ecocardiographic properties in syncope cases,Düzce Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('nnPyCMRx8jnMARJHwVKYwA','1A6faVENpiBBqVZnrk_ziw')"
539086,DERYA CEBECİ,2018,"Gebe kadınlarda birinci, ikinci ve üçüncü trimesterde kulak burun boğaz değişikliklerinin araştırılması<br><span style='font-style: italic';>Investigation of ear, nose and throat changes i̇n first, second and third trimester of pregnant women",Düzce Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('SxvT0umjelwPQQrTn9OCDA','osWCWzZwVaXVWpzLQHWjHQ')"
424621,MEHMET ÇIKMAN,2016,"Düzce Üniversitesi Tıp Fakültesi Hastanesi Acil Servisi\'ne başvuran hastaların yakınlarının acil serviste yaşanan şiddet olayları konusunda davranış-tutumları ve ilişkili faktörler<br><span style='font-style: italic';>Attitudes and behaviors of patient\'s relatives, who admitted to emergency service of Duzce University Hospital, towards violence in emergency service and related factors",Düzce Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('lcGDwJYC-T-_I8kG48K6WA','B6XaSM1QGk0-x2FEYhyyKQ')"
282070,MUHİTTİN PEKUZ,2011,Metabolik sendrom ve insülin direnci olan hastalarda ortalama trombosit hacmi düzeyi<br><span style='font-style: italic';>Mean platelet volume levels in patients with metabolic syndrome and insülin resistance,Düzce Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('bAia2DtlZ_K4lal6go2F7A','_9wRh9qPQWOBUqE8i2CsSg')"
544593,GİZEM DEMİR ŞENOĞLU,2018,Sepsis hastalarında sıvı mönitörizasyonu yöntemlerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of volume monitoring methods in sepsis patients,Düzce Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('SoFfm9DO5ie8Lccqp3hPyA','sFvLpC-CqIndT3IBIRjP9A')"
489984,İLYAS PEKTAŞ,2017,"Düzce ili çiftlik köyü erişkin nüfusta kalp ve damar hastalıkları için risk faktörleri sıklığı ve ilişkili faktörler<br><span style='font-style: italic';>Frequency of risk factors and related factors for cardiovascular diseases in adult population of çiftlik village, in Düzce",Düzce Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('tY6nJCdyGWGwNiJuVcfW1A','CCk9Wh9J0Ts9VacH0LOCEw')"
236575,ŞAHNUR YILDIZBAŞ GÜLER,2009,Uyarılmış işitsel beyin sapı cevaplarının klinik standardizasyonu<br><span style='font-style: italic';>Clinical standardisation of auditory brainstem evoked responses,Düzce Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('Zc-HFdyWovQ7RJwevWdidQ','VoOKgOR9A87Jxnfduc0oJQ')"
242285,ARİF ASLANER,2008,Karnitinin böbrek soğuk iskemi hasarında koruyucu etkisi<br><span style='font-style: italic';>The effect of carnitine on kidney cold ischemic injury,Düzce Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('JtL_5RIqk9BW8O0yxuX6UQ','RXsfT4gl-zDKlG_HQ05h8g')"
406822,LEVENT YEŞİLYURT,2015,Difüzyon MRG uygulamasının prostat kanseri tanısındaki yeri<br><span style='font-style: italic';>Diffusion MRI applications i̇n the diagnosis of prostate cancer,Düzce Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('YI0Wr07cs0u1ho5Q3LkJhg','qj18bP5t2diDNb5_PRBepg')"
