tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
691294,GÖNÜL GÜLMEZ,2021,Mediastinal kitlelere yaklaşımda açık cerrahi ve vats yöntemlerinin karşılaştırılması<br><span style='font-style: italic';>Comparasion of open surgery and vats techniques in mediastinal masses,Erciyes Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('xJnJ1OqrmlvZZkLi7eKmwQ','gbmDOwOLSVJczIgRtdUJxA')"
544425,CİHANGİR ŞAHİN,2019,Pulmoner hipertansiyon tanılı pediatrik hastalarda potansiyel bir biyomarker olarak serum sistatin C düzeylerinin incelenmesi<br><span style='font-style: italic';>Evaluation of serum cystatin C as A potential biomarker in pediatric pulmonary hypertension,Erciyes Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('2LTgf5eS-VP_gHozjlYYiA','ADEt_nKBGkE7zLk_jWf8WQ')"
443740,LEYLA KARA,2016,Çocukluk çağı kanserlerinde görülen nörolojik komplikasyonlar<br><span style='font-style: italic';>Neurologic complication of children with cancers,Erciyes Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('DSgC3A2sdnX-Dt5y5IDnXA','e7qtIO73SNFkgsmhiBGuFA')"
443723,MEHMET FATİH KIRCI,2016,Cinsel istismarın çok boyutlu etkilerinin değerlendirilmesi<br><span style='font-style: italic';>The evaluation of the multidimensional effects of child sexaul abuse,Erciyes Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('UXtGyxqgIRY3apqvlaEdPg','gqoryUZade2jpGG8Soo6qg')"
510593,EMİR GÖKALP,2018,"Aort koarktasyonu tanısı konulan hastalarda tedavide ne zaman transkateter, ne zaman cerrahi ya da ne zaman kombine tedavi yapalım?<br><span style='font-style: italic';>Whıch treatment modality is betterfor patıents wıth aortıc coarctatıon; transcatheter approach, surgery or combıned therapy?",Erciyes Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('D0C9zs-OQIgTcvf_ndXOJg','R8qWUP5y_VNi-GzQyhs9mA')"
393891,SEVGİ BAYRAM,2014,"Panik bozukluk tanılı hastalar ve birinci dereceden yakınlarında anksiyete duyarlılık indeksi, aleksitimi ve yaşam kalitesi ilişkisi<br><span style='font-style: italic';>The relationship between anxiety sensitivity, alexithymia and quality of life in patients with panic disorder and their first degree relatives",Erciyes Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('w5tKkBSj8YNeqB0-xDp9yg','_DRXCORAzhKIaVpPj3-LGQ')"
487602,HATİCE NUR LALE,2018,Evlenmek için başvuran çiftlerin aile planlaması ve cinsel yolla bulaşan hastalıklar hakkındaki bilgi ve tutumları<br><span style='font-style: italic';>Knowledge and attitudes about family planning and sexually transmitted diseases of the premari̇tal couples,Erciyes Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('LYqb82Un3pbXizFjG8WcYQ','q7j7lTeVIYWat2aVOAIbxQ')"
669289,MUHAMMED BAHADIR SAMUR,2021,Ekstrakorporeal fotoferez ilişkili DNA hasarlarının araştırılması<br><span style='font-style: italic';>Investigation of extracorporeal photopheresis-related DNA damages,Erciyes Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('dD5BUiqmo4OiHxmdZK6GpA','iVQzFYtTHu7zvTNV9NFeGA')"
427206,SERKAN ÜRKMEZ,2016,ST yükselmeli akut miyokar infarktüslü hastalarda ilk 24 saat ventriküler ekstra sistol sıklığının ejeksiyon fraksiyonu değişimi ile ilişkisi<br><span style='font-style: italic';>Association between first 24-hour ventricular extrasystole frequencies with ejection fraction in patients with st-elevation myocardial infarction,Erciyes Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('fM4bJQKLZsHyyRynZpe0qA','FszPeKjgUtVfZdfGOnn8_Q')"
518573,GÖKHAN GÖKTAN,2018,"Hipertansif hastalarda fastrach laringeal maske aracılığıyla veya standart direk laringoskopi ile yapılan endotrakeal entübasyonun hemodinamik etkilerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of hemodynamic effects of intubation via fastrach laryngeal mask airway or standard, direct laryngoscopy in hypertensive patients",Erciyes Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('o6M0DBhVktCAdnPNwU-L6A','GBThe_aNhR3nYxZ5Od4mqg')"
453956,SELMA ÖZTÜRK,2017,Akromegalide immunohistokimyasal olarak östrojen reseptör seviyesi ve östrojen gen ekspresyon düzeylerinin belirlenerek klinik ile ilişkisinin değerlendirilmesi<br><span style='font-style: italic';>Clinical correlation assessment of immunohistochemically identified estrogen receptor levels and estrogen gene expression levels in acromegaly,Erciyes Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('B76z9GOdMI-sofLW-aErdA','ux3CccNbrG4ZVkBNhR2sow')"
497469,ŞEYMA GÜL YAPICI,2018,Aile hekimliğinde obezite yönetiminde altı ay sonuçları<br><span style='font-style: italic';>Si̇x month results of obesity management in primary care,Erciyes Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('cosCbaVLKkaI2jG08JF79g','a16FSkn2t6m6k1zirMllxA')"
409546,FATİH MEHMET KURT,2015,Artroskopik omuz cerrahisinde interskalen brakiyal pleksus bloğuna eklenen deksametazon ile intraartiküler uygulanan deksametazonun postoperatif analjezi üzerine etkisinin karşılaştırılması<br><span style='font-style: italic';>Comparasion of postoperative analgesic effects of intraarticular administration of dexamethasone and dexamethasone added to interscalene brachial plexus blockade in artroscopic shoulder surgery,Erciyes Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('hgdk0hJW7IKW-hcvAz9H3Q','VKuplWfrDXorKjKReQocmg')"
393862,HATİCE DURMUŞ,2015,"Tekrarlayan gebelik kaybı nedeni ile daha önce tetkik edilip, MTHFR gen polimorfizmi tespit edilen folik asit veya düşük molekül ağırlıklı heparin tedavisi alan hastaların gebeliklerinin ve gebelik sonuçlarının değerlendirilmesi<br><span style='font-style: italic';>The effect of low molecular weight heparin or oral folic acid on pregnancy outcomes in patients with recurrent pregnancy loss and MTHFR mutations",Erciyes Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('MpR_D5VicjTYjUCxIBjC8Q','yeYALpWprM3OKwOyQMJVdQ')"
