tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
478244,MUHAMMED FATİH KUZUCU,2017,"Nodüler guatr olup tiroidektomi yapılan hastalarda operasyon öncesi ultrasonografi, tiroid ince iğne aspirasyon biyopsi sonuçları ile postoperatif histopatolojik sonuçlarının karşılaştırılması<br><span style='font-style: italic';>Comparison of postoperative histopatologic results and preoperative ultrasonography, thyroid fine needle aspiration biopsy results of patients with thyroidectomy because of nodular goitre",Erzincan Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('Z2ytwuZTvckIsSWlQaDxIw','kIEmV-4SqzWAjGNpRKS2xA')"
484763,DİLA AYERDEN,2017,Kolon adenom ve adenokarsinomlarında histopatolojik bulgular ile siklin dD ve ki-67 ekspresyonunun değerlendirilmesi<br><span style='font-style: italic';>Comparison of histopathological findings of colon adenomas and adenocarcinomas with cyclin D1 and Kİ-67 expression,Erzincan Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('eVwhjAgRq1yF545_Bak-uA','TA5myATeifplpaHm0Gj5og')"
478074,GÖKHAN CEYHUN,2017,Düşük ejeksiyon fraksiyonlu kalp yetersizliği hastalarında oksidatif stres düzeyi ile epikardiyal yağ dokusu kalınlığı arasındaki ilişki<br><span style='font-style: italic';>Serum oxidative stress level correlates with epicardial adipose tissue thickness in heart failure-reduced ejection fraction patients,Erzincan Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('VXxhKa2j_8lppLaK0t_DUA','lwExleiC9UZ4Rv9CmJpkSA')"
478245,AZERHAN EZGİ KUZUCU,2017,Metabolik olarak sağlıklı ve sağlıksız obez hastalarda aort sertliği ve karotis intima media tabakasının kalınlığı<br><span style='font-style: italic';>Carotid intima media thickness and aortic stiffness in metabolically healthy and unhealthy obese patients,Erzincan Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('KvGTNZ_xo_qgkpoRriaLkg','diXiK0-f3NMQVGsseB9KSQ')"
487305,ÖMER FARUK DEMİR,2017,KOAH\'ta vitamin D eksikliği ve vitamin D eksikliğinin ataklarla olan ilişkisi<br><span style='font-style: italic';>,Erzincan Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('66HpKvgWEByO1KpDMBTOrg','AdmH8_qkhbQsEbmTdIiQtw')"
484764,FEYZA DALTABAN,2017,"Tiroid papiller karsinomları, lenf nodu metastazı ve multifokalite odaklarında klasik belirteçlerin (CK19, HBME-1, galektin-3, TTF-1) ve epcam ile pcna ekspresyonunun değerlendirilmesi<br><span style='font-style: italic';>Evaulation of pcna, epcam and classical markers (CK19, HBME-1, galecti̇n-3, TFF-1) expression in thyroid papillary carcinom, lymph node metastasis and multifocalities",Erzincan Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('iV11RTq3b6cBloxCqeQgpg','u87nnVf-8RN3BTQfFXqZiA')"
458269,SARA SALCAN,2017,Erzincan İl Merkezi\'nde öğrenim gören lise öğrencilerinde obezite prevalansı ve etkili faktörler<br><span style='font-style: italic';>The prevalence of obesity and associated risk factors in high schools students in Erzincan City Center,Erzincan Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('yU2D-dvr402SAk4kXqJK5Q','Oh_60L2X_abfYQMAVVQSjQ')"
437684,HÜNKAR AĞGÜL,2016,Postmenopozal kadınlarda tiroid volümünün kardiyovasküler risk faktörleri ve framingham risk skoru ile ilişkisi<br><span style='font-style: italic';>The association of thyroid volume with framingham risk score and cardiovascular risk factors in postmenopausal women,Erzincan Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('6FgzZdaad6KfINol5RYq0w','uAU2Xbhbp-NmXb_Xd-ZTZg')"
511047,HAKAN YURTEN,2018,"Allogreft veya otogreft kullanılarak yapılmış artroskopik önçapraz bağ rekonstrüksiyonu vakalarında klinik sonuçların mukayeseli analizi<br><span style='font-style: italic';>Comparative analysis of clinical results in cases, anterior cruciate ligament reconstructed arthroscopicly with allograft or autograft",Erzincan Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('Gctjq0VU_qm9rc7MsVwtgQ','JDpBx0PkeqUdGy59OZuwzw')"
471440,FATİH FARIZ,2017,Ortopedik enfeksiyonların tedavisinde kullanılan kemik çimentosundan antibiyotik salınımını etkileyen faktörlerin incelenmesi<br><span style='font-style: italic';>Investigation of the factors affecting antibiotic elution from antibiotic loaded bone cement,Erzincan Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('lpEADua-sffJxM5FQAjKJQ','HUZooCXIDTXARq7dflS2OQ')"
