tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
157020,NURAY YAZIHAN,2004,Eritropoietin infüzyonunun sıçan kardiyo-renal fonksiyonları üzerine etkisi; nitrik oksit ve glutamatın rolü<br><span style='font-style: italic';>The acute effects of erythropoietin infusion on rat cardio-renal functions and the renal tissue nitrite level and involvement of NMDA receptors,Eskişehir Osmangazi Üniversitesi,Tıpta Uzmanlık,Fizyoloji = Physiology," onclick=tezDetay('wUB3b6tfRHQnvH5k4ZalHw','LuJdBoXujwEWKFBGDA348A')"
157154,ESRA SIRMAGÜL,2004,Premenapozal dönemindeki fibromiyalji sendromlu kadınlarda kemik mineral yoğunluğu değişimi ve insülin benzeri büyüme faktörü (IGF 1) ile ilişkisi<br><span style='font-style: italic';>,Eskişehir Osmangazi Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('xs7kc6SrljWfHfKk3Zghpw','ckKtsE_S4SWDyDShZ0yUsg')"
157155,AYŞE EKİM,2004,Romatoid artritli hastalarda gelişen karpal tünel sendromunun tedavisinde lazerin etkinliği<br><span style='font-style: italic';> ,Eskişehir Osmangazi Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('7EpMBKrAXQR2HF_ClWUWOw','o1zpQsUnYDOCuvhvCcGWUw')"
315848,BUKET ALTUNKARA HACIOĞLU,2012,Benign ve malign plevral mezotelyal prolifrasyonların ayırıcı tanısında osteopontin ve p53\'ün tanısal değeri<br><span style='font-style: italic';>Diagnostic role of the osteopontin and p53 in benign and malignant pleural mesothelial proliferations.,Eskişehir Osmangazi Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases ; Onkoloji = Oncology ; Patoloji = Pathology," onclick=tezDetay('dIq7bYrDqtQjl7M01k-0YQ','kYgTFGSw2sIejyw9QusalQ')"
247968,ÖZGEN ÇELER,2010,Diyabetes mellituslu hastaların takibinde postprandial hiperglisemi için optimal zamanın belirlenmesi<br><span style='font-style: italic';>Determining the optimal time for postprandial hyperglycemia in the follow up of the patients with diabetes,Eskişehir Osmangazi Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('bwbfwg_30YbiB2ackvcaDg','U_HBSXxlqj67BnBbhTIAVw')"
620478,GHOLAMREZA HOSEINZADEH,2020,Parkinson hastalarında subtalamik çekirdek derin beyin stilümasyonun ameliyattan önce ve ameliyattan sonra apati üzerine etkisi<br><span style='font-style: italic';>,Eskişehir Osmangazi Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('xrpTlS0-wrde7nHkvHfpaw','KYcLAfREAYldDYY5io51TA')"
203623,ÖNDER İHVAN,2008,Septorinoplasti ameliyatı yapılan hastalarda ameliyat öncesi ve ameliyat sonrası yaşam kalitesi değişiminin araştırılması<br><span style='font-style: italic';>Assessment on QOL in septorhinoplasty patients before and after operation,Eskişehir Osmangazi Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('WoKPIwsK_FT4PNUWPgvVzQ','JDxfppB54SAvpv10u8PhmA')"
132385,BİLGEHAN GÜRBÜZ,2003,Kronik obstrüktif akciğer hastalığı olan olgularda egzersiz kapasitesinin değerlendirilmesi<br><span style='font-style: italic';>,Eskişehir Osmangazi Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('97vJAaisD3ATAUsaJacZig','8z0M5_bnaEJuu2ttUAt3fQ')"
203460,EMEL ÖZALP,2008,Postpartum kanamanın önlenmesinde prostaglandin E2 (dinoproston)\'ve oksitosin etkinliklerinin karşılaştırılması<br><span style='font-style: italic';>The comprasion of the effect of prostaglandin E2 (dinoprostone) and oxytocin in the prevention of postpartum hemorrhage,Eskişehir Osmangazi Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('hZjMHRhj7jxQcJ_M6XSlFw','-r7ZLzWEQHED1aLEZhZaJQ')"
406812,MEHMET KAYHAN,2015,"Bir ikinci basamak sağlık kuruluşunun dermatoloji polikliniğine başvuran hastaların klinik tanılarının, yaş, cinsiyet ve mevsimsel farklılıklarının aile hekimliği bakış açısı ile değerlendirilmesi<br><span style='font-style: italic';>Assesment  of clinical diagnosis, age, gender and seasonal differences of patients applying to dermatology clinic of A secondary health institute in family medicine aspect",Eskişehir Osmangazi Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('vsvf5rkvbWRvygCpGUOm4g','0nIPBSAbcyQ6r9MR4e8tTA')"
