tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
310171,MUSTAFA İKİZEK,2011,"Diyabetik ve obez olmayan hastalarda leptin, rezistin, adiponektin ve rbp-4 düzeylerinin alkol dışı karaciğer yağlanması ile ilişkisinin değerlendirilmesi<br><span style='font-style: italic';>Relationship assessment of beetween leptin, resistin, adiponectin, and non-alcoholic steatohepatitis rpb-4 in non obes and diabetic patients",Fatih Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('zru4w8U0FyDRL7Qu5Gb9sg','upgVTxkwlG0U6UaVWzYP7w')"
310179,ÖMER ÇAĞLAR YILMAZ,2011,"Kalp yetersizliği olan yaşlı hastalarda, hiperürisemi görülme sıklığı ve kalp yetersizliğinin fonksiyonel kapasitesi ile ürik asit düzeyleri arasındaki ilişkinin araştırılması<br><span style='font-style: italic';>The association between hyperuricemia and functional capacity in elderly patients with chronic heart failure",Fatih Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('8TMcDsh0w4bMI1YlhyM1ng','8tNrbqoE7SNCWLB4EGsBFQ')"
452861,ÜMMÜGÜLSÜM YAZICI,2012,Elektif sezaryen operasyonlarında intratekal hiperbarik bupivakain ve fentanilin birlikte ya da ardışık verilmesinin spinal blok üzerine etkilerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the spinal block effect of hiperbaric bupivacaine and fentanyl administered as sequentially or mixture for elective cesarian section,Fatih Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('MKR7E0TD_riDD2fyWrEUMg','xE4_8Ju_h_GOb8gr6-4_5g')"
203020,ÖZLEM KIRMEMİŞ,2007,İntrauterin büyüme geriliği olan yenidoğanlarda serum S100B protein düzeyinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of serum S100B protein in infants with intrauterine growth retardation,Fatih Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('z5FVvluv3x9Uh629QJZP0Q','9TboKyru3tBYJWrLvCsh3w')"
452849,AYŞE AKTAŞ,2012,Arteriovenöz diyaliz fistül stenozlarında perkütan translüminal anjioplastinin teknik başarısı ve anjioplasti sonrası patensiye etki eden faktörler<br><span style='font-style: italic';>Technical success of the percutaneous transluminal angioplasty and factors effecting the patency after angioplasty,Fatih Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('BNYrzHI8x2sDUpm5XzqaUA','oL39OWO06PJeGjiA5KX3zg')"
310166,FATMA TEKDEMİR,2011,Rat uterin horn adezyon modelinde postoperatif adezyonun önlenmesinde heparin ve n-asetilsisteinin değerlendirilmesi<br><span style='font-style: italic';>The comparison of heparin and n-acetylcystein in prevention of postoperative adhesion formation in rat uterin horn models,Fatih Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('neZ3cUqjvITiExdl_jDflA','Wi8yyv9TScikShK7VhFfNA')"
644444,NAZİFE YASEMİN ARDIÇOĞLU,2003,Postmenopozal Osteoporozun Tedavi Takibinde Kemik Turnover Markerlarının Rolü<br><span style='font-style: italic';>The Role of Bone Turnover Markers In the Follow up of the Treatment of Osteoporosis,Fatih Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry ; Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('7G_rWpunmIHb45UOsc6c8g','PrVPGkTBfUjv2EG-59ndjg')"
310168,ŞEYDA KUNT,2011,Anne ve baba adaylarının ebeveynliğe bakışının incelenmesi<br><span style='font-style: italic';>Evaluation of vievpoints of mother-father candidates on parenthood,Fatih Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('TuNs3LlLvBKrkEnoEDBGaA','tBDghGEnFqXbWufAYp0G6g')"
310175,MÜZEYYEN DURAN ERDOLU,2011,Deneysel olarak sigara dumanına maruz bırakılan farelerde sigara dumanı ve E vitamininin endometriyal pinopod oluşumu üzerine olası etkileri<br><span style='font-style: italic';>The possible effects of cigarette smoke and vitamin E on endometrial pinepode formation; an animal model on cigarette smoke exposed mice,Fatih Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('InocNLhvS3bURAHJ7tQEHw','A3gUD3ZlbxLiUwwfPnI4ig')"
664858,SENEM MARAL,2011,"Primer ve sekonder polistemili, esansiyel trombositozlu hastalarda matriks metalloproteinaz 2, 3, 9,10,13 düzeylerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of matrix metalloproteinase 2, 3, 9,10,13 levels in patients with primary and secondary polycythemia and essential thrombocytosis",Fatih Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('oSyMi7mAy_fJ_G8_wTv1vA','bqX2ZkRazBiOSKrksmEHdQ')"
248245,GÜZİDE DOĞAN,2010,6-16 yaş arası obez olguların demir parametrelerinin normal kilolularla karşılaştırılması inflamatuvar belirteçler ve insülin direnci ile ilişkisinin araştırılması<br><span style='font-style: italic';>Comporison of iron parameters between 6-16 years of age obese cases and normal weighted controls and to search relationship between inflammatory markers and insulin resistance,Fatih Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('ShdaThLf7g9YqvZ2gEjLqw','fTJYpb10wYuyKh1buc6CaQ')"
195153,ARİF KAYA,2007,Deneysel karaciğer fibrozisi oluşturulan ratlarda roziglitazonun antifibrotik ve antioksidan etkileri<br><span style='font-style: italic';>The antifibrotic and antioxidant effects of rosiglitazon on experimental liver fibrosis in rats,Fatih Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('VVcTV-coddiyPz0yWfK5Vw','ZZB341SJbALYUIru7C2NtA')"
