tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
366039,FERİDE ÇETİN,2014,Doksorubisin uygulanmasının sıçan böbrek dokusunda meydana getirdiği değişiklikler üzerine benfotiamin\'in koruyucu etkilerinin incelenmesi<br><span style='font-style: italic';>Investigation of the protective  effects of benfotiamin on the alterations which revealed with application of doxorubicin in the rat kidney tissues,Fırat Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('LwI3AsUYEe3dOgDup5wwMQ','LS7iaIfubE6gNHhzjH4p8w')"
230282,FİDAN SÜRGÜN,2008,Epileptik hastalarda ve Psödonöbetleri olan hastalarda Görsel Uyarılmış Potansiyeller<br><span style='font-style: italic';>The Visual Evoked Potentials in patients with epileptic and pseudoseizure,Fırat Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('ETbf041FQOL7JdyDfP5Orw','2II85Uw4mCWHLk-M5CujmA')"
91265,MEHMET ÖZTÜRK,2000,Anstabil torakolomber vertebra kırıklarında cerrahi tedavi sonuçları<br><span style='font-style: italic';>The Surgical results of unstabl thoracolomber vertebral fractures,Fırat Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('qR2WGMjVIyK-I2aWCjyj6A','qR2WGMjVIyK-I2aWCjyj6A')"
388667,TUBA GÖKDEMİR,2015,"Geriyatrik hastalarda kalça cerrahisinde uygulanan anestezi yönteminin hasta kliniği ile morbidite ve mortalite ilişkisinin değerlendirilmesi: Retrospektif çalışma<br><span style='font-style: italic';>The association between anesthesia technique, clinical characteristics, and morbidity in geriatric patients undergoing hip surgery: A retrospective study",Fırat Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('182eskb0QW3FDZ9ZyBhpdA','xvWeHjWxx-HDe9Jv86jBig')"
326456,EMİNE KACAR,2012,Apelinin sıçanlarda gebelik ve doğum sürecindeki muhtemel rolünün araştırılması<br><span style='font-style: italic';>Investigation of possible role of apelin pregnancy and birth process in the rats,Fırat Üniversitesi,Tıpta Uzmanlık,Fizyoloji = Physiology," onclick=tezDetay('pxNeZnAiwtp06FdRXpw1_A','Acn56nCpuPM0TXHqXuq3SQ')"
271897,ENİS ERTÜRKLER,2010,Behçet hastalığında osteopontin düzeyi<br><span style='font-style: italic';>Osteopontin levels in behcet disease,Fırat Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('F4h3ZVwIxR-H3FZifN1Gxw','lEwkgk3a22W6MzpPUaZF9w')"
388668,FATİH ÇAKIR,2015,Ratlarda subkutan pediküllü rhomboid flep ve z-plasti tekniği ile elde edilen uzama oranlarının karşılaştırılması<br><span style='font-style: italic';>Comparison of the rates of elongation provided by subcutaneous pedicle rhomboid flap and Z-PLASTY  technique in rats,Fırat Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('9BT6M-aV2oQffImoxCaraQ','plX0qucVNC3o4vDZk8Ji9g')"
607207,RAMAZAN AKEL,2019,Morbid obezlerde intraoperatif farklı oksijen konsantrasyonlarının bulantı-kusma üzerine etkisi<br><span style='font-style: italic';>Effect of intraoperative different oxygen concentrations on nausea and vomiting in morbid obesity,Fırat Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('tv_hgPvVJXpjTdLFnyiT7A','NCxurLIfZ4sNlEgR9_HyxA')"
675563,HATİCE NUR GENÇ,2021,"Çocuk kardiyoloji kliniğinde akut romatizmal ateş tanısı ile takip edilen hastaların kilinik, laboratuvar özellikleri, rekürrens durumları ve ek hastalık durumlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the clinical, laboratory characteristics, recurrent situations and additional diseases of the patients who were followed with the diagnosis of acute rheumatism fever i̇n the pediatric cardiology clinic",Fırat Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('Bezy50M8CAhDjdBp5kLPZQ','0mYAxmfmW2N8K6ExxWXsCQ')"
266874,RULİN DENİZ,2010,Polikistik over sendromlu kadınlarda Nesfatin\'in plazma düzeylerinin araştırılması<br><span style='font-style: italic';>Evaluation of plasma nesfatin levels in women with polycystic ovary syndrome,Fırat Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('vR8unnBT9Yj4HYTo4OWGnQ','NSVgO5n2S2GVrkdk-9XKoQ')"
49919,İBRAHİM HANİFİ ÖZERCAN,1996,Prostatın benign hiperplazileri ile adenokarsinomlarının tanı ve ayırıcı tanısında AgNOR ve PCNA\'nın yeri<br><span style='font-style: italic';>,Fırat Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('sCKV7GY62INQMh5Gm1bAIg','sCKV7GY62INQMh5Gm1bAIg')"
49996,YUSUF KAVUKÇU,1996,Kan transfüzyonu yapılan kobaylarda levamizolün intestinal anastomoz iyileşmesine etkileri<br><span style='font-style: italic';> ,Fırat Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('gIvefgfz4GDHxabMYXWQcg','gIvefgfz4GDHxabMYXWQcg')"
379243,HÜLYA NAZİK,2014,Elazığ ve çevre illerdeki aşırı kilolu ve obez hastalarda görülen deri bulgularının araştırılması<br><span style='font-style: italic';>The investigation of skin lesions of overweight and obese patients in elaziğ and neighboring provinces,Fırat Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('zej9IRTLgoeiiHnX_PJd4w','Rtjd38G0J_iaI0Sd5LKyEw')"
49633,BÜLENT ABDULHAYOĞLU,1996,Bakteriyemik kobaylarda dural ponksiyonla menenjit arasındaki ilişki<br><span style='font-style: italic';> ,Fırat Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('dNrfYLp8cd1qiBZRJd9EcA','dNrfYLp8cd1qiBZRJd9EcA')"
623281,ÖZKAN KARACA,2018,Primer ya da elektif koroner anjiografi yapılan hastalarda işe geri dönüş zamanı ve gündelik yaşama uyum<br><span style='font-style: italic';>The time to return to work and time of adaptation to social life of patients  to whom primary or elective coronary angiography were applied,Fırat Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('eif3BG9DBMpITLank1f1pg','CgmuneYkVR6PSYKnAoeghQ')"
299032,TÜLÜN KAYA GÜÇER,2011,Pes anserin bursiti olan diz osteoartritli hastalarda lazer ile ultrason tedavilerinin etkinliklerinin karşılaştırılması<br><span style='font-style: italic';>Comparıson of the effectıveness of laser and ultrasound treatments ın patıents wıth knee osteoarthrıtıs and pes anserıne bursıtıs,Fırat Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('FbdDM-cUu4NAVuH4iAvsJQ','qL-9UxrBnEAVaOu8RnNMiQ')"
644225,ÖZGE AÇIKGÖZ,2020,"2010-2020 yılları arasında ilaç intoksikasyonu sebebiyle Fırat Üniversitesi Hastanesi\'nde çocuk yoğun bakım servisinde yatırılarak tedavi gören hastaların sosyokültürel, klinik ve laboratuvar bulgularının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of sociocultural, clinical and laboratory findings of patients hospitalized and treated for drug intoxication at the child intensive care unit in Firat University Hospital between 2010-2020",Fırat Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('IQY-6DDC3eoPJEcvAlTtdA','2kXp5QuMYrsOaJczw3J0kA')"
412687,ZEYNEP KILINÇ,2015,Doksorubisin ile oluşturulan deneysel böbrek hasarında oksolamin\'in etkilerinin incelenmesi<br><span style='font-style: italic';>The investigation of effects of oxolamine on doxorubicin induced experimental renal damage,Fırat Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('ZOCjBd14JQ_STeApeX5BZw','MxojEbU4MCssfe2zw3pP4A')"
91345,TAHSİN YAYLA,2000,Azot protoksitin rat testisi üzerinde antispermatogenetik etkisi<br><span style='font-style: italic';>,Fırat Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('R--4ASgAAgHus6XJSGIBCA','R--4ASgAAgHus6XJSGIBCA')"
412690,ABDULLAH MÜBİN ÖZERCAN,2015,Whey proteini izolatının deneysel kronik pankreatit modelinde koruyucu etkilerinin araştırılması<br><span style='font-style: italic';>Assessment of whey protei̇n isolate\'s preventive effects on experimental model of chronic pancreatitis,Fırat Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('VA2eOoGgZ01hO_NGNerG2Q','8efUyzL4L447M4lEfv6uHg')"
427194,AYŞE FİLİZ KUZGUN,2016,Acil servise başvuran göğüs ağrılı hastalarda serum irisin ve troponin ı\'nın diagnostik değeri<br><span style='font-style: italic';>In patients presenting to the emergency department wi̇th chest pai̇n and irisin diagnostic value of the troponin,Fırat Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('V2OAdqfYYSpwVS8Z6ZwpSg','cXtuNx6saxbI9C8RSeabqw')"
366021,TEVFİK KARAKOÇ,2014,Borderline (Sınırda) kişilik bozukluğu olan hastalarda talamus hacimleri ve klinik değişkenlerle ilişkisi<br><span style='font-style: italic';>Thalamus volume on patient with borderline personality disorder and relationship with the clinical variabilite,Fırat Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('UtiWd7mq4eITM1BxMOFSxQ','Jymn0Xy9bB37QpX7FDNAcQ')"
