tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
289136,MEMDUH ŞAHİN,2011,Dissinerjik defekasyonlu hastalarda biofeedback tedavisinin hayat kalitesi üzerine etkisi<br><span style='font-style: italic';>The impact of biofeedback treatment over quality of quality of life for the dyssinerjic defecation patients,Gazi Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('SuAfHWNdURJYWU6RywKsvg','46hy7BjczP2nWG-a03fjoQ')"
59774,İZLEM İZBUDAK ÖZNUR,1997,İskemik kalp hastalıklarında manyetik rezonans görüntüleme: Miyokard hareketlerini sine-MR işaretleme (Tagging) yöntemi ile değerlendirmede kalitatif ve kantitatif analiz yöntemlerinin karşılaştırılması<br><span style='font-style: italic';>Magnetic resonance imaging in ischemic heart diseases: The comparison of qualitative and quantitative strain analysis in the evaluation of myocardial motion with cine-MR tagging,Gazi Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('4Y7qMTG_ksnR3CkPylZIYQ','4Y7qMTG_ksnR3CkPylZIYQ')"
59883,MEHMET CAHİT GÖZÜAKÇA,1997,Myoma uterili hastalarda insulin rezistansı<br><span style='font-style: italic';>Insulin resistance in patients with myoma uteri,Gazi Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('YFIU9DXek79FtY9c9YbYwA','YFIU9DXek79FtY9c9YbYwA')"
247895,FULYA KARACA,2010,"Dar bant UVB, UVA1 ve PUVA tedavilerinin melanositik nevusların dermatoskopik bulguları üzerine etkileri<br><span style='font-style: italic';>Effects of narrowband UVB, UVA1 and PUVA treatments on dermatoscopic features of melanocytic nevi",Gazi Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('tJf6j1H9hjQzj-QaZSiEYg','yuHNXkFgUollKqHzf_TlJw')"
79399,ŞALE YILMAZ,1999,İzole tavşan aort halkalarında 17 beta estradiolün agonistlere karşı etkileri<br><span style='font-style: italic';>The Effects of 17 beta estradiol against agonists on isolated rabbit aortic rings,Gazi Üniversitesi,Tıpta Uzmanlık,Eczacılık ve Farmakoloji = Pharmacy and Pharmacology," onclick=tezDetay('XhoAI2rs2gj8VchUOMWTfA','XhoAI2rs2gj8VchUOMWTfA')"
79425,YAVUZ DEMİR,1999,Rat oblik adipomuskulokütan kasık ada flep modelinde sıcak iskemi süresinin neovaskülarizasyon üzerine etkisi<br><span style='font-style: italic';>,Gazi Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('U6O7pwmleKm4TX4o1XneJQ','U6O7pwmleKm4TX4o1XneJQ')"
79426,UFUK ADIGÜZEL,1999,"Fotorefraktif keratektomi sonrası aköz hümör nitrit/nitrat korneal süperoksit dismutaz ve glutatyon peroksidaz düzeyleri<br><span style='font-style: italic';>Aqueous humour nitrite/ nitrate, corneal superoxide dismutase and glutathion peroxidase levels after phothorefractive keratectomy",Gazi Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('AXF8VhNAZVpr-aE0ZJOGrw','AXF8VhNAZVpr-aE0ZJOGrw')"
79454,ZERRİN YILMAZ,1999,Over tümörlerinde uygun üreme ortamının ve sık rastlanan kromozom anomalilerinin araştırılması<br><span style='font-style: italic';>Appropriate culture conditions and frequent chromosome abnormalities seen in ovarian carcinoma patients,Gazi Üniversitesi,Tıpta Uzmanlık,Tıbbi Biyoloji = Medical Biology," onclick=tezDetay('2S-Nr8Ygk7q8hpEX-icR9g','2S-Nr8Ygk7q8hpEX-icR9g')"
274564,ŞAFAK KORKMAZ,2011,Tiroide bağlı kompresif optik nöropatide iki duvar ve üç duvar orbita dekompresyon cerrahi sonuçlarının karşılaştırılması<br><span style='font-style: italic';>Comparison of 2-wall (medial-lateral) and 3-wall (medial-lateral-floor) orbital decompression for the treatment of compressive optic neuropathy in thyroid-related orbitopathy,Gazi Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('gi5BkMwR69hF5ys78QXPDA','9ZlDLXV1i9QOfOlq55Bhdw')"
195062,DERYA (ACAR) TEPE,2007,Ekim 2000-0cak 2007 tarihleri arasında hastanemizde doğan yenidoğanlarda yapılan tsh tarama sonuçlarının değerlendirilmesi<br><span style='font-style: italic';>Tsh screening results of newborns who were born in our hospital between october 2000 and january 2007,Gazi Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('oftR1szYW4yHkxLBi3ZSmw','HElSVGSRorcW0E3IEsnVmA')"
