tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
675206,İRFAN AÇIKGÖZ,2021,Humerus cismi kaynamama tedavisinde çözüm çift plak ile yapılan tespit midir? Karşılaştırmalı sonuçlar<br><span style='font-style: italic';>Is double plate fixation A remedy for thetreatment of humeral shaft nonunions? Comparative presentations,Gaziantep Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('I9SAVTDJPivOEiuK41ajMw','J1iAjnmR3BgqYE0teVUw3g')"
515076,ESRA ÇELİK,2018,İntrauterin gelişme geriliği ile komplike olmuş gebeliklerde maternal serumda oksidatif stres ve Ürotensin 2 seviyeleri<br><span style='font-style: italic';>Oksidative Stress and Urotensine 2 Levels in maternal serum in pregnancies complicated by  Intrauterine Growth Restriction,Gaziantep Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('XOtafQPMwDTnxMN6bAzG4g','45ovolAD1iz1Rrj2_UvDAQ')"
225055,MUSTAFA ÇELİK,2008,Prelingual koklear implant olgularında preoperatif odyolojik ve radyolojik bulguların postoperatif işitme sonuçlarıyla karşılaştırılması<br><span style='font-style: italic';>Comparing preoperative audiological and radiological findings with postoperative auditory outcomes prelingually in cochlear implant cases,Gaziantep Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('EbqOmj_nO4Asx6vE-RtIIw','Z1OiYnlsnsVLVZQiERur0g')"
478172,MUSTAFA SABAK,2017,Kardiyopulmoner arrest hastalarında spontan dolaşımın geri dönmesi üzerine epinefrin uygulamasının etkisi<br><span style='font-style: italic';>Effect of epinephrine administration on return of spontaneous circulation in cardiopulmonary arrest patients randomized prospective clinical trial,Gaziantep Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('kR4R7HetxWAFwUQWFZ8qow','B2Vb8n2RgLKOjm5Ba_KhIg')"
489998,ERDOĞAN KOCA,2017,Preeklamptik gebelerde sfms like tirozin kinaz -1 ve biyokimyasal parametre düzeylerinin plazmaferez öncesi ve sonrası prognoza etkisinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of prognostic effect of sfms like tyrosine kinase-1 and biochemical parameters before and after plasmapheresis in preeclamptic pregnancies,Gaziantep Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('xK2qZwxV-crwXG46PUysQA','IEeNB4hTdoaqRq9bjEsdHA')"
661689,İRFAN MEHMET,2021,Jinekolojik onkolojik cerrahinin anestezi yönetiminde genel anestezi ile genel anesteziye  ilave edilen  epidural anestezinin etkilerinin karşılaştırılması: Retrospektif kontrollü çalışma<br><span style='font-style: italic';>Comparison of the effects of general anesthesia and epidural anesthesia added to general anesthesia in the anesthetic management of gynecological oncological surgery,Gaziantep Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('2oq_ello3mSFaN7BwQB8rg','4BF5R1HCoY3e0KCUX8lJ1Q')"
406639,PELİN ÇELEMLER,2015,Behçet hastalığına bağlı posterior üveit tedavisinde intravitreal deksametazon implantının etkinliği ve güvenilirliği<br><span style='font-style: italic';>Safety and efficacy of intravitreal dexamethasone implant for treatment behçet posterior uveitis,Gaziantep Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('DBHB6vxYBB8zDFzY1ilnKw','E0I-bXqcTqgNuNiSNp-6OQ')"
498070,NURCAN ÖZDEMİR,2017,Tipik gögüs ağrısı ile acil servise başvuran hastalardapatolojik elektrokardiyogram bulguları<br><span style='font-style: italic';>Pathological electrocardiographic findings of patient with typical chest pai̇n that appli̇es to emergency service,Gaziantep Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('HfL_suraCj1KAIpU8fBz0Q','krU1K8SfIMph1cMXKSnFsw')"
230175,AKIN SARIMEHMETOĞLU,2008,Göğüs cerrahisinde ameliyat öncesi ve sonrası hormon düzeylerinin morbidite ve mortalite üzerindeki etkisi<br><span style='font-style: italic';>The effect of hormone levels on pre and postoperative morbidity and mortality in thoracic surgery,Gaziantep Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('8dx5Hs1qMOb8w6M-ByYWqQ','amfc-ld0ARBCIYv3bHXoag')"
274569,HACI HALİL ŞAŞMAZ,2011,Gelişimsel kalça displazisi tanısında sonografik tarama tekniklerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of ultrasonographic methods in the evaluation of developmental dysplasia of the hip,Gaziantep Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('NUnpoWWhUWrPlWo9ICYosA','paGQWtON34vTCJnFTlDHDA')"
644284,MELDA MELİK KURT,2020,Alerjen spesifik immunoterapi alan hastaların klinik ve laboratuvar olarak değerlendirilmesi<br><span style='font-style: italic';>Evaluation of patients with allergen specific immunotherapy as clinical and laboratory,Gaziantep Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('49IMW-rADZYbjwK9VXPMow','pm1mYAK67OkSbzeGspfwAA')"
509068,YUSUF TÜYLÜ,2016,TRP kanalı gen ekspresyonları ve pterjiumla ilişkisinin araştırılması<br><span style='font-style: italic';>Investıgatıon of the relatıonshıp between TRP channel gene expressıons and pterygıum,Gaziantep Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('ZBoDM4UL7Du9maQc0xboFA','GMAUXQmgxWaFH4SVSNGwEQ')"
306212,NURİYE KAYIRAN,2012,Plak tip psöriazis hastalarında obezite ve sigara kullanımının hastalık şiddeti üzerine etkisi<br><span style='font-style: italic';>Impact of obesity and smoking on disease severity in patients with plaque type psoriasis,Gaziantep Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('Hrm0CWRoVADJdrnTFZXAGQ','iRZclIITCVvNeyynlrItQQ')"
289138,MEHRİ TÜRKOĞLU CENGİZ,2011,Bupivakain ve levobupivakainin izole insan umbilikal arterinde ve veninde vazokonstriktör etki mekanizmasının araştırılması<br><span style='font-style: italic';>Investigation of the vasoconstrictor influence mechanism of bupivacaine and levobupivacaine on the isolated human umbilical artery and vein,Gaziantep Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('c4sQXN7Qlfkd1POALHN0IQ','iKg1pgMimfAe-vtBQh_5wQ')"
247914,HÜSEYİN AĞTAŞ,2010,Elektif abdominal cerrahi girişim uygulanan olgularda abdomendeki yapışıklıkların önlenmesinde %4 icodextrin ile hyaluronic asitin etkinlik ve maliyet yönünden karşılaştırılması (Deneysel çalışma)<br><span style='font-style: italic';>The comparison of icodextrin %4 and hyaluronic acid by efficacy and cost-effectivity preventing postoperative abdominal adhesions in the elective abdominal surgery cases,Gaziantep Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('72BhExAg0birCwvMJWxelQ','uA5Zcbp3OdYnbNzrZg7DMQ')"
632142,EMRAH TERZİOĞLU,2020,Arkus aorta dallanma paterni varyasyonlarının ve vertebral arter dominansi-hipoplazi sıklığının çok kesitli bilgisayarlı tomografi ile değerlendirilmesi<br><span style='font-style: italic';>Multidedector computerized tomography evaluation of arcus aorta branchi̇ng pattern variations and vertebral artery dominance-hypoplasia frequency,Gaziantep Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('3MxSyoxiab_TcCl9vVEhFw','X26OLYAIbI9CaCULSRoE4Q')"
194707,ŞÜKRÜ GÜÇBEY,2007,Postmenapozal osteoporozlu hastalarda serumda total oksidatif ve antioksidatif kapasite ölçümü<br><span style='font-style: italic';>Measurement of serum total oxidative and antioksidative status in patiend with postmenopausal osteoporosis,Gaziantep Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry ; Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('qfVOA8qwpiaactABwjmSLw','DWRoangRxC6Q-jbsZVsRpg')"
340633,TURGAY ABAY,2013,Karotis ve vertebrobaziler sistemde  arter darlığı veya plak tespit edilmiş olan hastalarda oksidan-antioksidan durumlarının araştırılması<br><span style='font-style: italic';>Oxıdant-antıoxıdant status ın patıents that have carotıs and vertebrobasıller artery stenosıs or plaque ın doppler USG,Gaziantep Üniversitesi,Tıpta Uzmanlık,Sağlık Eğitimi = Health Education," onclick=tezDetay('1jgXzJrNasa46-hrY0O4JA','xVhkOwy6D3IWa9jv_dKhiA')"
426548,MEHMET TÜRKER,2015,Castleman hastalarında BRAF gen mutasyon sıklığının saptanması<br><span style='font-style: italic';>BRAF gene mutations in Castleman disease,Gaziantep Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('za-TdzeOS1AU5PH2nCi3oQ','X9VLxlbO-Wlvzd8KyP4MmQ')"
478159,SERCAN ÇIKRIKCI,2017,Genişletilmiş parsiyel larenjektomili hastalarda postoperatif bulgular ve yaşam kalitesi üzerine etkisi<br><span style='font-style: italic';>Extended partial larenjectomy diseases\' postoperative results and effects on quality of life,Gaziantep Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('aXHyvHKGBitNHp0Pmk78-Q','0hGLU6cMRmqRq5TffXAyrQ')"
301186,ÖNDER ÖZEN,2011,Laparoskopik kolesistektomilerde düşük ve yüksek akımlı anestezinin postoperatif bulantı-kusma ve titreme üzerine olan etkilerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the effects of the low and high flow anesthesia on nausea-vomiting and shivering in laparoscopic cholecystectomy,Gaziantep Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('23vZXK3jMLyNEc_uz9UPbw','cKNDaQNClJc-380IR279Vg')"
224906,HATİCE SEZEN,2008,Behçet hastalarında serum visfatin düzeyleri<br><span style='font-style: italic';>Serum levels of visfatin of the Behçet\'s patients,Gaziantep Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry ; Dermatoloji = Dermatology ; Romatoloji = Rheumatology," onclick=tezDetay('kcbvPq0CP5arG8ADRpdZIA','F_TVHTQUtT89tioniMabZQ')"
426520,DİDEM YILMAZ,2015,"Çocuklarda ventilasyon-entübasyon zorluk derecesini belirlemede, Mallampati ve Cormeck-Lehane, diş yapısı ve antropometrik ölçümlerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of Mallampati and Cormeck-Lehane, tooth morphology and anthropometric measurements, to determine ventilation-entubation difficulty in children",Gaziantep Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('tx0U-kgRR75XSplPsLHNbw','WamyhV_pHCBNCXnY8rRIKQ')"
359179,GÜL ÖZDEMİR,2014,Hematopoietik kök hücre transplantasyonu yapılan erişkin hastalarda erken dönemde saptanan sitokin düzeyleri ile hastalığın klinik seyri arasındaki ilişkinin araştırılması<br><span style='font-style: italic';>Investigation of relationship between early cytokine levels and clinical course of disease in adult patients after hematopoietic stem cell transplantation,Gaziantep Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('vwBXxzgndsxBWChqJLWl9w','mUEtO863c2Xh-3q9wBWhLw')"
632140,ÇAĞRI BURCU AÇIKGÖZ,2020,"Geleneksel ve tamamlayıcı tıp polikliniğine kupa tedavisi için başvuran hastalarda, tedavinin kronik ağrı ve yaşam kalitesi üzerine olan etkisinin, fiziksel tıp ve rehabilitasyon polikliniğine benzer şikayetlerle başvuran hastalarla karşılaştırılması<br><span style='font-style: italic';>Comparison of cupping therapy and physical rehabilitation on the treatment of chronic pain and quality of life",Gaziantep Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('eUdVP0cWWJAZPjKpr5myEw','QExOyzHOTO8QxUO8IkiExg')"
523343,DOĞAN ÖNCÜ,2018,Çocukluk çağı dirençli epilepsilerinde risk faktörlerinin belirlenmesi<br><span style='font-style: italic';>Determination of the risk factors in children\'s drug resistant epilepsy,Gaziantep Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('am3HgkLBbeTBMOho7C8zBQ','MriUicV_Rc3RWXgONbiMhw')"
377081,FATMA İŞIKER,2015,Atriyal septal defekt tanısında triküspit ve pulmoner akım hızlarındaki artışın öneminin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the importance of increase in tricuspid and pulmonary flow velocities in diagnosis of atrial septal defect,Gaziantep Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('9ffsOXi42aa_Y6e2PjFUQA','LMPF39JqgQHo6oo9WemxaQ')"
