tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
473848,SERAP BİLGE,2017,"Obez çocuklarda ve adölesanlarda leptin (+19) ag, leptin (2548) ga ve leptin reseptör gln 223 arg gen polimorfizminin, obezite ve metabolik sendrom ile ilişkisi<br><span style='font-style: italic';>Asssociation of leptin (+19) ag, leptin (2548 ) ga and gln 223 arg leptin receptor polimorphyism with obesity and metabolik syndrome in the children",Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('XiuiB4Lq4gpVMiakEwMy2g','sdQ12dzL1I5KVmLF2pN9Yg')"
388755,SEVİL OKAN,2015,Karpal tünel sendromu olan hastalarda ultrason ve mukopolisakkarit polisulfat ile  fonoforez tedavilerinin ekinliğinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the efficacy of treatment with ultrasound and mucopolysaccharide  polysulfate phonophoresis in  patients with carpal tunnel syndrome,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('4RCtIH6DKbapSlcrCjJuOQ','L-gRuZDxins5V8z1oLYr2A')"
379204,SÜHEYLA UZUN KAYA,2011,Ailesel akdeniz ateşi hastalarının demografik verileri<br><span style='font-style: italic';>Demographic data of familial mediterranean fever patients,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Romatoloji = Rheumatology," onclick=tezDetay('sts4pR5zdsGu3YUofdQ8RQ','9pPUnz39sdA6Jd_mgeIljw')"
376977,HAKAN KİLCİ,2010,Atriyal fibrilasyon hastalarında plazma adezyon molekülleri<br><span style='font-style: italic';>Plasma adhesion molecules in patients with atrial fibrillation,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('ihApeafsumq45xEXPk50IA','xjXWJW3Slk3fAIIpXCb4fQ')"
440449,YASEMİN HANOĞLU,2015,Tip 2 diyabeti olan hastalarda visfatin gen polimorfizminin biyokimyasal parametrelerle karşılaştırılması<br><span style='font-style: italic';>Comparison of visfatin gene polymorphism and biochemical parameters in patients with TYPE 2 diabetes,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('g3UGL0zvcyMEQdrOXdkSQg','IgWPqt6kT2JP-m9_5iSuzw')"
473844,FATİH ŞAHİN,2016,Travmatik beyin hasarında timokinon ve melatoninin etkinliğinin araştırılması<br><span style='font-style: italic';>Investigation of thymoquinone\'s and melatonin\'s efficiency in traumatic brain injury,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Kazalar = Accidents ; İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('wzvq2ClsfgzigFlAspPt3g','NaSdLvBZVa80idgVrfNWZw')"
414988,AHMET ÖZTÜRK,2012,Sol ana koroner arter hastalığı risk faktörlerinin akut koroner sendrom ve stabil koroner arter hastalığı üzerine etkisi.<br><span style='font-style: italic';>-,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('8WOsHos4CggZ93J75w3B7w','tTqvAnePqv6JFOgaIAmtBw')"
376941,SEYYİD AHMET ŞAHİN,2010,Ön çapraz bağ yetmezliklerinde üç farklı cerrahi tekniğin sonuçlarının karşılaştırılması<br><span style='font-style: italic';>Comprassion of three different surgical techniques in anterior cruciate ligament deficiency,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('itv1zixwjnpOS3deEvRy8w','4yugR4lchLxd19EztCjncA')"
376960,EVRİM BİRGÜL İĞREK,2010,Sporcularda ayak bileği instabilitesinin stabilometri ile değerlendirilmesi<br><span style='font-style: italic';>Assesment of ankle instability with stabilometry in athletes,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('-alOqArESWVl747aZGCd3Q','LbPsCg07FBQwYTebelzpPA')"
376965,CEYHUN AKSAKAL,2012,"Nazal polipli kronik rinosinüzitlerde MMP-1, MMP-2, MMP-8 düzeyinin değerlendirilmesi<br><span style='font-style: italic';>The evaluation of levels MMP-1, MMP-2, MMP-8 in chronic rinosinusitis with nasal polyposis",Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('oXO-__Fqtc9abwz05PCysA','XhEQ9wLhoDRJ8uNV3GzeaQ')"
376962,MEHMET İLHAN YILDIZ,2010,Tiroidektomide kapsüler diseksiyon tekniği ve inferior laringeal sinir arama yöntemlerinin karşılaştırması<br><span style='font-style: italic';>Comparison of capsular dissection technique and inferior laryngeal nerve search methods in thyroidectomy,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('hBkVsmeUgrdi_cSzu_SHzQ','Z4d5WUPZtzMSqBTscIi7eg')"
376924,SÜLEYMAN YÜCE,2010,"Hipotiroidi hastalarında tedavi öncesi ve sonrası homosistein düzeyleri ve böbrek fonksiyonlarının glomerüler filtrasyon hızı ile değerlendirilmesi<br><span style='font-style: italic';>In hypothyroid patients, homocysteine levels before and after treatment and evaluation of renal function with glomerular filtration rate",Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases ; Nefroloji = Nephrology," onclick=tezDetay('_cFAWJeESpvG2WhDz-NAMg','JB0v505NKKevOtWtREfWcw')"
440452,UFUK ÜNLÜ,2016,Tokat Gaziosmanpaşa Üniversitesi Tıp Fakültesi Hastanesine başvuran 18-49 yaş erkek popülasyonunda kronik pelvik ağrı sendromu prevalansı ve kaygı düzeyi<br><span style='font-style: italic';>Chronic pelvic pain syndrome prevalence and anxiety level in 18-49 age men population who refer to Tokat Gaziosmanpasa University Faculty of Medicine Hospital,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('o6MQQuHYQMYGP0VDpap7nQ','0A6rWD9UEc9rORgrtONWNQ')"
377001,ERCAN KAYIŞ,2014,Epileptik hastalarda valproik asit ve karbamazepinin hematolojik ve biyokimyasal parametrelere etkisi<br><span style='font-style: italic';>,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('8G7L9UT2IUNghSOe-TAfuQ','gaB2VeN8_DeowdqE3YbIDA')"
452557,TUĞBA ARSLAN ŞEN,2016,Hepatit B\'ye bağlı karaciğer sirozu olgularında oral antiviral tedavinin fibrozis üzerindeki etkinliğinin noninvaziv yöntemlerle değerlendirilmesi<br><span style='font-style: italic';>Evaluation the efficacy of oral antiviral treatment on fibrosis in patients with hepatitis B liver cirrhosis by noninvasive methods,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('crKkHKfnwgrbVL0z7Xhc2w','CBAPRTTRoDf_C8kBbVejeQ')"
376948,İLKER KAYA,2012,Mekanik mitral kapak protezi taşıyan hastaların varfarin kullanımının değerlenditrilmesi<br><span style='font-style: italic';>Mekanik mitral kapak protezi taşiyan hastalarin varfarin kullaniminin değerlenditrilmesi,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('v2UA90ECU64zHaFoRBJlCA','uNIUhGv7WKBHvtKdvzzJUw')"
440450,SEHER ARSLAN ÇATAR,2016,Premenopozal ve postmenopozal dönemde endometrial kalınlık artışı tespit edilen hastalardan alınan endometrial biyopsi örneklerinin histopatolojik sonuçlarının karşılaştırılması<br><span style='font-style: italic';>Comparision of histopathologic   sample results of patients  detected increase in endometrial thickness during premenopausal and postmenopausal period,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('aMUv4OxhA0f1Erz_kh4myw','Mj5xAqIDqNbuk8o5WWkBOQ')"
416049,KEREM ÖZBEK,2012,Deneysel kontrast ilişkili nefropatinin önlenmesinde tadalafilin etkinliği<br><span style='font-style: italic';>Efficacy of tadalafil in the prevention of experimental contrast associated nephropathy,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('0UADaOh2Qep9jQRwV6eBkg','5Z7chOvPc_8UyFZdqVnkUw')"
379194,İSMAİL KÜRŞAT GÜRLEK,2014,Deneysel korozif özofagus yanık modelinde curcuminin koruyucu etkinliğinin araştırılması<br><span style='font-style: italic';>Investigation of curcumi̇n\'s protecti̇ve effects i̇n experi̇mental corrosi̇ve oesophageal burn model,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('C7unDBHKVg2XDslZnzTOOQ','WD3TRw2J971-uQCppnn62Q')"
260273,MUSTAFA ÇAKIR,2009,Spinal ve epidural anestezinin QT dispersiyonuna etkisi<br><span style='font-style: italic';> ,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('CXaaXvLQuun2650tWrknQQ','E7hnu7GlZlY5PNHQ4AnEcA')"
379201,EMRE ÇEVİK,2013,Besin reddi olan ve olmayan migrenli kadın hastalarda kan amonyak düzeyi araştırılması<br><span style='font-style: italic';>Assesment of serum amonia level in food intolerance female migraine patient and non-food intolerance female migraine patient,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('NIRuApoDKgfmT8pBgXsl5Q','oj2SjUm4-LP4CAnoTMxFmw')"
376994,YELİZ BİLİR,2012,Psöriazisli hastalarda insülin direnci ve metabolik sendrom sıklığı<br><span style='font-style: italic';>The frequency of insulin resistance and the metabolic syndrome in patients with psoriasis,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology ; Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('lOSLHhK-Yw7AuUvW8ikHOQ','DJ2UoyFI0iFgTwwZLleXRA')"
415040,ALPER GÜNEŞ,2015,Diyabetik makula ödemi tedavisinde intravitreal ranibizumab vedeksametazon implant etkinliklerinin karşılaştırılması<br><span style='font-style: italic';>The comparison of effectiveness of intravitreal ranibizumab and implant dexamethasone in diabetic macular edema treatment,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('pjje1N85MKb3eubFLU65dA','pUkwTJBCvJH49SZQoll3ig')"
376936,FAİK ALEV DERESOY,2013,Kolorektal tümör spektrumunda müsin ve sitokeratin 20/7 immünprofili<br><span style='font-style: italic';>Mucin and cytokeratin 20/7 immune profile in colorectal tumor spectrum,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('TG91FeV0X6YOlLCh-iv2Ug','YdBMlgEKY4LF42u3JwGx_g')"
457454,YASEMİN ASAN,2015,Demir eksikliği anemisi bulunan çocuklarda yeme davranışının çocuklarda yeme davranışı anketi ile belirlenmesi<br><span style='font-style: italic';>Determination of eating behaviours of children with iron deficiency anemia using children eating behaviour questionnare,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('hoR8RxOMXV11eYsOK_YP9A','0kSmk3HGPF_k-ryOqTHgKA')"
377002,ENES ESER,2014,Trokanterik proksimal femur kırıkları tedavisinde artroplasti ve çivi ile internal fiksasyon yöntemlerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of arthroplasty and internal fixation with nail in the treatment of trochanteric proximal femur fractures,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('JzhwEo72Xb8HHRUTHzSqBA','HRfc4ul5oT1zUUcW12tzuQ')"
376945,ADNAN EKİNCİ,2011,Ratlarda trakeal hasar sonrası mitomisin C ve simvastatinin trakeal stenozu önlemedeki rolü<br><span style='font-style: italic';>The effect of mitomycin C and simvastatin on laryngeal and tracheal stenosis in tracheotomised rats,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('K1Z6f30aUSfAdsFLQqQqgw','Oggp7lsxKKMWFZ-1BUOCgg')"
379185,İBRAHİM HALİL DAMAR,2014,Kardiyak sendrom x hastalarında fragmente QRS sıklığı<br><span style='font-style: italic';>,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('OCThIc9EgJ1iIadVZ8cAUA','b8CRAIw1p29rQE3ywTqbig')"
632120,SAMET YILMAZ,2020,Bariatrik cerrahi sonrası subklinik ateroskleroz belirteçlerinin değişimi ve kardiyovasküler olay riskinin belirlenmesi<br><span style='font-style: italic';>Change of subclinic aterosclerosis markers after barriatric surgery and determination of cardiovascular event risk,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('3yLxqzTSj5vP9HboWz0ycA','T29CAjnQd4ZeRfR9KFPvlg')"
452941,EMRULLAH GENÇ,2012,Parkinson hastaları ve eşlerinde cinsel işlev bozuklukları<br><span style='font-style: italic';>Parkinson\'s disease and their spouses sexual dysfunctions,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('xjRCNtPswPCUDbDJPrkoDg','nK9L9p9wvjqbAlrG6ZCIzA')"
376938,ZEHRA KUZU,2010,Anjiotensin AT reseptör antagonisti (AT1 tipi) antagonisti telmisartanın sıçanlarda deneysel olarak oluşturulan intraabdominal adezyonların gelişimi üzerine etkisi<br><span style='font-style: italic';>The effect of angiotensin ıı receptor antagonist(AT1 type) telmisartan on the development of experimentally formed intraabdominal adhesions,Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('36rQ1-HhwCG_5XtYZEHtXw','h1xjz8tOS0mCyzwuwnIsug')"
