tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
636355,ELİF UYSAL,2020,"Miyofasiyal ağrı sendromu tedavisinde kullanılan soğuk sprey ve germe, kuru iğneleme ve eswt tedavilerinin etkinliklerinin karşılaştırılması<br><span style='font-style: italic';>",Giresun Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('F2TZhfwEZnUTSXofAdv9kw','wvMcHulVmPvSI8bKigUrzw')"
705188,ÖMER GÖRGEL,2021,"Prostat lezyonlarında PI-RADS v2.1 sınıflaması açısından multiparametrik prostat manyetik rezonans (MR) tetkiki ile transrektal prostat biyopsi sonuçlarının karşılaştırılıp, multiparametrik prostat MR tetkikinin etkinliğinin saptanması<br><span style='font-style: italic';>",Giresun Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('yiM0heoKoBpLB9axg7SpvQ','wZ5YbTDy7vi_2DxflBUCeA')"
637070,ADEM TÜRKÖZ,2020,"Lateral epikondiliti olan hastalarda lazer, PRP, splintleme ve ESWT tedavilerinin etkinliğinin kortikosteroid enjeksiyonu ile karşılaştırılması<br><span style='font-style: italic';>The comparison of corticosteroid injection with laser, PRP, splinting and ESWT in patients with lateral epicondylitis",Giresun Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('2li2jkG2nCw5T1MKia260Q','ah8f1MHnXUpI6VfSRhYbjg')"
727436,BAHADDİN SARICA,2022,Lomber stabilizasyon operasyonlarında ultrason eşliğinde uygulanan erektör spina plan bloğunun postoperatif analjeziye etkisi<br><span style='font-style: italic';>,Giresun Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('cVYKUNPZ1YeHnGGz_Q9T5A','iLTU6I969HLwriMJ1chJbg')"
740436,MEFAİL AKSU,2022,5-alfa redüktaz inhibitörü kullanımının multiparametrik manyetik rezonans görüntüleme ve prostat biyopsisi üzerindeki etkisi<br><span style='font-style: italic';>,Giresun Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('WbjpBOFiN47htjyHkCF28w','BN3o-fFMDGN5-W82IrpjNA')"
736426,JÜLİDE KARADAYI,2022,Deneysel testis iskemi reperfüzyon hasarında lidokainin etkisi<br><span style='font-style: italic';>,Giresun Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('27sxtYbYZzRrlZ8iv2gfzA','O09Ag2uWx5yjt4w8jjv0LQ')"
736555,SALİH ÜNAL,2022,"Romatoid artrit hastalarında lökosit ve trombosit parametreleri ile hastalık aktivitesi, fonksiyonel durum, uyku kalitesi ve yaşam kalitesi arasındaki ilişki<br><span style='font-style: italic';>",Giresun Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('FfhT5DR5asulzeIHo3CeDQ','ZiuroRVfw66Tet6Eob9axQ')"
741938,MERT GÜNGÖR,2022,Sıçanlarda deneysel olarak oluşturulan akut peritonitte hypericum perforatum\'un anti-inflamatuvar etkisinin değerlendirilmesi<br><span style='font-style: italic';>,Giresun Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('7MSOL5j7XeJj6B7Fbitxvg','kNCU-PqNipdZ2g3CUdvDdw')"
753128,MEHMET NAZLIGÜL,2022,Aile hekimlerinin iş doyumu düzeyini etkileyen faktörler ve mesleki benlik saygısı ile arasındaki ilişki<br><span style='font-style: italic';>,Giresun Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('gAVGEva3zrtrYbfoqh_LRw','ueGgh4M2Bq1rtnqlQJw8Bw')"
767164,EVREN ER,2022,Psöriazis ve psöriatik artrit hastalarında laboratuvar ve klinik parametrelerin karşılaştırılması<br><span style='font-style: italic';>Comparison of laboratory and clinical parameters in patients with psoriasis and psoriatic arthritis,Giresun Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('-y3cWnCMthesoVRRe5AECg','PpRtJcm2HlOp5vE1EywgtA')"
706061,SAMET TATLI,2021,"Ankilozan spondilit hastalarında solunum fonksiyon testleri, hastalık aktivite indeksleri, göğüs ekspansiyon çapı ve yaşam kalitesi arasındaki ilişkinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the relationship between respiratory function tests, disease activity indexs, chest expansion diameter and quality of life in patients with ankylosing spondilitis",Giresun Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('r67kbdLrzV05qbVKRR5yhA','TDQDSb9hsIhlPJNTmvDnOQ')"
683161,MEHMET KARADAYI,2021,Üreter taşlarında spontan pasajı etkileyen faktörler<br><span style='font-style: italic';>Factors affecting spontaneous passage in ureteric stones,Giresun Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('lCyVq8VKPoMf4G9wvmmlFg','NAsj520Di0Q_6FztM8LVGw')"
861556,MÜCAHİT COŞKUN,2024,Roküronyum enjeksiyon ağrısının önlenmesinde intravenöz lidokainin iki farklı dozunun karşılaştırılması<br><span style='font-style: italic';>Comparison of two different doses of intravenous lidocaine for the prevention of rocuronium injection pain,Giresun Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('SQpc-zYBoXNL8CUxm91nNg','rBNNKql3jma1jPBG6Xf_qw')"
780081,YAKUP KAYA,2022,Genç erişkinlerde internet bağımlılığı<br><span style='font-style: italic';>Internet addiction in young adults,Giresun Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('Ij6G52itbbYju6WV1cBYoQ','8HyZYl7FD4iUF1tUe1_yEg')"
784053,NURDANE TÜRKMEN,2022,Gebelerin uyku hijyeni eğitimi öncesi ve sonrası uyku kalite durumlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of sleep quality status of pregnants before and after sleep hygiene training,Giresun Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('do5zaH-w7XS3C8NjL6i4Jg','Ll7K0FtXtZQ_CG7OKTtrfw')"
