tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
644198,ERAY TEKİRDAŞ,2020,Fare kafa travması modelinde brimonidin tartaratın nöroprotektif etkilerinin incelenmesi<br><span style='font-style: italic';>Investigation of neuroprotective effects of  brimonidine tartarate on experimental traumatic brain injury model,Hacettepe Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('IBZO2XUQ1fpswz_Oh-fQNA','cSN0O1xDAWSBMEe-LWrGrw')"
508490,İPEK AZİZOĞLU ŞEN,2018,"Hospitalize yaşlı hastalarda uyku durumunun, uykunun etkileştiği faktörlerin ve geriatrik sendromlara etkisinin incelenmesi<br><span style='font-style: italic';>Evaluation of sleep quality status, associated factors and its effects on geriatric syndromes in hospitalized geriatric patients",Hacettepe Üniversitesi,Tıpta Uzmanlık,Geriatri = Geriatrics," onclick=tezDetay('p-MvLtUB05CQ8KdOtXVl8A','fSMvFcsKF6MtWzwQTWLoQQ')"
646748,AYTAN MALIKOVA,2020,Sıvı kromatografisi-tandem MS metodu ile granülositlerde lökosit sistin ölçümünün geliştirilmesi<br><span style='font-style: italic';>Development of measurement of leukocyte cystine in granulocytes by liquid chromatography-tandem MS method,Hacettepe Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('3ZFVowg6vTjIlapeosMvSA','XPJBLhH3kM4ZjWCZhmJi9Q')"
665591,OĞUZ ARSLANTÜRK,2021,"Koroner bypass cerrahisinde kullanılan internal mammarian arter,radial arter ve safen ven greftlerinde endotelyal ox-ldl reseptör miktarlarının karşılaştırılması<br><span style='font-style: italic';>Comparison of the OX LDL receptor quantities in internal mammarian artery, radial artery and safen vein grafts in coronary bypass surgery",Hacettepe Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('45AOZcM5LeTJGq04oumvTQ','4PvhyNWK7YC-ZRgP8AgtsQ')"
545039,EMİNE KELEŞ,2019,"Obstruktif uyku apne sendromunda CPAP tedavisinin pulmoner fonksiyon, anksiyete/depresyon ve yaşam kalitesi üzerine etkisi<br><span style='font-style: italic';>The effect of cpap treatment on pulmonary function, anxiety/depression and life quality in obstructive sleep apnea syndrome",Hacettepe Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('H5XpzYnTTcJ2snQyVJcKuw','AfpCPD6lvdg0rMQTH0A0Qg')"
544471,NIGAR HAJIYEVA,2019,Servikal distoni hastalığında duyusal-motorentegrasyonun elektrofizyolojik yöntemlerle değerlendirilmesi<br><span style='font-style: italic';>Electrophysiological evalution of sensory-motor integration in cervical dystonia,Hacettepe Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('294bTI-_q2OzXqfciXOshQ','pUQy_BbSlgmIyMRgrpz5EA')"
361461,BURKAY UTKU,2014,Trombositten zengin plazmanın tedavi edici etkisini meloksikam ve diklofenak değiştirir mi?<br><span style='font-style: italic';>Do meloxicam and diclofenac change the therapeutic effect of platelet-rich plasma?,Hacettepe Üniversitesi,Tıpta Uzmanlık,Fizyoloji = Physiology ; Ortopedi ve Travmatoloji = Orthopedics and Traumatology ; Spor = Sports," onclick=tezDetay('pQKCTR-0938wG1ZMhpog_g','jXqUH5hUZ0mFG_J3xo34VA')"
661383,TUĞÇE TELLİ,2020,"Metastatik prostat kanseri olgularında tedavi amacıyla kullanılan 177 lu-PSMA tedavisinin başarısının  klinik, görüntüleme ve biyokimyasal parametreler ile ilişkisinin belirlenmesi-gözlemsel ilaç çalışması<br><span style='font-style: italic';>Determination of the relationship between success of 177  Lu-PSMA therapy and clinical, imaging and biochemical parameters-observational study",Hacettepe Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('HvZPHL-FKl6R-RO9DioLhw','NaUWN7XEqCwYsEl0SL_UDA')"
396398,ŞENOL TONYALI,2015,İnterstisyel sistit hastalarinin mesanelerindeki sinir boyanma yoğunluğunun idrar sinir büyüme faktörü (NGF=nerve growth factor) düzeyi ve hastalık semptom skoru ile korelasyonu<br><span style='font-style: italic';>The correlation of bladder nerve staining concentration with urine nerve growth factor (NGD) levels and symptom scores in i̇nterstitial cystitis patients,Hacettepe Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('7WvR2GS_iBfYNNtuiNp44g','ynjwW_RJ02Dcq5F8qPpPFg')"
525929,GÖKÇEN ÖRGÜL,2018,Prenatal ve postnatal dönemlerde tanı alan konjenital gastrointestinal sistem obstruksiyonlarının retrospektif olarak incelenmesi<br><span style='font-style: italic';>Retrospektive evaluation of pre- and postnatally diagnosed gastrointestinal tract obstructions,Hacettepe Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('C-MxtfM1JZUrSTCqQOYx9g','4g9-m7UXG7754opUpFrIhg')"
