tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
664870,ELİF AŞICI,2021,Laringeal maske uygulamalarında minimal akımlı anestezide manuel ve hedef kontrollü yöntemlerin karşılaştırılması<br><span style='font-style: italic';>Manual and target controlled methods comparison in minimal flow anesthesia with laringeal mask,Hitit Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('72fEtn7dlAsfMTCc_Y9EXw','QULk11yVlH6MG3uTBXX1WQ')"
661391,KAMİL ESEN,2021,Rahimiçi araçların over rezerv testleri üzerine etkisi<br><span style='font-style: italic';>The effect of intrauteri̇ne devi̇ces on ovari̇an reserve tests,Hitit Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('obRZbLpa9gHqWLMPHNOvlQ','-Ykjq0bsq53Drazd8dw8DQ')"
654333,DUYGU TUTAN,2021,Son dönem böbrek yetmezliği nedeni ile diyaliz tedavisi alan hastalarda selenyum düzeyi ve kognitif fonksiyonlar arasındaki ilişki<br><span style='font-style: italic';>The relationship between selenium level and cognitive functions in patients undergoing dialysis for end stage renal disease,Hitit Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology ; İç Hastalıkları = Internal diseases," onclick=tezDetay('UMJiJX6KNrvV81NUh8-s1Q','MfdYjL0aHTWmasRbz2gnrQ')"
662001,MUSTAFA SERDAR ÇAĞLAYAN,2021,Böbrek taşı tedavisinde  skopili ve skopisiz iki farklı retrograd intrarenal cerrahi  tekniğin karşılaştırılması<br><span style='font-style: italic';>A comparison of two different retrograded intrarenal surgery techniques with and without fluoroscopy in kidney stone treatment,Hitit Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('pd0uxFx4c0Kvf96TdMWblw','sC0T1YXzlSJEaYTyJrw1Bw')"
667213,NEZAHAT KOŞAR,2021,Acinetobacter baumannii klinik suşlarının fenotipik ve genotipik özelliklerinin araştırılması<br><span style='font-style: italic';>Investigation of phenotypic and genotypic characteristics of acinetobacter baumannii clinical isolates,Hitit Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases ; Mikrobiyoloji = Microbiology," onclick=tezDetay('vbhSqiVVkWPDBBz4I7GT7w','DSJ4K1wjJ5eanWyYJnyf_w')"
666043,İSMAİL SEZİKLİ,2021,Diyabetik ayak ülserinin tedavisinde sınıflamaların karşılaştırılması<br><span style='font-style: italic';>,Hitit Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('OOGlRg_iuK8YPXf1FR1kDA','k9I36pQRQD0PjQFGA3YLqw')"
674248,HÜLYA YILMAZ BAŞER,2021,Üçüncü basamak bir hastanenin aile hekimliği polikliniğine başvuran hastaların kırsal ve kentsel bölgede yaşamalarına göre geleneksel ve tamamlayıcı tıp konusundaki bilgi ve tutumları<br><span style='font-style: italic';>Knowledge and attitudes of patients applying to the family medicine outpatient clinic of A tertiary hospital according to their living in rural and urban regions regarding traditional and complementary medicine,Hitit Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('KchcGr2KyGxI2f1R_7qNVg','1EiFc4b8pF2SjrYo9GLdIw')"
628415,FULYA ÖZBOLAT,2020,Çorum ilinde yaşayan çölyak hastalarının sağlıkla ilişkili yaşam kalitelerinin değerlendirilmesi: Kesitsel bir çalışma<br><span style='font-style: italic';>Evaluation of health-related quality of celiac patients who live in Çorum: A cross-sectional study,Hitit Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('N7W7jkqijZjkxIHwJM1Blw','btPjqM7F3HdIvHZWfgZQZA')"
616490,ÖMÜR GÖRGÜLÜ,2019,Birinci basamak hekimlerinin diabetes mellitus hastalığında akılcı tetkik isteme ve güncel tedavi kılavuzlarını takip etme konularındaki tutumları<br><span style='font-style: italic';>The attitudes of primary health care physicians toward following current guidelines and rationale laboratory tests use,Hitit Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('7TAflH72J7tqi5yx9VWwFA','0fFhTOKshSWCecsqJyqfNQ')"
712156,DENİZ TAŞKIRAN,2022,İn vitro fertilizasyonda polikistik over sendromu ile sebebi açıklanamayan infertilite grupları arasındaki serum ve folikül sıvısı melatonin düzeyinin karşılaştırılması ve ıvf başarısına etkisi<br><span style='font-style: italic';>The effect of serum and follicle fluid melatonin levels on ivf success between polycystic ovary syndrome (pcos) and unexplained infertility patient groups in in vitro fertilization,Hitit Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('SeZwdt2fTwdImWF7MP8ddw','YsNU9VdFcPCBCEw37j4RUA')"
