tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
660324,İSMAİL SAĞIR,2021,"Siyatik sinir crush hasarında amantadin, metilprednisolon ve nimodipinin etkilerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the effects of amantadine, methylprednisolone and nimodipine in sciatic nerve crush injury",Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('JrwzAhVudAXYCP8yxK_rtg','Ooc-uX0a_y6U6bCRxhwwCA')"
247970,SEVİL KILIÇ ÖZTÜRK,2010,Karpal tünel sendromunda konvansiyonel tedavi ve konvansiyonel tedavi ile birlikte el bileği aksiyel traksiyon uygulamasının karşılaştırılması<br><span style='font-style: italic';>Comparison of conventional physical treatment methods and application of intermittent axial wrist traction together with conventional physical treatment methods in carpal tunnel syndrome,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('IjSR2qiNQyvaKFNM35Lp0A','2SCBHkDtisBqrngGWyWMvQ')"
272007,MUSTAFA EREN,2010,Lomber Disk Hernisin\'in kadın cinsel fonksiyonuna etkisi<br><span style='font-style: italic';>Effect of lumbar disc herniation to women sexual function,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('WOfVGSkeez2ftQ-bgLEK0A','fxGE8r2bNTyETTfP1JRGYw')"
458395,ELİF İNANÇ,2016,Ratlarda methotrexate tarafından oluşturulan oksidatif karaciğer hasarı üzerine L-karnitin ve N-asetilsistein\'nin etkileri<br><span style='font-style: italic';>L-carnitine and N-asetylsysteine effects on oxidative liver damage created by methotrexate in rats,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('vkMsPrt5YdG6ooQYYQ6RJQ','_IU5PEgw895HbMVNViiEUw')"
631255,MUHAMMED KAYĞUSUZ,2020,Gebe ve emziren kadınların tamamlayıcı ve alternatif tıp kullanım sıklığı ve bu konudaki tutum ve davranışları<br><span style='font-style: italic';>Frequency of use the complementary and alternative medicine of pregnant and breastfeefing women and their attitude and behavior in this topic,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('rxpb26QOwGmNnHkAksuDfw','olj-mvtapRP4oumgIeK1Lg')"
694112,MERVE DURMUŞ,2021,"Obez hastalarda bir oksidatif stres belirteci olan iskemi modifiye albuminin depresif belirtilerle olan ilişkisinin incelenmesi<br><span style='font-style: italic';>An i̇nvesti̇gati̇on of the relati̇onshi̇p of i̇schemi̇a-modi̇fi̇ed albumi̇n, A marker of oxi̇dati̇ve stress, wi̇th depressi̇ve symptoms i̇n obese pati̇ents",Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('cZrqaLTHgShGLjIyQMXg4g','lye7yANbXfO7JZeUuRQhvA')"
578828,ESRA ÇELİK,2019,Obezite nedeniyle başvuran bireylerin tedavi öncesi ve sonrası anksiyete-depresyon durumlarının değerlendirilmesi<br><span style='font-style: italic';>To be evaluated of anxiety-depression status before and after treatment of individuals applyi̇ng due to the obesity,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('tZFCRNrgsZJSB_sr1eOi3A','sfgRm0jFmNs4auO75_aZCQ')"
428909,ALİ RIZA NAMLI,2016,Kawasaki hastalarında MPV (ortalama trombosit hacmi) ile akut faz reaktanları arasındaki ilişkinin retrospektif bir çalışma ile değerlendirilmesi<br><span style='font-style: italic';>,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('b0S1bBGgS12xYzUeeZKqAQ','wc6qhpxQjZb5liwsSOnWLA')"
622394,AYTEN YILDIZ,2019,Yenidoğan döneminde ihtiyaç duyulan solunum desteğinin tekrarlayan akciğer hastalıklarına ve alerjik hastalıklara etkisinin araştırılması<br><span style='font-style: italic';>Investigation of allergy and asthma susceptibility of patients receiving respiratory support in neonatal period,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('L4BVoFasDM1qNJnBU-IURw','k8AJf9rGzOCC1TB3jYfrrw')"
575916,FATMA BETÜL GÜZEL,2019,Hemodiyaliz hastalarında epikardiyal yağ dokusu miktarı ve aritmi arasındaki ilişki<br><span style='font-style: italic';>Relationship between epicardial adipose tissue thickness and arithmy in hemodialysis patients,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('nqxfUy3lzcW_l9YbI0IxYQ','3VfzAdtpdxCHqyuVV40m_w')"
272002,UĞUR DAL,2010,Hematüri etyopatogenezinin araştırılmasında bilgisayarlı tomoğrafik ürografinin katkıarı<br><span style='font-style: italic';>Turography to investigate hematuria etiopathogenesis contributions,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('np7t6EEOUZDEFCqYyfgs3g','_MXfvLRq20ksXr7fE5I2Mg')"
496928,İSMET SEVİMLİ,2018,Androgenetik alopesi tanılı kadın hastalarda anti-müllerian hormon(AMH)düzeyinin araştırılması<br><span style='font-style: italic';>Investigation of anti-mullerian hormone levels in female pati̇ents with androgenetic alopecia,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('2ODsyx65YdSyW_IjH9nL3A','MdZ2fI4qxO94gEJfqjtWrQ')"
701400,FERHAT ASLAN,2018,Erken membran rüptürlü olgularda başvuru anındaki klinik ve laboratuvar parametreleriyle gebelik sonuçlarının ilişkisi<br><span style='font-style: italic';>The relationship between clinical and laboratory parameters and pregnancy results in the early membrane rupture,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('DpXTLrjyXcbgVczK03h62g','I628njGm1Vh-g_k1snqFRQ')"
611970,YILDIZ DALKIRAN,2019,"Kahramanmaraş Sütçü İmam Üniversitesi Tıp Fakültesi ve Sağlık Bilimleri Fakültesinde okuyan öğrencilerin cinsel sağlık, üreme sağlığı ve acil kontrasepsiyon hakkındaki bilgi düzeyleri ve davranışları<br><span style='font-style: italic';>Kahramanmaraş Sütçü İmam Uni̇versi̇ty Faculty of Medi̇ci̇ne and Health Sci̇ences Faculty students knowledge and behavi̇or about sexual health, reproducti̇ve health and emergency contracepti̇on",Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('6ePTinmb8FUwrWRwlfgQoA','I0vMn0hlIkE6Q3t71KzGsQ')"
351150,HATİCE ŞAHİN,2013,Tip 2 diyabetli hastalarda kan glukoz düzeyi ile karbonmonoksid difüzyon kapasitesi arasındaki ilişki<br><span style='font-style: italic';>Association between blood glucose and carbon monoxide diffusion capacity in TYPE 2 diabetes patients,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('1d0NL7ansA1h1TPNlO9zDg','GONQMs27QT6o6hq6xrk-BA')"
632125,AYŞE HEDEF,2020,"Migren hastalarında serum galectin3, neopterin düzeylerinin incelenmesi<br><span style='font-style: italic';>Investigation of serum galectin3, neopterin levels inmigraine patients",Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry ; Nöroloji = Neurology," onclick=tezDetay('KTv_tz6ARtlXYpol_hP2ZQ','rXnEsRPkKTJ4bLmwFnkOwQ')"
639560,SEVDE NUR GÜNEŞ PALAZ,2020,Kahramanmaraştaki lise öğrencilerinin viral hepatitlerle ilgili bilgi düzeyleri ve farkındalıkları<br><span style='font-style: italic';>Knowledge level and awareness of visa hepatites of HIGH school students in Kahramanmaras,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('j_bc_7sOWVRe0_Aq09lUJw','WCXfo9eSNOcluhLl9-sQnA')"
666339,MEHMET KANDİLCİK,2021,Kardiyak arrest sonrası yoğun bakımda tedavi edilen hastalarda mortaliteye etki eden faktörlerin incelenmesi<br><span style='font-style: italic';>Investigation of the factors affecting mortality in patients treated in intensive care after cardiac arrest,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('pnEib2geVs_HYNwdhXZwRQ','SgxW22711Nwir2EGJ0t_Ug')"
523371,MERVE UYAN,2018,"Diyabetik hastalarda HBA1C ve eşlik eden ek metabolik bozukluklar ile diyabetin komplikasyonları arasındaki ilişki<br><span style='font-style: italic';>The association between HBA1C, metabolic disturbances and diabetic complications in diabetic patients",Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('_TMNhxsuchwWNy2WVeFslQ','0FVSBUfV84Un2b3dzkvCiw')"
243164,ÇAĞATAY ÇITIRIK,2009,Sürekli ayaktan periton diyalizi uygulayan diyabeti olmayan hastalarda roziglitazon kullanımının periton fonksiyonları üzerine etkisi<br><span style='font-style: italic';>Effect of rosiglitazone on peritoneal function in non-diabetic continuous ambulatory peritoneal dialysis patients,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases ; Nefroloji = Nephrology," onclick=tezDetay('ptO9J0XhjVD54zygExpYIQ','zgLh5HNw0iZPDjy76wOr9w')"
632146,MURAT KERKÜTLÜOĞLU,2020,Akut pulmoner tromboemboli hastalarında soluble ST-2 düzeyi ile kronik tromboembolik pulmoner hipertansiyon arasındaki ilişki<br><span style='font-style: italic';>With soluble ST-2 level in patients with acute pulmonary thromboembolism Relationship between chronic thromboembolic pulmonary hypertension,Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('7krdfTcqZvaQ5esZEO-G9g','q7-L9AeRlJy8aKzm3yC_Hg')"
622739,SUNA AKDAĞ,2017,"Demir eksikliği anemisi olan hastalarda otoimmun gastrit oranı, helicobacter pylori enfeksiyonu sıklığının incelenmesi<br><span style='font-style: italic';>In patients with iron-deficieny anemia, autoimmun gastrit rate and investigation of the frequency of helicobacter pylori infection",Kahramanmaraş Sütçü İmam Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('avA8jt-qoo9h175Owjro8w','RZ3ccdzdWErVhQB9XREO1g')"
