tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
329264,NEZİR ÖZGÜN,2013,Trabzon il merkezindeki okul çocuklarında uyku hastalıklarının türleri ve sıklığı<br><span style='font-style: italic';>Types and prevalence of sleep disorders in school children in the city center of Trabzon,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('IJBChdkxnMnv8bfMfoZK1A','FHrrB9A6ijixYtRa8x5EUg')"
236539,HAKAN MERAL,2009,Meme kanserli hastaların mastektomi sonrası komplikasyonları ve risk faktörleri<br><span style='font-style: italic';>Complications and risk factors after mastectomy in breast cancer patients,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery ; Onkoloji = Oncology," onclick=tezDetay('rLpDmKgsJEBE2tRPWMJXiA','aHy0SJ5D9dsg0aFTzVHwVQ')"
308239,TUBA ESEN,2011,İdrarda total protein ve albümin düzeyinin tayininde kullanılan yöntemlerin performans özelliklerinin belirlenmesi<br><span style='font-style: italic';>Determination of performance characteristics of methods used for total protein and albumin measurements in urine,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('1C9m4fAPFpD-boEfpeCNcA','mvP_MQK1uXzmbtr1DSz33g')"
464726,DİLEK HACIOĞLU,2014,Prematüre yenidoğanlarda hemoglobin f ve a düzeylerinin karşılaştırılması ve bunların prematüre retinopatisi gelişimine etkisi<br><span style='font-style: italic';>The determinati̇on of level of hemoglobulin f and a in premature infants and influnce on development to retinopathy of prematurity,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('oOL5nkHLZZhIc4Q_oe6JgQ','X0Eph24cThIMKDM3q4-HBA')"
462586,PERVİN GÜRLEYEN,2017,Ratlarda mezenterik iskemiye bağlı akciğer ve dalak hasarını önlemede farklı zamanlarda uygulanan deksmedetomidinin etkilerinin karşılaştırılması<br><span style='font-style: italic';>The comparison of the effects of different times dexmedetomidine administration for preventing lung and splenic injury due to mesenteric ischemia in the rats,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('83tP0Sve2ugLzUjR5Ly9IA','1C64K9WpGWW4xvwdVvtuJg')"
334272,SÜLEYMAN MOLLAMEHMETOĞLU,2013,Tip-I diyabet hastalarında serum karbonik anhidraz ı ve ıı otoantikor düzeyleri ile diyabetik retinopati arasındaki ilişki<br><span style='font-style: italic';>The relationship between serum carbonic anhydrase i-ii autoantibody levels and diabetic retinopathy in type-I diabetes patients,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('RA-zm3StYceiKNoXLxqe8w','fvFX6HuhVdgR39BAsMHIBQ')"
480075,CENGİZ ALDEMİR,1993,Tavşanlarda serbest kas fleplerinin deneysel incelenmesi<br><span style='font-style: italic';>,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('vTh5XbMJp92LxrRSB3q-yg','W77tWAcoG4g05ubTA8U4lg')"
652179,İREM DİLAVER,2020,Covıd-19 pandemisi sırasında iş sağlığı ve güvenliği uygulamalarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of occupational health and safety practices during the covid-19 pandemic,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('VF0rtEYA8h0z2_JLrQ94-Q','_5aMpjLOc11wvgqcOY24CA')"
523317,MUSTAFA ÇAKIR,2018,Trabekülektomiye giden glokom hastalarında hümör aköz TGF-β2 seviyesinin cerrahi başarı üzerine etkisi<br><span style='font-style: italic';>The effect on surgical success of aqueous humor TGF-β2 level on glaucoma patients who underwent trabeculectomy,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('HRyYbr5EUlKzPAS5LC9LfQ','UUDl9KD2fennxbu2drpypA')"
478242,SEZGİN AÇIL,2017,Tendon otogrefti ile diz osteokondritis dissekansının tedavisi: Retrospektif çalışma<br><span style='font-style: italic';>Treatment of knee osteochondritis dissecans with a tendon autograft:Retrospective study,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('dKm_cblf3muoXErGDnOFfA','OHvwAWJWCwtgAGJvBWKm4A')"
272955,BURCU GÜVEN,2011,"Android ve jinekoid tip obezitede deri kıvrım kalınlığının bazı nöromediatörler, hormonlar ve obezitenin komplikasyonları üzerine etkisi<br><span style='font-style: italic';>The effect of skinfold thickness on some neuromediators, hormones and complications of obesity in android-type and gynecoid-type obesity",Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('AjYz_zgqdjiqCTfGD7I5og','jIByEgYJXZxnhAhKQZCdRg')"
361284,ESRA KONGUR,2014,Artroskopik diz cerrahisinde spinal anestezi indüksiyonunda hasta pozisyonunun spinal anestezinin erken komplikasyonları üzerine etkileri<br><span style='font-style: italic';>The effects of patient position during induction of spinal anesthesia on early complication of spinal anesthesia in arthroscopic knee surgery,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('50Jgp075Q8NhU8perXilJQ','sSyjSAtihXHRz5npQJiNyQ')"
447399,RUKİYE AKYOL,2016,"Tıbbi mikrobiyoloji laboratuvarında hepatit b yüzey antijeni (HBSAG) testi için laboratuvar yapımı iç kalite kontrol materyali hazırlanması ve etkinliğinin değerlendirilmesi<br><span style='font-style: italic';>Preparation of in-house internal quality control material for the testing of hepatitis b surface antigen (HBSAG) in the medical microbiology laboratory, and an evaluation of its effectiveness",Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('4Xg1OeBJvsCIGqEpxToUzQ','5QyMK_spjkWQIHzXjHI6mw')"
272357,SELMA KESKİN,2011,Behçet hastalarında serum İskemi Modifiye Albümin (İMA) seviyesi ve hastalık aktivitesi ile ilişkisi<br><span style='font-style: italic';>Serum Ischemia Modified Albumin (IMA) level in patients with Behçet?s disease and it?s relationship with the disease activity,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('2R3AQk-rBlnmEQfKLKryrw','wN9_rGbR2ZpCEYKUS4JVlg')"
160621,ADNAN ASLAN,2003,"Antiepileptik ilaçların serum lipid, lipoprotein (A) ve karaciğer fonksiyon testleri üzerine etkisi<br><span style='font-style: italic';>",Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('OYVHVJbL2L-kl3Got6aYqQ','CekGq_ynOJqmKMsVXBgb3A')"
362444,ALPARSLAN ÇALIŞKAN,1998,Normal ve preeklamptik gebelerde plazma ve idrar nitrik oksit düzeyleri<br><span style='font-style: italic';>,Karadeniz Teknik Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('xPPgjA8lZg2a4V4yaXqJLQ','zH71E1sIQai7T78I7EPWIQ')"
