tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
625743,MERVE YUMAK,2020,Laparoskopik inguinal herni onarımlarının genel cerrahi uzmanlık eğitimindeki yeri<br><span style='font-style: italic';>Laparoscopic inguinal herni repair in general surgery residenceeducation,Kütahya Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('BA0tECgL-HTf267rdW_6wg','-IvkhO-AMmmZwnzBwKp4Vw')"
556852,AHMET KAYABAŞI,2019,Tip 2 diyabetes mellitus\'lu hastaların hastalıklarına yönelik tutum ve davranışlarının incelenmesi<br><span style='font-style: italic';>Investigation of attitude and behavior of patients with type 2 diabetes  mellitus against their illness,Kütahya Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('_hs_kbUJnadGTK6KvdPCWA','wcZZW0z_uCBfT7IEw-YR6g')"
547535,CEMİLE MUKADDER ÖZKILINÇ,2019,"Geç preterm ve term yenidoğanlarda yenidoğanın geçici takipnesi (YGT) gelişimi ile tiroid hormonları, kortizol ve epinefrin düzeyleri arasındaki ilişki<br><span style='font-style: italic';>Association between development of transient tachypnea of newborn (TTN) and thyroid hormones, cortisole and epinephrine levels in late preterm and term newborns",Kütahya Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('Un9bn5QjNWVnkafAKnJifQ','2aYpHs6rmxMwpy_GDkrQEg')"
660899,ALPER AKKURT,2021,Trombositten zengin plazma/fibrin ve trikalsiyumfosfat\'ın sıçanlarda vertebral füzyon üzerine etkileri<br><span style='font-style: italic';>The effects of platelet rich plasma / fibrin and tricalsium phosphate on vertebral fusion in rats,Kütahya Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('GKC6_vpMPi1K4tWOo_Ea-Q','t-CsctFSfU_hMv0c41Hvjw')"
542764,YASİN AKKUŞ,2019,Adölesan obezitesinin EKG ve SFT  üzerine etkilerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the effects of adolescent obesity on ECG and PFT,Kütahya Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('x7BOqFFuHlnEAB7cdIXgdg','fAVAyTnk4oKQ1_vHru6UIA')"
676187,MUHAMMET EMİN KALAY,2021,2016-2020 yılları arasında lenfoma tanısı alan hastaların dağılımı ve uluslararası prognostik skorlara göre tedaviye yanıt oranlarının değerlendirmesi<br><span style='font-style: italic';>Distribution of patients diagnosed with lymphoma between2016-2020 and evaluation of treatment response rates according tointernational prognostic scores,Kütahya Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('62lmv1rSO1JukpgdKz1Iww','HjjrLx6qrCy33FktNdTb1A')"
578296,ALPER AKAY,2019,Sağlık çalışanlarının aşı reddi konusundaki fikirleri ve tutumları<br><span style='font-style: italic';>Health Workers\' Opinions and Attitudes on Vaccine Rejection,Kütahya Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('h8c21rJfoana_4GATJwRrg','nMybFUMUMoQcXvPKVB2LBg')"
668117,İLKNUR ELİFOĞLU,2021,Tip 1 diyabetes mellitus tanılı çocuklarda kardiyak repolarizasyon değişikliklerinin elektrokardiyografik olarak incelemesi<br><span style='font-style: italic';>Electrocardiographic evaluation of cardiac repolarization in pediatric patients with type 1 diabetes mellitus,Kütahya Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('FiecDJR5kfP7EhRrLqOarQ','fhv3dZRe-oVtr-ZDTfx2iA')"
623659,SAVAŞ SARİ,2020,Atopik dermatitli çocukların annelerinde uyku kalitesi ve kardeşlerinde yaşam kalitesinin değerlendirilmesi<br><span style='font-style: italic';>,Kütahya Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('uOuFkl1RNsnyzbZeJCZw7w','9zl1axa4ypaJYEgaAyLJcg')"
647885,EFKAN KENAN,2020,Warfarin kullanan hastaların tedaviye uyumu ve hedef INR değerini etkileyen faktörler<br><span style='font-style: italic';>Compliance of patients using warfarin to the treatmentand the factors affecting the target INR,Kütahya Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('yd-1-Ry_i-N3zwPk96hVtQ','r-pwQACxbtalX7fqwI_fcw')"
