tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
507632,MUHARREM ATASEVER,2018,"Genel anestezi altındaki hastaların operasyon bitiminde ekstübasyon zamanına karar vermede, ultrasonografik ve nöromusküler monitörizasyon (TOF) yöntemlerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the ultrasonographic and neuromuscular monitoring (tof) methods for decision to extubation time in patients under going general anesthesia",Kırıkkale Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('NN_GIN2cl5JvwVJ5FKwtvQ','iy0FdEd08BXW-SGu6HcNvg')"
297380,MAHMUT TURĞUT,2011,Üriner sistem enfeksiyonu geçiren çocuklarda idrar mikroalbümin düzeyi<br><span style='font-style: italic';>Urine microalbumin levels in children with urinary tract infection,Kırıkkale Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('54OmkkIXrp5vziT3bfW93Q','cm3jRf1pWE84oJlS3l4bnA')"
448748,FATİH MEHMETHAN PAŞAAZGINOSMANOĞLU,2015,"İdiyopatik karpal tünel sendromunda steroid fonoforezi, ESWT ve splint tedavilerinin etkinliğinin karşılaştırılması<br><span style='font-style: italic';>Compari̇son of steroi̇d phonophoresi̇s, ESWT and spli̇nt appli̇cati̇ons i̇n the management of the i̇di̇opathi̇c carpal tunnel syndrome",Kırıkkale Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('T8z2V0xEMNuxWxdSxxXy0w','B1gthfKibjI-u50hzHUs6w')"
690430,BAŞAK GÜL YÖRÜK,2021,Tıp fakültesi öğrencilerinin tütün ürünleri kullanım alışkanlıkları ve etkileyen faktörlerin belirlenmesi<br><span style='font-style: italic';>Tobacco use habits of medical faculty students and determination of affecting factors,Kırıkkale Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('rIPjCwhDoVlNVD0A7inADA','9yn3uPb1c2GLcSd6CljoBQ')"
688177,AYŞE YÜCEL,2021,Hepatoselüler karsinom ile maresin 1 arasındaki ilişki<br><span style='font-style: italic';>The relationship between hepatocellular carcinoma and maresin 1,Kırıkkale Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('flCsUBF97gTyo7LdDZLICg','KVU0Z4zdXONzbHau2P4dNQ')"
243228,MUSTAFA EMİRDOĞAN,2009,Süperior mezenterik arter oklüzyonu nedeniyle yara iyileşmesi bozulan ratlarda anastamozun periton ile sarılmasının kolon anastomozu iyileşmesine etkisi<br><span style='font-style: italic';>The effect of peritoneal coverage on colonic anastomos healing in rats whose wound healing is impaired due to superior mesenteric artery occlusion,Kırıkkale Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('aJJDHFeRF400wajyqh9Mdg','WWuSjbAGY2AWzwBxXAqlug')"
448958,MUSTAFA ÇAĞLAR YÖRGÜÇ,2016,Kırıkkale Üniversitesi Tıp Fakültesi Hastanesi çocuk hematoloji ve onkoloji bölümüne başvuran demir eksikliği saptanan hastalarda demir eksikliğinin kan hücre hacimleri üzerine etkisi<br><span style='font-style: italic';>Iron deficiency\'s effect on blood cell volume in  iron deficiency-diagnosed patients  who applied to the pediatric hematology and oncology department in Kirikkale University Hospital,Kırıkkale Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('kcoN7kS41GZrc2clAhS93Q','w71tSpBq_ciCN2kVKDkTfA')"
649523,MURAT ULUCAN,2020,"Adli Tıp Kurumu Ankara Grup Başkanlığı Morg İhtisas Dairesi\'nde 2014-2018 yılları arasında otopsileri yapılan kadın ölümlerinin adli tıbbi ve sosyodemografik özeliklerinin incelenmesi<br><span style='font-style: italic';>Investigation of forensic medicine and sociodemographic characteristics of autopsied woman deaths performed at the morgue department of Forensic Medicine Institute Ankara Group Presidency, between 2014-2018",Kırıkkale Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('ZH3MiohuLmAt52GZ6jjGbA','WQXckTlWmeSNNiQhiqOm2A')"
448747,ZARİFE ESRA DURSUN,2015,Umbilikal kord kanı IRF değerinin perinatal olaylar ile ilişkisinin araştırılması<br><span style='font-style: italic';>Investigation of the relationship between umbilical cord blood İRF level and perinatal events,Kırıkkale Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('4fOsmxgbdbMSc7B_CEy1HA','G_r4T2ybXxAh2LNlWiq8mA')"
297395,AFİTAP GÜLÇİN BAK,2011,Migren hastalarında global/lokal hiyerarşik görsel işlemlemenin değerlendirilmesi<br><span style='font-style: italic';>Migraine and Global/Lokal Hierarchical Visual Processing,Kırıkkale Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('LH3q5nhLB9aUNK_D7skmHw','THPntzp53NCYBiroUzL4_g')"
489737,BARIŞ YILMAZ,2017,Acil serviste nörolojik muayenesi normal olan baş ağrılı hastalarda beyin tomografisi etkinliğinin değerlendirilmesi<br><span style='font-style: italic';>Assessment of brain tomography efficacy in patients with headache who have normal neurological examination,Kırıkkale Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology ; Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine ; İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('IKhiTd_fjF2t4KZcw3Rwnw','vci4w3yp78GXBKKx9kHsRA')"
482977,İBRAHİM HALİL ASLAN,2017,Bipolar ve unipolar depresyon hastalarında ruminasyonun klinik değişkenler ve bilişsel işlevlerle ilişkisi<br><span style='font-style: italic';>Rumination in bipolar and unipolar depression in relation to cognitive functions and clinical variables,Kırıkkale Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('qPEmjaikcvvdxM68mgqnfg','PMCo8f86QOXpPCBOE4elwg')"
508513,BURAK CANVER,2007,"Klinik ve subklinik hipotiroidili olgularda tedavi öncesi ve sonrası insülin direnci, serum rezistin ve crp düzeyinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of insulin resistance, serum resistin and CRP levels in patients with clinical and subclinical hypothyroidism before and after treatment",Kırıkkale Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('ymDV331DrnNHtsGpD54qFg','iaT9c3vBmzus1fKxwbiprA')"
156923,FATMA KARA KARACA,2004,Tip 2 diabetes mellituslu hastalarda APO B içeren lipoproteinlerdeki sialik asidin önemi<br><span style='font-style: italic';>The importance of sialic acid at lipoproteins containing APO B in patients with type 2 diabetes mellitus,Kırıkkale Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('2YrNFUA-BbSDyY0eAD5FjQ','C8YoBGOoJXqomlaYM8GUdw')"
297393,DERYA ERDOĞDU,2011,"Polikistik over sendromlu olgularda metformin, etinil estradiol/siproteron asetat ve metformin etinil estradiol/siproteron asetat kombinasyonu tedavisinin karotis arter tunika intima media kalınlığı üzerine etkileri<br><span style='font-style: italic';>",Kırıkkale Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('peSVtK58g7vgy8rmaHdksA','C5tUFb_vAQjGxOkiCsh4yw')"
