tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
272626,ESRA TOZAN BAYRAK,2011,Postopratif kolan kanserli olgularda bilgisayarlı tomografi kolonografi<br><span style='font-style: italic';>Computed tomography colonography in the follow up of postoperative colon cancer cases,Maltepe Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('ZuyQCHahSSl__1n9z0hn6g','TUhaWJfgoLzvmE6ZOe1epg')"
632028,FUNDA DUYMAZ DİLER,2020,"İnfertilite tedavisi gören kadınlarda algılanan sosyal destek, psikolojik dayanıklılık ve baş etme stratejilerinin yaşam doyumu üzerine etkisi<br><span style='font-style: italic';>The effect of perceived social support, psychological resilience and coping strategies on life satisfaction in women receiving infertility treatment",Maltepe Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('f3E_VlF71aB8zSEYsrJspA','0Mv_1IjnpCrOU6LRO_nRow')"
281013,ZERRİN BİNBAY,2011,"Major depresyonu olan hastaların birinci dereceden yakınlarında depresyon varlığının araştırılması, stresle başa çıkma yöntemleri, mizaç ve karakter özellikleri<br><span style='font-style: italic';>Evaluation the presence of depression in the first-degree relatives of patients diognosed with major depression,coping way of stress, temperament and character traits",Maltepe Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('VsAhUuX9ZFguXM8lnhpEyQ','gLTutO2X3bkG-8K7RF-cvQ')"
285793,EVRİM DOĞAN KÖSE,2011,Kronik hemodiyaliz hastalarında iki diyaliz arasındaki volüm yükü farklılığının asimetrik dimetil arjinin üzerine etkisi<br><span style='font-style: italic';>The effect of variation of fluid overload between two hemodialysis on inflamatuar parameters and asymmetric dimethyl arginine in chronic hemodialysis patients,Maltepe Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('EwO_pY8DFilMt418FZt1sg','9QYFXyQz327Xzm7HQbL1og')"
281012,IŞIL ATASOY,2011,İnen aort akım paternleri ve farklı klinik durumlarda akım paterni değişimi<br><span style='font-style: italic';>Flow patterns in descending aorta and its relation with disease processes,Maltepe Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('YpMFMiTTn3Vrg81cI_PGKA','5Eb27BSZaNZMil99UAAL9g')"
272511,ÜNSAL SARI,2011,Non-midriyatik fundus kamera ile alınan arka segment fotoğraflarının glokom yönünden taranması<br><span style='font-style: italic';>The evaluation of posterior segment photographs taken by non-mydriatic fundus camera for the presence of glaucoma,Maltepe Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('PKxicseuyEI7IO2NcjNlgw','m1LaPl1MlGG80QLhZVlakw')"
522131,SELİN CİLLİ HAYIROĞLU,2018,"Kas iskelet sistemi kökenli kronik hastalıklardan   fibromiyalji, romatoid artrit, generalize osteoartrit ve nöropatik ağrıda hastalık algısının önemi<br><span style='font-style: italic';>The importance of illness perception in fibromyalgia, rheumatoid arthritis, osteoarthritis and neuropathic pain",Maltepe Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('Sju9IGZdjEGjIwUDQu70VQ','S6J-GuZFOFUWIp7g3_UPGw')"
347808,OZAN ÖZDEMİR,2013,Bilateral osteotomi yapılan primer septorinoplasti olgularının osteotomilerinin open roof açısından bilgisayarlı tomografi ile değerlendirilmesi<br><span style='font-style: italic';>Measurement of dorsal and ventral width using computed tomography in primary rhinoplasty with spreader grafts and lateral osteotomies,Maltepe Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('em5OY1J8pcXpoeV_GNc5yg','qo5wbNwIZZe4vvzl2Vs_Ng')"
523341,PINAR AKÇA BOYLU,2018,Dikkat eksikliği ve hiperaktivite bozukluğu ile obezite risk faktörleri aradındaki ilişkinin incelenmesi<br><span style='font-style: italic';>The relationship between attention deficiency hyperactivity disorder and obesity risk factors,Maltepe Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('oo96056mm1KoU0g1pknCHg','OlCiRQyTh0Ksx7xRU8AUrg')"
352911,FEYZA ERSAN,2014,"Arınma tedavisini tamamlamış alkol bağımlılığı tanısı alan erişkin hastaların nörobilişsel işlevler, dürtüsellik ve zihin kuramı açısından sağlıklı gönüllülerle karşılaştırılması<br><span style='font-style: italic';>Comparison with in terms neurocognitive functions, impulsivity and theory of mind between alcohol dependence diagnosed adults and healthy volunteers",Maltepe Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('0bYsAieNK7sjPKyvEZf67g','u9MegHPoKAJazWzsoXC_4w')"
