tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
691841,NESİBE EFRUZ ŞEN GÜNDOĞAN,2021,"Tarım işkolunda, nitel yaklaşımlarla, güvenlik kültürünü belirleyen değişkenlerin tanımlanması<br><span style='font-style: italic';>Variables that define safety culture in agriculture with qualitative approaches",Manisa Celal Bayar Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('iu5gwpmYbCMqmeFB9VZ9BA','YqjOMUqxaZs-eP4pZgjd-g')"
656181,SEMA MALGAZ,2021,Santral korneal kalınlık ölçümünde non kontakt ölçüm yapan 4 farklı cihazın güvenilirliğinin ve tekrarlanabilirliğinin karşılaştırılması<br><span style='font-style: italic';>The comparison of reliability and repeatability of four different non contact devices in regardi̇ng of central  corneal thickness measurement,Manisa Celal Bayar Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('Z5ccz6a_5SWMzQVThiRsEA','6YqvBJwk8yet3NuyIDb8_A')"
683342,BURCUGÜL KARASULU BECİ,2021,"Hiperbilirubinemili yenidoğanlarda nörolojik hasar, oksidatif hasar ve dna hasarının gösterilmesi<br><span style='font-style: italic';>Demonstration of neurological damage, oxidative damage and dna damage in newborns with hyperbilirubinemia",Manisa Celal Bayar Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('J9zzIwbT8rsQP10eZBDhVg','k1UJmCTmERwm6USrJG3y0g')"
674425,FUNDA AKIN,2021,Şizofreni hastaları ve sağlıklı kardeşlerinde retina sinir lifi tabakası ve makula kalınlığının karşılaştırılması ve bilişsel işlevler üzerine etkisi<br><span style='font-style: italic';>Comparison of retinal nerve fiber layer thickness and macular thickness in schizophrenia patients and their healthy siblings and its effect on cognitive functions,Manisa Celal Bayar Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('T4BqmTdyH_ibJ6FsRhf9FA','mFqWpfNiIsX27XMZz-0M8A')"
629969,HALİSE ZENGİN,2020,KOAH\'lı hastalarda risk değerlendirme indekslerinin postoperatif komplikasyonları öngörme güçlerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of predicting strenghts of postoperative pulmonary complication risk evaluation indices in patients with Chronic Obstructive Pulmonary Disease (COPD),Manisa Celal Bayar Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('qmUD76sh8Bv4RfQdehfx_g','IjSOLWUJEsBIL_TbC-7HhA')"
661687,ZÜLKÜF ARSLAN,2021,"Kronik spontan ürtikerli hastalarda ikinci kuşak antihistaminler ve omalizumab tedavisinin nötrofil/lenfosit oranı, trombosit/lenfosit oranı ve ortalama trombosit hacmi üzerine etkilerinin birbirleriyle ve kontrol grubu ile karşılaştırılması<br><span style='font-style: italic';>Comparison of the effects of second generation antihistamines and omalizumab treatment on neutrophil / lymphocyte ratio, platelet / lymphocyte ratio and mean platelet volume in patients with chronic spontaneous urticaria with each other and with the control group",Manisa Celal Bayar Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('BEApevizKliFTo78lzmErw','KL475m8NgBBfuOk1dmvy5Q')"
568715,ÖMER FARUK AYKIR,2019,Manisa Celal Bayar Üniversitesi Hafsa Sultan Hastanesi acil servisine başvuran adli nitelikli kadın olguların değerlendirilmesi<br><span style='font-style: italic';>Evaluation of forensic women cases applied to Manisa Celal Bayar University Hafsa Sultan Hospital emergency department,Manisa Celal Bayar Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('P4z8ysWhTdpgsfr2hlWuBg','591aSjjZhNv-JmB4948kZA')"
613252,MUHAMMED ALP ÖZDEMİR,2019,Hekime yönelik şiddetin Manisa Celal Bayar Üniversitesi Tıp Fakültesi öğrencilerinin kariyer seçimindeki etkisi<br><span style='font-style: italic';>The effect of violence against doctors on the career selection of students of Mani̇sa Celal Bayar University Faculty of Medicine,Manisa Celal Bayar Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('Kg5mrQhn-ijGOqiEAmz5QQ','EK9_Qj-dhfwuRiKw4m5gaw')"
669533,SENEM YILMAZ,2021,Kolon polipleri ve uzun kodlanmayan RNA (LNCRNA) polimorfizmleri<br><span style='font-style: italic';>Investigation of colon polyps and long non-coding RNA (LNCRNA) polymorphisms,Manisa Celal Bayar Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('wIWdln23TV6K4pfTASEXrw','nUIOVmqh7fa2LpeWpLlN1w')"
685598,HASAN BASRİ ALKAN,2021,Acil servise başvuran santral sinir sistemi enfeksiyonu öntanısı ile lomber ponksiyon yapılan hastaların real-time PCR yöntemi ile etkenlerinin retrospektif olarak değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of the factors with real-time PCR method in patients who applied to the emergency department and had lumbar puncture with prediagnosis of central nervous system infection,Manisa Celal Bayar Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('QXC-tCGcLqjKxu_iXbff-A','kRyHt7vRD-f911ZxPyKJBQ')"
703965,BARIŞ BAYRAM,2021,Kardiyopulmoner bypass öncesi iskemik uzak-ön koşullanmanın sistemik inflamatuar yanıt üzerine etkisinde preoperatif ve postoperatif presepsin düzeylerinin araştırılması<br><span style='font-style: italic';>The research of preoperative and postoperative presepsin levels on the effect of remote ischemic preconditioning before cardiopulmonary bypass on the systemic inflammatory response,Manisa Celal Bayar Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('p--QsGlmr3CnJhk_KEj6Aw','dGnypaCb2y2qRoeMCMvx2w')"
