tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
604474,ŞEYDA KARABULUT,2019,Ketojenik diyet ve kalori kısıtlı diyetin anti-inflamatuvar etkilerinin incelenmesi<br><span style='font-style: italic';>Investigation of anti-inflammatory effects of ketogenic diet and calori restricted diet,Marmara Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('eh5Ywyh8oJNehXY7-bxrAQ','FBp4g4K-_TnVRCEBKpMMeg')"
535715,TARIK KIVRAK,2013,Pulmoner  endarterektominin altı  dakika  yürüme testi  ve ekokardiyografik  parametrelere  olan  etkisi<br><span style='font-style: italic';>Six-minute walk test and echocardiographic parameters effect of the pulmonary endarterectomy,Marmara Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('gOj6-HtkUKwjg4WStWK-kA','ITmo4g8c7OkR9ql8rdcwNg')"
429102,TARIK EMRE ŞENER,2016,Deneysel üriner sistem taş hastalığı modelinde melatonin\'in koruyucu etkileri<br><span style='font-style: italic';>Protective effects of melatonin on urinary system stone disease in rats,Marmara Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('pKz0mUrzw29-d32DjpymbA','qrCmpANkhdXvrS5B8QXWNw')"
679893,CEREN ÖZGE ŞAHİN,2021,Hepatik malignensilerde yttrium-90 cam mikroküreler ile gerçekleştirilen selektif internal radyoterapinin karbonmonoksit difüzyon kapasitesine olan etkisi<br><span style='font-style: italic';>The effect of selective internal radiotherapy with yttrium-90 glass microspheres on carbon monoxide diffusion capacity in hepatic malignancies,Marmara Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('0ciF48twAiXEL6nT9Ti8mA','fpiDxHvPugU6-5Zq7RMuMg')"
629932,EMRAH DOĞAN,2019,Türkiye\'de genel sağlık sigortası uygulamasının hanehalkı sağlık harcamalarına etkisi<br><span style='font-style: italic';>The impact of the general health insurance scheme on household health expenditures in Turkey,Marmara Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('LJbF-ZBwofVLWMDMlqI6fA','taLArvVct0wt1xfOU8h6CA')"
539492,BETÜL KARAKUŞ,2019,"Televizyondaki şiddetin çocukların davranış ve tutumlarına etkisi hakkında ebeveynlerin düşünce, davranış ve tutumları<br><span style='font-style: italic';>The thought, behavior and attitudes of parents on the effect of violence on children\'s behaviors and attitudes",Marmara Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('_SKLN3RxNHZhWYCqYfB1Dg','MPAGBnmD4EqpN-ulExVlGA')"
409397,CANAN ŞANAL TOP,2015,"Romatoid artrit tanılı hastalarda yorgunluk, uyku bozukluğu ve ayak tutulumlarının denge parametreleri ile ilişkisi<br><span style='font-style: italic';>",Marmara Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('H-4cK04-cxBBFce3cuOn7w','o_mUXLf4K09tOrPxfFxOVg')"
525967,EKİM CAN ÖZTÜRK,2017,"Ankilozan spondilit hastaları ile non-radyografik aksiyel spondiloartropati hastalarının lomber paraspinal kaslarının görüntü, fonksiyon ve elektrofizyolojik bulgularının karşılaştırılması<br><span style='font-style: italic';>The comparison of paraspinal muscle features between patients with ankylosing spondylitis and non-radiographic axialspondyloarthritis",Marmara Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('jo2UZ5xgrEbHF7aaKvFXhQ','dSXmLU-RtDQ5hPCB90PjPw')"
479046,SAMIR ZEYNALOV,2017,Bölge IV ekstensör tendon yaralanmalarının üç farklı dikiş yöntemi ile onarımı sonrası uygulanan erken aktif hareketin onarım sahasındaki ayrışma üzerine etkisi<br><span style='font-style: italic';>The effects of gap formation on repair site of postoperative immediate active mobilization after repairing extensor zone IV tendon with 3 various suture techniques,Marmara Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('sf5l1eVHlRE7-BLxbmtaIQ','gj0PCH7pTmIMUk63gifuhw')"
525971,MUSTAFA ÖZEN,2018,Hepatektomi ameliyatında damar içi sıvı hacminin \'pleth variability ındex (PVI)\' ile değerlendirilmesi<br><span style='font-style: italic';>Assesment of intravenous fluid volume with  \' pleth variability index (PVİ) \' in hepatectomy surgery,Marmara Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('F1O5DauF6ye4q_TdW_fY7A','NaIduQFuHks1vcJ17fM9GQ')"
