tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
445587,SAİT ÇOLAK,2016,"Travmatik timpanik membran perforasyonlarında alfa lipoik asit uygulaması sonrası perforasyon kapanma oranları ve timpanik membrandaki histopatolojik değişikliklerin değerlendirilmesi: deneysel bir çalışma<br><span style='font-style: italic';>After alpha lipoic asid application, tympanic membrane closing rate and evaluation of histopathological changes of tympanic membrane in traumatic tympanic membrane perforation; an experimental study",Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('Azy4sqBRYJRMyaXrV6et8g','RGteeWpfijyL1WpQymIItA')"
552858,ÖZGE KELEŞ BAYER,2019,Hı̇poksı̇ ı̇le ı̇ndüklenen faktör 1 alfa (HIF-1 alfa )\' nın erken ve geç preeklampsı̇ tanısındakı̇ yerı̇ ve rejenere adacık hücre türevı̇ proteı̇n 3 alfa (REg3-a)\'nın preeklampsı̇ etyolojı̇sı̇ndekı̇ önemı̇<br><span style='font-style: italic';>Hypoxia-inducible factor 1 alfa (HIF-1 alpha) \'s spot in early and late stages of preeclampsia diagnosis and the significance of regenerating islet-derived protein 3-alpha (REg3-a)\'s in preeclampsia etiology,Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('l_qrdUjWhxYPuZvO_gn2yA','FB4cH5Up7YCTM7f59UtTzw')"
535195,YASEMİN ALTINTAŞ,2010,Beta talasemi major hastalarında pankreas usg ve mrg  bulgularının glukoz tolerans testi ile ilişkisinin değerlendirilmesi<br><span style='font-style: italic';>Assessment of pancreatic ultrasonography and mri findings in relation to glucose tolerance test in patients with beta thalassemia major,Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('3tnMyO8qFVZKPMxWSRFRNw','OGqGXAPleEaaXXf3PD9B1A')"
352822,RIZA FIRINCIOĞULLARI,2013,Konvansiyonel manyetik rezonans görüntüleme ile glenoid morfolojisi ve buford kompleksi arasındaki ilişkinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the relation between glenoid morphology and buford complex by means of conventional magnetic resonance imaging,Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('KMID4fDMKUQsAzmlutIYdg','PwylyBZS6hOuMLbDjx14dQ')"
408185,AHMET BEYAZIT,2015,Gebeliğin üriner inkontinansa etkisi<br><span style='font-style: italic';>Effects of pregnancy urinary incontinence,Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('Wq3lvLcDnbtepUDocdeq4A','a6ChPj4vblxGC31n2t7-jA')"
365848,ALPER DOYURAN,2014,Gelişimsel kalça çıkığında klinik deneyimlerimiz<br><span style='font-style: italic';>Our clinical experience at developmental dysplasia of hip,Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('IsQwG-N-r_AuufRadMCM1g','JPvBVFs12WF8k_LZ5GkAgQ')"
352830,SERKAN YILMAZER,2011,Multipl skleroz hastalarında uykuya ilişkin parametrelerin değerlendirilmesi<br><span style='font-style: italic';>Assesments of sleep parameters in multiple sclerosis patients,Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('v-O3vaI7jfefzLmLwv7BCw','IrSa7G0hKzkguqF2TzfZfQ')"
379292,METİN AKSAKAL,2014,Postadölesan akneli hastalarda demodex Spp\'nin araştırılması<br><span style='font-style: italic';>Investi̇gati̇on of demodex Spp in patients with postadolescent acne,Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('oV-x-rnxKlyvhmhBI2g8BQ','AqLiwTCpxiOmWKGObg2qnw')"
347646,EMRE KARAOĞLU,2012,Larenks karsinomlarında tümör volümü ile lenfatik metastaz ve prognoz arasındaki ilişkinin değerlendirilmesi<br><span style='font-style: italic';>,Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('8BkfMjJGz_UHlt2ZxdW6sQ','tPKde3dMXcdbfMFRDgoJ4A')"
455045,YENER FIRINCIOĞULLARI,2016,Keratometri değerleri ve ön segment ölçümlerinin sirius topografi cihazı ve iol master ile karşılaştırılması<br><span style='font-style: italic';>Comparison of anterior segment and keratometric measurements obtained with sirius topography system and iolmaster,Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('9sn_zNBX33ygoa3PtbEorw','_ofbXE3cyU8JLvvLN20mRg')"
