tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
639590,FURKAN ÇAV,2020,Yenidoğan sepsisi tanisinda trombosit sayisi ve ortalama trombosit hacmi değerlerinin önemi<br><span style='font-style: italic';>The importance of trombocyte and MEAN platelet volume in diagnosis of neonatal sepsis,Namık Kemal Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('4eDK-Z52PmGIDGiMl77qag','M00JRAqId5PbxdI8o78XXw')"
644405,SİNAN AKTÜRK,2020,"Mamografik meme parankim yoğunluğu ve kemik mineral yoğunluğunun meme kanseri risk faktörü açısından değerlendirilmesi<br><span style='font-style: italic';>Investigation of associaton between mammographic breast density, bone mineral density and breast cancer development risk",Namık Kemal Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('LD2NVa95HQmOBOZNKQGISQ','2s0bHGJR4chScIlL6h3rTg')"
674152,ECE BAYDAR,2021,Neoadjuvan tedavi alan meme kanserli hastalarda yeni bir inflamatuar belirteç olan serum kalprotektin düzeyinin tedaviye yanıtta prediktif değeri<br><span style='font-style: italic';>Predictive value of serum calprotectin level that is a new inflammatory indicator in patients with breast cancer receiving neoadjuvant treatment,Namık Kemal Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('gdqQnwbjEKXkwbfEdS1iTw','1-HCIoXf5bshlqRmStfdoQ')"
814541,MEHMET OKAN DONBALOĞLU,2016,"İzole organ banyosu düzeneğinde metaproterenol sülfat\'ın koroner arter bypass operasyonu sırasında kullanılan radyal arter, safen ven ve mammariyan arter üzerine etkilerinin incelenmesi<br><span style='font-style: italic';>İzole organ banyosu düzeneğinde metaproterenol sülfat\'in koroner arter bypass operasyonu sirasinda kullanilan radyal arter, safen ven ve mammariyan arter üzerine etkilerinin i̇ncelenmesi",Namık Kemal Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('uVmM3ALLc66sJ5C87JLKpA','fkD59kGdT4VodQ2orS1xFQ')"
703900,FIRAT CAN SÖĞÜT,2021,Primer endometriyum kanseri olgularında immunohistokimyasal incelemenin prognoz ile ilişkisinin retrospektif incelenmesi<br><span style='font-style: italic';>Role of immunohistochemistry on prognosis of primary endometrium cancer patients; A   retrospective study,Namık Kemal Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('fOiQS6TScKG9QdT5xTr9YQ','4VITOKj5EBaZDqklQbSfrg')"
682337,ENES ARDIÇ,2021,Genişlemiş spektrumlu β-laktamaz üreten Escherichia coli ve Klebsiella pneumoniae suşlarının etken olduğu üst üriner sistem enfeksiyonlarında β-laktam / β-laktamaz inhibitörü ve karbapenem tedavilerinin etkinliğinin retrospektif değerlendirmesi<br><span style='font-style: italic';>Retrospective assessment of the treatment effectiveness of β-lactam / β-lactamase inhibitor and carbapenem groups antibiotics in upper urinary tract infections caused by extended spectrum β-lactamase producing Escherichia coli and Klebsiella pneumoniae,Namık Kemal Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('iYui8Ge7cVr3Xg3q-FaYTg','Qpq36DEJ_IfCsHZetPruWg')"
597969,ÖZKAN SEVER,2013,Bilateral diyabetik maküla ödemi olan hastalarda kombine intravitreal triamsinolon asetat ve bevacizumab enjeksiyonunun yalnızca bevacizumab enjeksiyonu ile karşılaştırılması<br><span style='font-style: italic';>Intravitreal bevacizumab versus bevacizumab and triamcinolone acetonide in eyes with bilateral diabetic macular edema,Namık Kemal Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('lAyM99fPL-gnQLahTNWVVw','jax24UuJoAmpM3waBEUNKQ')"
778487,SELEN GÜR,2023,Hipotonik bebeklerde genetik ve radyolojik incelemenin önemi<br><span style='font-style: italic';>The importance of radiological and genetic examination in hypotonic infant,Namık Kemal Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('WT98PqFaUWD12wD-5_gLNg','ZlT4OCEutXpanEmSFj0Pjg')"
706241,HAKAN ŞİMŞEK,2021,Gebelerin folik asit ve B12 kullanımı ile ilgili farkındalık düzeyi ve eksikliklerin belirlenmesi<br><span style='font-style: italic';>Determination of awareness level and deficiencies about folic acid and B12 use of pregnancy,Namık Kemal Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('RouYsxfMCk84qNaQHUragg','jmAcZIS1VfINN4BjJHpmGQ')"
632032,MEHMET NAYİMOĞLU,2020,"Psöriatik artrit hastalarında kan sklerostin seviyelerinin hastalık aktivitesi ile periferik ve aksiyel iskelet tutulumuna dair subgrupların incelenmesi<br><span style='font-style: italic';>Investigation of blood sclerostin levels in disease activity, peripheral and axial skeleton involvement in psoriatic arthritis patients",Namık Kemal Üniversitesi,Tıpta Uzmanlık,Romatoloji = Rheumatology," onclick=tezDetay('NHqkj8UKmcqFLOs_mLn6EA','MHOPh95ARshCtheqe9bvhQ')"
