tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
666348,HİKMET ÇİNKA,2021,Turnike süresinin total diz artroplastisinde ağrı kanama ve fonksiyonel sonuçlar üzerine etkisi<br><span style='font-style: italic';>,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('cs9uHi2Sd_Vrrg6QqQRxEA','j67fGjJy2gBSfaDWdZ0jPQ')"
644435,MERVE DEĞİRMENCİ,2020,Eating attitude test-26 (EAT-26)\'nın Türkçe versiyonu yeme tutum testi-26 (YTT-26)\'nın geçerlilik güvenilirlik çalışması<br><span style='font-style: italic';>Reliability and validity of the Turkish version of the eating attitude test-26,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('E5lPiberL3KygKmdQHbRRA','HLn7-Xf6mJ7twrY4afUAlw')"
652424,MERVE ECEM ÖĞRETİCİ ÇOLAK,2020,Çocuklarda özofagogastroduodenoskopi işleminin retrospektif değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of esophagogastroduodenoscopy procedure in children,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('GxE6MHKaN1NULl8CYNLyEQ','wtIc5yOJYFdLdFWxiZ7SFg')"
361384,MURAT ÖZKARCI,2014,Modifiye öksürük stres testinin stres üriner inkontinans tanısında geçerliliğinin araştırılması<br><span style='font-style: italic';>The research of the validation of modified cough stress test in diagnosis of stress urinary incontinence,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('YqgwOGfKOHxej2BxxMo1Dg','G1a01C0iAlfRCjtR8dI5FA')"
462713,ŞEMSETTİN KARDAŞ,2017,Östaki tüpü ve petröz kemik pozisyonu kronik otitis media gelişiminde bir risk faktörü müdür?<br><span style='font-style: italic';>Is the eustachian tube and petrous bone position a risk factor in the development of chronic otitis media?,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('dbefnNZAcQa1k_pKLDbSQw','RX7dHA79IBQ0nxZ9to2UZQ')"
361383,CEMALETTİN CENGİZ BEYAZ,2014,Erkek infertilitesinde Y kromozomu üzerindeki subdelesyonlar<br><span style='font-style: italic';>Y chromosome subdeletions in male infertility,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('T2L4aRSg9hfzaZk8bQE6GQ','He7MvG7ncB_UgUrqQkpRrA')"
464253,ŞERİFE GÜLHAN KONUK,2017,Çok renkli (multicolor) görüntülemeyle diyabetik retinopatili hastalarda retina iskemisinin değerlendirilmesi<br><span style='font-style: italic';>Retina ischemia evaluation of diabetic retinopathy diagnosedmulticolor imaging,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('-KJkr7PBKRl_vN3Bsr5SLQ','5Yt-D7MTBub88o_bwDOz1g')"
417478,FATİH TAY,2016,Ankilozan spondilitli hastalarda anti-tnf tedaviye geçişi işaret edecek olası faktörlerin araştırılması<br><span style='font-style: italic';>Investigate the possible factors which willmark the transition to anti-tnf therapy in ankylosing spondylitis patients,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Romatoloji = Rheumatology," onclick=tezDetay('QhO06DfwK1ScGd_b1NeCCQ','4nHL1vSW4T5VrrtBQYIhyQ')"
377987,GÖKSEL DAĞAŞAN,2015,Dekompanse kalp yetersizliği  hastalarındaki karaciğer  fonksiyon  testlerinin erken ve geç dönem mortalite ve morbiditeyi saptamada öngörücü değerinin analizi<br><span style='font-style: italic';>The analysi̇s of value of li̇ver functi̇on tests i̇n pati̇ents wi̇th decompensated heart fai̇lure on early and late phase mortali̇ty and morbi̇di̇ty,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('1Z4KthOWvDa95YBsR4w3wg','8_y1ON4QiN0LRVcgGSwHPQ')"
365941,ÇETİN KÜRŞAD AKPINAR,2013,Elektroensefalografi incelemesinde saptanan ensefalopatik paternlerin etiyolojisi<br><span style='font-style: italic';>The aetiology of encephalopathic patterns which is detected in electroencephalography analizes,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('XmmcXZx0lFQECA1qotxE9A','FAgDtRkbsGPjHQ8MJ54Tqg')"
522856,YURDAER ŞAHİN,2018,Acil serviste mezenter iskemi tanısı alan hastaların demografik özellikleri ve mortaliteyi etkileyen faktörler<br><span style='font-style: italic';>The demographic characteristics of patients who have recognized the mezenter ischemia in the emergency service and the factors affecting mortality,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('GtwrIRmqD3Ws7nbOLo_4MA','XxM9zPxy48p3suQht9xpBg')"
527435,MERVE TAŞTAN,2018,"Ondokuz Mayıs Üniversitesi Tıp Fakültesi öğrencilerinin erişkin bağışıklaması konusundaki bilgi, algı ve tutumlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the knowledge, perceptions and attitudes of the students of Ondokuz Mayis University Faculty of Medicine about adult immunization",Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('aIw57foP9dn4LQG2qdbR-A','XcNkpI4DExL0GDFn_Dspng')"
361380,TURGUT SERDAŞ,2014,Kliniğimizde üreteropelvik bileşke darlığı nedeni ile açık veya laparoskopik piyeloplasti yapılmış çocuk hastaların klinik sonuçlarının retrospektif değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of open and laparoscopic pyeloplasty result in children who underwent surgical correction for ureteropelvic junction obstruction in our clinic,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('NdXrTrJHjBc-R4i5R8HpMw','yHoKyyWAshh1MQmfqZv6Eg')"
591363,TAHSİN BENLİCE,2019,Orta serebral arter bifurkasyon anevrizmasının gelişimini etkileyen morfolojik parametrelerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of morphological parameters affecting the development of middle cerebral artery bifurcation aneurysm,Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('Q0-3t3H7ZixiV3Zl5r2yFQ','TXfQQ32aDBixh5LTlTkMmw')"
340571,AHMET HARTAVİ,2013,"Ankilozan spondilit hastalarında apelin seviyesi; klinik bulgular, hastalık aktivitesi ve radyolojik progresyon ile ilişkisi<br><span style='font-style: italic';>Apelin level and its relation with clinical findings, disease activity and radiological progression in patients with ankylosing spondylitis",Ondokuz Mayıs Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation ; Romatoloji = Rheumatology," onclick=tezDetay('YtkQF_PkQYiZw7YIbEt8cw','dE8mgJiHcAw7-Xkv_bYlQw')"
