tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
511037,ADEM SAVUR,2018,Dual enerji torakoabdominal BT anjiografinin konvansiyonel torakoabdominal BT anjiografi ile karşılaştırılması<br><span style='font-style: italic';>,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('4aWwUPayDne52rm46ahoFg','LONpd7JWG7FA4T1_PzEgmQ')"
675360,FATİH ÖZDEMİR,2021,"Bipolar bozukluklu hastalarda çocukluk çağı travmatik yaşantılarının klinik özellikler, işlevsellik ve koruyucu tedavi üzerine olan etkisinin incelenmesi\'<br><span style='font-style: italic';>Investigation of the effect of childhood traumatic experiences on clinical characteristics, functionality and protective treatment in patients with bipolar disorder\'",Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('twj-frauaO8bX_B0rhFXJA','4pesEw-qpAMwJeMRig4QUg')"
504013,TUĞÇE TAŞKIN UYAN,2018,"Şizofrenili hastalarda çocukluk çağı travmatik yaşantıların dissosiyatif, pozitif ve negatif belirtiler ile ilişkisinin incelenmesi<br><span style='font-style: italic';>Investigation of therelationship between childhood traumatic experience and dissociative, positive and negative symptoms in patients with schizophrenia",Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('A42bdw8bIZYf421twbAaVA','kAgdr25aBGks6pfmz-3OXQ')"
622288,RAMİZ MUHAMMET,2020,Rize ili 5 yaş altı çocuklarda malnütrisyon sıklığı ve malnütrisyon gelişiminde rol oynayan risk faktörlerinin değerlendirilmesi<br><span style='font-style: italic';>Prevalence of malnutrition in children under 5 years of age in Rize and evaluation of risk factors role in malnutrition,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('xno0nvuKDnyEtEAJeT16Kw','UD78CeMDQYTkTyzRmUoBGw')"
627050,AHMET KÜRŞAD DİŞLİ,2020,Tiyol/disülfid homeostazının ülseratif kolit hastalığındaki rolü<br><span style='font-style: italic';>The role of the thiol / disulfide homeostasis in ulcerative colitis,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('YOfuVpQ7-FpMygsiFzQ80w','W2hAJaqHNEl077X1ZL8IBw')"
661789,ASKER BULUT,2015,Edinilmiş nazolakrimal kanal tıkanıklığı tedavisinde transkanaliküler multidiod lazer dakriyosistorinostomi sonuçları<br><span style='font-style: italic';>The surgical outcomes of transcanalicular multidiod laser dacryocystorhinostomy treatment in acquired nasolacrimal duct obstruction,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('vUccwvv7XspJSRAzqik46A','krim3JegaH0y4RPJWEEUEw')"
632609,MEHMET OKTAY,2020,Nefes darlığı şikayeti ile acil servise başvuran hiperventilasyon sendromu tanısı düşünülen hastalarda bakılan arter kan gazı ile end tidal karbondioksit düzeylerinin  korelasyonunun değerlendirilmesi<br><span style='font-style: italic';>Evaluation of correlation between end tidal carbondoxide levels and artery blood gas that diagnosed hyperventilation syndrome in patients with dyspnea in emergency room,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('3oS8DGyY7g7b9N8Ss_y7bQ','Y1JFowtQkgEaGGJy19F3_Q')"
703134,EDA BEYKOZ ÇETİN,2021,BI-RADS (Breast imaging and reporting data system) 4C ve 5 meme lezyonlarında biyopsi öncesi çekilen kısaltılmış meme manyetik rezonans incelemenin tanısal katkısı<br><span style='font-style: italic';>Diagnostic contributions of abbreviated breast magnetic resonance imaging before biopsy for BI-RADS 4c and 5 breast lesions,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('PTK_Yl9wp-7QyF_AjgG4oQ','MKdAACUpXYdyvVLw6lythQ')"
621397,NESLİHAN KÜÇÜKOSMAN,2020,Oksidatif stresin gestasyonel diyabetes mellitustaki rolünün dinamik tiyol-disülfit dengesi aracılığı ile değerlendirilmes<br><span style='font-style: italic';>Evaluation of the role of oxidative stress in gestational diabetes mellitus through dynamic thiol-disulfide balance,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('UO6EpKYzcl_fOJelQcbUBA','JqyGFM4P0fWiQoDSVnz85g')"
703036,İBRAHİM YEL,2021,Rüptüre abdominal aort anevrizması modelindeki iskemi reperfüzyon hasarında dexmedetomidine\'iniskelet kası üzerine olan etkilerinin araştırılması<br><span style='font-style: italic';>Investigation of the effects of dexmedetomidine on skeletal muscle in ischemia-reperfusion injury in ruptured abdominal aortic aneurysm model,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('Ras3ffaLoofeT7vdyCF_RQ','tKpOoODlYOGUJ2Ba67KNHg')"
435724,AFŞIN RAHMAN MÜRTEZAOĞLU,2016,"Papiller tiroid karsinomunda TROP-2 ve midkine ekspresyonunun araştırılması ve HBME-1, galektin-3 ve sitokeratin 19 ile karşılaştırılması<br><span style='font-style: italic';>Investigation of TROP-2,midkine expression in papillary thyroid carcinoma and comparison with hbme-1, galectin-3, and cytokeratin 19",Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('8NNJFWq0eyY83H1TFNBKFA','h1jAXyH5-oJoK2Y75Y1yKA')"
703223,ZENGİN AYDIN DEMİRBAŞ,2021,Karaciğer sirozu olan hastalarda nütrisyonel durumun değerlendirilmesinde ultrasonografi ile ölçülen temporal kas kalınlığının kullanılması<br><span style='font-style: italic';>Use of temporal muscle thickness measured by ultrasonography in the assessment of nutritional status in patients with liver cirrhosi̇s,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('FDwTugT6CBXUPUA0WInaaQ','wmOl6IvLDjNDAafJMQH_gg')"
644491,SAİT KİTAPLI,2020,"Akut biliyer pankreatitli hastalarda safra taşının yeri, büyüklüğü ve biyokimyasal testlerin akut pankreatitin ciddiyeti üzerine etkileri<br><span style='font-style: italic';>Effects of location of gallstones, size of gallstones and biochemical tests on the severity of acute pancreatitis on patients with acute biliary pancreatitis",Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('LrF1lJ-To0MEXWGenxzZxw','l-ugF0L7g4uuwSvSY3x1tw')"
666709,MECİT ÇOKLUK,2021,Acil servise dispne ile başvuran hastalarda kalp yetmezliği tanısında MR-proANP (mid-regional pro-atrial natriuretic peptide) ilekardiyopulmoner USG\'nin tanısal değerliliklerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the diagnostic values of MR-proANP (mid-regional pro-atrial natriuretic peptide) and cardiopulmonary USG in the diagnosis of heart failure in patients admitted to emergency service with dyspnea,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('JgkZSqo23V1-Cng4h_R29w','HQachH75QY2bOu8p1WL6MQ')"
621395,SELÇUK BARDAK,2020,Recep Tayyip Erdoğan Üniversitesi  Tıp Fakültesi Eğitim Araştırma Hastanesinde yatan hastalarda nutrisyon durumunun değerlendirilmesi<br><span style='font-style: italic';>Evaluation of nutritional status in patients hospitalized at Recep Tayyip Erdoğan Üniversity Faculty of Medicine Education and Research Hospital,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('IEUJxtFyG5EshmuFyLi-Xg','UMsJLagCJ9zlOS4F2bYutA')"
525997,DİLEK YANOĞLU,2018,55 yaş altı genç iskemik inmeli hastalarda D vitamini  düzeyi ve diğer risk faktörleri<br><span style='font-style: italic';>Vitamin D and other ri̇sk factors among under 55 years young ischemic stroke pati̇ents,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('pmtqdVskoV7e14TRGn3pCA','JctKBVKQagWhLUdA7cY4_A')"
520448,EBRU YAPRAK,2018,Serum sSortilin ve ADAM düzeylerinin koroner arter hastalığı ve şiddetiyle ilişkisinin araştırılması<br><span style='font-style: italic';>The investigation of serum ssortilin and adam levels in the relationship between coronary artery disease and severity,Recep Tayyip Erdoğan Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('2m44lNRrmKw6n7bf3R8DjQ','g1Uv0Od-Jqp7cyx0nuXz4g')"
