tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
174120,MUHİDDİN AKSOY,1980,Apandisitlerde ölüm sebepleri<br><span style='font-style: italic';> ,Sağlık Bakanlığı,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('cCTNmuKcPR8AyIBJx59KZg','PmvhmDniUrCoBurWWmeLww')"
174337,HÜSEYİN KATILMIŞ,1979,Orofarenks tümörlerinin teşhis ve tedavisi<br><span style='font-style: italic';> ,Sağlık Bakanlığı,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('YmtdzVsyeMdGXRCKeV8tjA','wE2UkZfS9PKbKpNnaqQ4dw')"
174338,FATMA ATALAY,1979,Akut viral hepatitde serbest yağ asidleri ve diğer lipid fraksiyonları<br><span style='font-style: italic';> ,Sağlık Bakanlığı,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('P4NhTa0zDa672aLkUJTMuQ','1TyFNnMp8FefeQlpV-mI-w')"
174498,ALİ YILDIRIM,1983,Kliniğimizde kolposkopi çalışmaları<br><span style='font-style: italic';>,Sağlık Bakanlığı,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('7odY4W3-qEJRWpRmWTDAsQ','ttLUYZDn9WHkntEey8OV4A')"
174530,MERYEM ŞEN İĞDELİ,1983,Meme kanserlerinde prognoz<br><span style='font-style: italic';> ,Sağlık Bakanlığı,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('FzBwKc5HKEQXsex2S7k8Yw','s8fij6ciAtvEQuRvpUazOg')"
174604,BAKİ ŞAHİN,1983,Kolon yaralanmaları ve cerrahi tedavi yöntemleri<br><span style='font-style: italic';>,Sağlık Bakanlığı,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('9q0EVw-YBT0FLrfzbc-sVw','IRhN1cwkDtW_cGKicTw4Fg')"
174742,YAŞAR SOLAK,1982,Çocukluk çağı Diabetes mellitus\'u ve son 5 (beş) yıllık olgularımız<br><span style='font-style: italic';>,Sağlık Bakanlığı,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('QbcKpk92umIDU75jTNOKlQ','WO5YkCnsXBwkPrxLrWdpag')"
174506,HALİL KAYGUSUZ,1983,Diabetes Mellitusta oral antidiabetiklerin karaciğer fonksiyonları üzerine etkileri<br><span style='font-style: italic';> ,Sağlık Bakanlığı,Tıpta Uzmanlık,Eczacılık ve Farmakoloji = Pharmacy and Pharmacology ; Gastroenteroloji = Gastroenterology," onclick=tezDetay('2VtJIOmCLayFqP0XigMwmQ','3K0zTt_8G5FhBVOJoER-4Q')"
174508,SALİH ZEKİ TURGAY,1983,Antikoagülanların serum ve plazma alkali fosfataz aktivitesi üzerindeki etkileri<br><span style='font-style: italic';>,Sağlık Bakanlığı,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('AUbVRkYHMLE25tUU8Tyzjw','PpQFdJOnSXNWe57e6tMRqA')"
174818,MEHPARE ÜNAL,1982,Enfeksiyon hastalıklarında tedavi öncesi dönemde boğaz florası<br><span style='font-style: italic';>,Sağlık Bakanlığı,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('2PBjJk3AqSHXhiXSmU3n0g','53cf_3BjXDwF1MSV_ftLAQ')"
