tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
671816,GÜLŞAH AYÇİN,2002,Okul öncesi çocuklarda marginal	çinko eksikliği<br><span style='font-style: italic';>Margi̇nal zi̇nc defi̇ci̇ency i̇n preschool chi̇ldren,Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('w4QkLIHX4eRWCloZZlN0wA','lHaD9bO3J96bOrMqNZZGJA')"
534503,AYSEL TEKEŞİN,2003,Sessiz  posterior serebral  arter enfarktlı  hastalarda  risk faktörlerinin  araştırılması<br><span style='font-style: italic';>,Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('4IVdrXgvgvjZyGv-6QZWXg','AAuTVJyWpkm-KqKm17_55g')"
658858,UĞUR DEVECİ,2001,Sepsisli çocuklarda serum interselüler adezyon molekülü-1 düzeyleri<br><span style='font-style: italic';>Serum intercellular adhesion molelcule-1 levels in children with sepsis,Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('03UW7DV-cT3Wo3BF-UujmQ','EXrfVaXfuyErCsKrV65AfA')"
848013,MEHMET ERKAN ERBAY,1999,Unilateral testis torsiyonunun kontralateral testis kan akımına etkileri: Köpeklerde deneysel bir çalışma<br><span style='font-style: italic';>Effects of unilateral testicular torsion on the blood flow of contralateral testis: An experimental study on dogs,Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('RhZu9TWfKd_VkmrIjwJw4A','74H47KJ_Cq4GAY3Fl82R7g')"
706802,FATMA DEMİRCİ ÜÇSULAR,2003,İleri evre küçük hücreli dışı akciğer kanserlerinde gemsitabin ve sisplatin kombinasyonunun etkinliği<br><span style='font-style: italic';>,Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('KwtIPV7--KDeBt6k_LkVwA','J_KWz2HqpgZHaFNnF-TNRw')"
714835,SİBEL SÜRMEN USTA,2003,Östrojen replasman tedavisi ve kombine hormon replasman tedavisinin plazma lipid profikli üzerindeki etkilerinin karşılaştırılması ve konuyla ilgili güncel yaklaşımların değerlendirilmesi<br><span style='font-style: italic';>Comparison of the effects of combi̇ned hormone replacement therapy and estrogen replacement therapy on the plasm li̇pi̇d levels and evaluation of the current li̇terature,Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('UTy3SdKD18q_9fYMtRZVEw','fQwScvqadT6NNMjtH38izA')"
712871,HABİBE AYVACI TAŞAN,2003,"1000-2000 gram doğum ağırlıklı, preterm SGA ve AGA bebeklerin neonatal mortalite, morbidite ve iki yıllık takipleri üzerine perinatal takip ve obstetrik kararların etkileri<br><span style='font-style: italic';>The effects of perinatal follow-up and obstetric decisions on neonatal mortality, morbidity and two-year follow-up of 1000-2000 g birth weight, preterm SGA and AGA babies",Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('t7JxDo035ypqiaZ-eRGH3Q','czNZEvJvpze_UzxNcH3mzQ')"
731249,AHMET NEDİM KAHRAMAN,2000,Kliniğimizin serviks kanseri olgularının retrospektif değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of cervical cancer cases in our clinic,Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Radyasyon Onkolojisi = Radiation Oncology," onclick=tezDetay('e9ALoHc9TPvXsx7XvC5uhw','16wgDJ8DahqQxqSmQZGQeQ')"
730630,AYLİN GÜL,1998,Nüks mesane tümörlü olgularda p53 ekspresyonunun prognostik değeri<br><span style='font-style: italic';>Prognostic value of p53 expression in patients with recurrent bladder tumor,Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('YL54nPR2gJApnoREwYZNcA','tq9IzpM_PGwMmmVVE-etWA')"
557323,RUNA ÖZELÇİ,1999,Klomifen sitrata rezistan olan  polikistik over sendromlu olgularda kronik düşük doz gonadotropin ve konvansiyonel doz gonadotropin tedavi protokollerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of chronic low dose gonadotropin and conventional dose gonadotropin treatment protocols in  patients  who had clomiphene citrate-resistant anovulation associated with polycystic ovarian syndrome,Sağlık Bilimleri Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('TGh0mI-G0zEIpNyiAhM_6A','5fChq9Cucf6lyXdpH5uxQQ')"
