tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
132207,ORHAN KARABÖRK,2003,Aortik oklüzyon ile indüklenen spinal kord iskemisinde L-arjininin nörolojik ve histopatolojik sonuçları<br><span style='font-style: italic';>The effects of L-arginine on neurological and histopathologic outcome in spinal cord ischemia induced by aortic occlusion,Selçuk Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('f59ODzVkfba1eRoMj3IrXQ','7iFQwer1G1Waz8X9QF_UPw')"
71064,AYŞE GÜVENÇ,1996,Parkinsonlularda görsel uyarılmış kortikal potansiyellere tedavinin etkisi<br><span style='font-style: italic';>The Influence of treatment on the visual evoked cortical responses in patients with Parkinson disease,Selçuk Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('utn99S9l8FH0Q2S4Jdz4FQ','utn99S9l8FH0Q2S4Jdz4FQ')"
653550,EGEMEN ODABAŞI,2020,Rotator manşet deneysel yırtık modelinde düşük enerjili lazer tedavisinin tendon-kemik iyileşmesine etkileri<br><span style='font-style: italic';>The effects of low energy laser therapy on tendon to bone healing in rotator cuff experimental rupture model,Selçuk Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('xN0-EHwTeSFGIgoUyN3HkQ','YFAFwm075SxErGJ6FG13-w')"
71131,NAZMİYE KAYA,1998,Moklobemidin depresif bozukluklarda etkinliği<br><span style='font-style: italic';>,Selçuk Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('1ti-ZL-TJ24fuhXbStbtow','1ti-ZL-TJ24fuhXbStbtow')"
71132,S. HİLAL KORAL,1998,Meme kanserlerinde histolojik grade ve elastozis ilişkisi<br><span style='font-style: italic';>,Selçuk Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('SQs_laKrKh3TUd8-7v2xUA','SQs_laKrKh3TUd8-7v2xUA')"
71133,EMİN KURT,1998,PUVA tedavisinde olası retina toksisitesinin elektroretinografik olarak incelenmesi<br><span style='font-style: italic';>,Selçuk Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('vGEYivKm3P-VxQHXq8UX6g','vGEYivKm3P-VxQHXq8UX6g')"
71134,ALİ ACAR,1998,Hirsutism\'de ketokonazol kullanımının hormonal ve klinik etkileri<br><span style='font-style: italic';>,Selçuk Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('DBX2Fm4-Y9R1Q5mmaAteKQ','DBX2Fm4-Y9R1Q5mmaAteKQ')"
132281,ESRA POLAT,2003,Lomber spinal stenoz ve lomber disk hernisinde korselemenin etkileri<br><span style='font-style: italic';>,Selçuk Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('ShpXM4oPZfYbV41GzSfZCA','jUHytJYb3jUK31SH5qrMtQ')"
71179,N. CENGİZ YAŞAR,1995,Enürezis noktürnalı çocuklarda oxybutynin tedavisi<br><span style='font-style: italic';>,Selçuk Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('N9drNW2foNo-yMRho5GjHg','N9drNW2foNo-yMRho5GjHg')"
71180,CELALETTİN VATANSEV,1995,Streptozotosinle oluşturulan diabete deneysel nesidioblastozisin etkisi<br><span style='font-style: italic';>,Selçuk Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases ; Genel Cerrahi = General Surgery," onclick=tezDetay('d1QaKPHYYIaz3n3ZkBaLqg','d1QaKPHYYIaz3n3ZkBaLqg')"
