tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
780837,AYÇA KAYIKÇI RAİMOĞLU,2020,Akut romatizmal ateş tanısı ile takipedilen hastalarda antiinflamatuartedavide kullanılan asetilsalisilik asitve naproksen sodyum etkinliğininretrospektif olarak karşılaştırılması<br><span style='font-style: italic';>Retrospecti̇ve compari̇son of the effi̇cacy ofacetylsali̇cyli̇c aci̇d and naproxen sodi̇um that areused i̇n anti̇-i̇nflammatory treatment i̇n the pati̇entswho are moni̇tored wi̇th acute rheumati̇c feverdi̇agnosi̇s,Tekirdağ Namık Kemal Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('Lm3rk5aAY2-oD5VZpTIn2g','UuZXILR3AsNb1a0Jf7nroQ')"
635681,DUYGU BAYIR,2016,Küçük hücreli dışı metastatik akciğer kanserli hastalarda hematolojik parametre değişkenlerinin prognoz üzerine etkisinin değerlendirilmesi<br><span style='font-style: italic';>The predictive effect of hematological parameters on prognosis of non small cell metastatic lung cancer patients. namik kemal university faculty of medicine. internal medicine department. tekirdag,Tekirdağ Namık Kemal Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('sPsX_AnHaJtzZkvKE3pVWQ','80-QzMMNGApiWI5ACh6AsA')"
683320,BİROL KALDAN,2021,"Remisyonda olan ve aktif hastalık bulguları olan kronik ürtikerli hastalarda anksiyete, depresyon ve serum 25 hidroksivitamin D düzeylerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of anxiety, depression and serum 25(oh) vitamin d levels in patients with chronic urticaria in remi̇ssi̇on and signs of active disease",Tekirdağ Namık Kemal Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('4GileZ2MpBmdGvHxTfpRug','39b6Ujd4DBMluraFnCEPGg')"
674353,HÜLYA BAYKIZ GÜNEY,2021,Çocukluk çağı atopik dermatit hastalığının çinko düzeyi ile ilişkisinin değerlendirilmesi<br><span style='font-style: italic';>,Tekirdağ Namık Kemal Üniversitesi,Tıpta Uzmanlık,Allerji ve İmmünoloji = Allergy and Immunology ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('x1NIHSeb8K6jMFM2S-e8JQ','kdVp1c_2ZEVkqEOerDoNTg')"
635249,ONUR RAİMOĞLU,2020,Son 5 yılda kliniğimizde tanı konulan bazal hücreli karsinom olgularının retrospektif incelenmesi<br><span style='font-style: italic';>Retrospevtive investigation of diagnosed basal cell carcinoma cases in our clinic in the last 5 years,Tekirdağ Namık Kemal Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('zgEWenOZ3md_qx7PRaSZjw','vkzDyc_VraMgZfCaz7N4-g')"
624192,NURŞEN KURTULUŞ,2018,Multipl skleroz hastalarında düşme sıklığı ve düşme risk faktörlerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of falls rate and fall risk factors in multiple sclerosis patients,Tekirdağ Namık Kemal Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('ij0jCVVTdUJ6ZjQHbCQs8Q','gzl3JkGErsH-CJjQHZM5LA')"
639860,ENİS ÖZDEMİR,2017,"Ultrasonik pakimetri, speküler mikroskopi ve optik koherans tomografi ile ölçülen merkezi kornea kalınlık verilerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of central cornea thickness data measured by ultrasonic pacimetry, specular microscopy and optic coherance tomography",Tekirdağ Namık Kemal Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('d4SumUR94-azLGgzE9xbXQ','qvfBwSARZ4s58OXgQzwq9Q')"
699454,NURİ IRĞA,2021,Aile hekimliği polikliniğine başvuran hipertansiyon hastalarının sosyodemografik özelliklerinin ilaç tedavisi ve kronik hastalık uyumuna etkisi<br><span style='font-style: italic';>The effect of sociodemographic characteristics of hypertension patients applicable to family medicine patients on medicine therapy and harmonization of chronic disease,Tekirdağ Namık Kemal Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('eabzPDhjFny9N2FJ1taobg','08Y7uxiCTkM1BUNvoZL3-w')"
689157,RIDVAN ÖZCAN,2021,"Kasa invaze olmayan mesane kanserinde GATA3, P53, Kİ-67 ve CD44 ekspresyonlarının intravezikal BCG  immünoterapisinde nüks ve progresyona etkisi<br><span style='font-style: italic';>The effect of GATA3, P53, Kİ-67 and CD44 expressions on recurrence and progression in non- muscle invasive bladder cancer that receiving intravesical BCG immunotherapy",Tekirdağ Namık Kemal Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('X0EufSScOTJCljnf-XxHug','p8zKamDiGoCrIdj3Wf0udg')"
702598,TUĞÇE YILDIZ,2021,Yeme reddi olan okul öncesi dönem çocuklarda anne kişilik özellikleri ve bağlanma stillerinin incelenmesi<br><span style='font-style: italic';>Investigation of the personality traits and attachment styles of the mothers of preschool children with food refusal,Tekirdağ Namık Kemal Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('TDA_QK1ZyK-fZDzeoRYhsA','1CYgIggu7jmvY-msU54Dmw')"
