tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
360096,KADİR SERKAN YALÇIN,2014,"MTHFR gen mutasyonu saptanan hastalarda varis, raynaud hastalığı ve fibromyalji sıklığı<br><span style='font-style: italic';>Frequency of MTHFR gene mutation in patients with varicose veins, Raynaud\'s disease and fibromyalgia",Turgut Özal Üniversitesi,Tıpta Uzmanlık,Genetik = Genetics ; Romatoloji = Rheumatology ; Tıbbi Biyoloji = Medical Biology," onclick=tezDetay('Q6lz3qLvjf9m1FxKBDqDiQ','DfSBQmNxYaNLknwMtgZ6MA')"
386667,MUHİTTİN BİTİRGEN,2014,"Fazla kilolu ve obez çocuklarda leptin, adiponektin, adropin ve endotelin-1 düzeyleri, insülin direnci ve obezite ile ilişkisi<br><span style='font-style: italic';>The levels and relationships of leptin, adiponectin, adropin and endothelin-1 with insulin resistance in children with overweight and obesity",Turgut Özal Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('Te3clnGY2sD9YQG51DBhhg','hfAFrBXQBFgqJDlNFR7tjw')"
340887,NESLİHAN BAYRAKTAR BİLEN,2013,"Keratokonusta görme kalitesinin topografik, aberometrik ve refraktif özelliklere göre değişimi<br><span style='font-style: italic';>The correlation between the quality of vision and refractive, topographic, pachymetric, and aberrometric data in eyes with keratoconus",Turgut Özal Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('MpiLR1N39Co-r7ogmdOvzA','ceVgFFZav2zrrPxTAGOqtw')"
386670,NAZLI GÜLSÜM AKYEL,2014,Perianal fistüllerin manyetik rezonans görüntüleme ile değerlendirilmesi<br><span style='font-style: italic';>,Turgut Özal Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('abuHT-DksPbtvsKZl-siFg','J4BgSD3ejfv7dewzyI8u7w')"
501331,ALİ ENDER KULAK,2015,"Optik biyometri ve ultrason biyometri ile alınan ölçümlerin aksiyel uzunluk, göz içi lens gücü ve refraktif sonuçlar açısından karşılaştırılması<br><span style='font-style: italic';>Comparison of axial length,intraocular lens power and refractive results using optical and ultrasound biometry",Turgut Özal Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('BDVvP0t9fdS4j7JXHcms1Q','GIpu_SSUZAu29UCQpNXueg')"
360101,HANİFE HİLAL ANDAN,2013,İki yaş altı çocuklarda respiratuvar sinsityal virüs enfeksiyonlarını diğer viral alt solunum yolu enfeksiyonlarından ayıran klinik ve laboratuvar belirteçler<br><span style='font-style: italic';>,Turgut Özal Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('tTGXd1gj7RNWknJxI-nUTw','6VvPdimjpw95U5_TKCRvFg')"
340896,ŞEYMA SELEN SEVİNÇ,2013,"Fibromiyalji sendromlu kadınlarda hastalık şiddeti ile stresle başa çıkma tarzları, kendilik algısı, dürtüsellik, algıladıkları sosyal destek ve psikopatolojinin ilişkisi<br><span style='font-style: italic';>The relationship between severity of disease with ways of coping styles, self-perception, impulsivity, perceived social support and psychopathology in women with fibromyalgia syndrome",Turgut Özal Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('P-kqbrJ1z0kqfKai3MS-KA','IPzO0juD1HRC8HaacUf6lA')"
340895,HİLAL SAKANCI ÖZTÜRK,2013,Temporomandibular eklem bozukluğu olan hastalarda splint tedavisi öncesi ve sonrasında MR ve klinik bulguların korelasyonu<br><span style='font-style: italic';>MR and clinical finding corelation in the patient with temporomandibular joint disorder before and after splint treatment,Turgut Özal Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('PesJfYGeuOv4fILFiIbhrA','vJ3ocTsNuMZB5XyDb2RObw')"
340891,HÜSEYİN BADEM,2012,Erektil disfonksiyonlu hastalarda plazma leptin ve adiponektin düzeylerinin değerlendirilmesi<br><span style='font-style: italic';>Plasma leptin and adiponectin levels in patients with erectile dysfunction,Turgut Özal Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('UG7jPELPeTzhbYqIOgt6GQ','R7TSDBaKU5xFPj47OC9FVg')"
501326,MUSTAFA SAĞLAM,2015,"Basınç ülseri oluşturulmuş fare modellerinde ıl 1-alfa, ıl 1-beta, ıl 6, ıl 17, adamts 5 düzeylerinin tespiti<br><span style='font-style: italic';>Determination of il 1-alpha, il 1-beta, il 6, il 17, adamts 5 levels in mouse models for pressure ulcer",Turgut Özal Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('LdC3Q0BMAPLwi1tgHWn_Bw','JPiFENGpiAvzXN6eQR3SNQ')"
415122,DERYA AKDENİZ,2014,Kontrast madde nefropatisinde erken marker olarak kidney injury molecule-1 (KIM-1) kullanımı<br><span style='font-style: italic';>Is kim-1 is a valuable diagnostic tool for early diagnosis of contrast induced nephropathy,Turgut Özal Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('3kbLqYvl0zfeOTsuQHmMFw','VNtjAElXl5vHyRk146iXnQ')"
360106,SONAY GÜVEN KARATAŞ,2014,"Fare diyabetik nefropati patogenezinde CD80, CD86, CD28 VE CTLA-4\'ün rolünün araştırılması<br><span style='font-style: italic';>Investigation of the role CD80, CD86, CD28 And CTLA-4 in pathogenesis of mouse diabetic nephropathy",Turgut Özal Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('owqDjavDaz0cXID3vyUY-A','PuuLuDrCedwiSkDttWd4gg')"
386669,ASLIHAN BURCU YIKILGAN,2014,"Ratlarda deneysel metisilin dirençli Staphylococcus aureus (MRSA) osteomiyelit modelinde daptomisin, tigesiklin ve teikoplanin antibiyotiklerinin etkinliklerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of efficiency of daptomycin, tygecylin and, teicoplanin in experimental methicillin resistant staphylococcus aureus (MRSA) osteomyelitis rat models",Turgut Özal Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('XttzAdo5LnoX1MZcyNF99g','YrYBFsZbI89QRXLVWMriIQ')"
386671,ESRA KURT,2014,Okul öncesi ve okul dönemi çocuklarda yemek yeme davranışının değerlendirilmesi<br><span style='font-style: italic';>Assessment of eating behaviour in pre-school and school-age children,Turgut Özal Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('pDX_Avmd-DBTqNzUGCStog','EcZv2Lm761L052MT29w9-Q')"
415119,AYŞE ALTINDİŞ BAL,2015,İnsülin rezistansı olan ve olmayan polikistik over sendromlu hastalarda serum betatrophin ve irisin düzeyleri<br><span style='font-style: italic';>The circulating  betatrophin and irisin levels in polycystic ovary syndrome patients with and without insulin resistance,Turgut Özal Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('3MSgwHvlBjAK3_eFTw8CDQ','lUrrok4ZFiBj_4gXELoz8Q')"
360104,BURCU ACAR,2014,Alzheimer hastalığı\'na yatkınlıkta APH-1A ve APOE  polimorfizminin etkisi<br><span style='font-style: italic';>The effect of APH-1A −980C/G and APOE polymorphism in predisposition for alzheimer\'s disease,Turgut Özal Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('VNc367Gk7YG1jUm5AfUnpg','MiUtkJ6YWpesbIRUQp4Fxg')"
386668,NURAN KAVUN ÇİMEN,2014,"Genel anestezi altında yapılan septorinoplasti hastalarında kontrollü hipotansiyon için kullanılan ilaçların QT, düzeltilmiş QT ve QT dispersiyonuna etkileri<br><span style='font-style: italic';>",Turgut Özal Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('Fu0eoyWUtpaGEhkSg7plcg','MNrXsz7rgnE5qZ2g0PodQw')"
