tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
316703,KEMAL SAFA ÖZKAN,2012,Laparoskopik abdominal cerrahilerden sonra parasetamol hasta kontrollü analjezi (HKA) kullanımının postoperatif analjeziye etkisi<br><span style='font-style: italic';>Effect of paracetamol patient control analgesia (PCA) to postoperative analgesia after laparoscopic abdominal surgery,Ufuk Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('1ADiXSF96l_AgAazbGdOwg','tO42kfs3oylrmw8GfQqmxg')"
520800,AHMET HAKAN KARA,2018,Paprosky tip 3 asetabulum defektli hastalarda revizyon kalça artroplastisi sonuçları<br><span style='font-style: italic';>Patients with Paprosky Type 3 acetabular defect who underwent revision hip arthroplasty,Ufuk Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('2mz-IKmlrW_7cHRTBA1JNg','mwLcsIphHjnK3UIHUCHwLg')"
366139,ZEHRA EDEBAL,2014,Smearde ASC-US (Önemi belirsiz atipik skuamoz hücreler) tanısı konulan hastaların biyopsilerinde servikal intraepitelyal neoplazi bulunma oranının P16 ile gösterilmesi<br><span style='font-style: italic';>Exhibition of cervical intraepithelial neoplasia rate with p16 in patients with an ASC-US diagnose in Pap Smear,Ufuk Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('IPXQpZkZVYU1OmrmWlQ_Zg','FxeCd8G1fAj_OMeVSTmS6A')"
634243,SEZİN ORAL YILDIZ,2020,ESHRE/ESGE kadın genital traktus anomalileri klasifikasyonuna göre U1-A uterin anomalilerin endometriyumun lateral duvarlarından alınan spesmen biyopsilerinde implantasyon belirteçlerin araştırılması<br><span style='font-style: italic';>Investigation of implantation markers of anomalies classified as U1-A uterine according to eshre/esge classification of female genital tractus anomalies in biopsy specimens obtained from the lateral walls of the endometrium,Ufuk Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('BFtyGfj7K4X-Q5VAhY1NJw','A2YHC9ygFTMWc4ujSh7N2w')"
634227,CEMAL AYHAN,2020,Septorinoplasti operasyonlarında nazal dorsum augmentasyon yöntemi: Trombositten zengin fibrin kullanımı<br><span style='font-style: italic';>Platelet rich fibrin: A nasal dorsum augmentation method in septorinoplasty,Ufuk Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('0fxGgAY2ywfHAjJ87w5YJg','7UeiVwlS-qRX08y9eG-MdA')"
635720,HİLAL ESLEK DÖNMEZ,2020,Polikistik over sendromlu hastalarda ses karakterindeki objektif ve subjektif değişikliklerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of objective and subjective changes in voice in patients with polycstic over sendrome,Ufuk Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('v55pXLU7g9rnKjggPsmnaw','WTKz8QTfku1y8RT4fm4S8A')"
366145,AHMET GÜL,2014,Unipolar depresyon hastalarında çocukluk çağı travmaları ve etkileri<br><span style='font-style: italic';>Effects of traumatic experiences in patients with uni̇polar depression,Ufuk Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry ; Psikoloji = Psychology," onclick=tezDetay('mD-3x9Geqv0JFQ9zfROtHg','1t8AM6KOFkzajg_0IspkIA')"
344190,MELDA BERBER,2013,6 aylık bebeklerde demir eksikliği anemisi sıklığı ve demir profilaksisi<br><span style='font-style: italic';>The prevalence of iron deficiency anemia in 6 month old infants and iron supplementation,Ufuk Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('4d5NQ8kCNqFZ4aX8lmW6xQ','CFhe--zOwoOkOZV2FEL1ZA')"
301332,MÜNEVVER GÜVEN,2011,"Alopesi areata, vitiligo hastaları ile sağlıklı kontrollerdeki otolog serum deri testi pozitifliği<br><span style='font-style: italic';>Autologous serum skin test positivity in patients with alopecia areata ,vitiligo and healthy people",Ufuk Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('EXj3zifI4WC0ntAmWIVMsg','9l_syODDMbgCWhrP8KtDTA')"
339664,ÜMİT YAVUZ MALKAN,2013,"Prediyabet ve diyabet tanısında 1,5-anhidroglusitolün HbA1c ve fruktozamin ile karşılaştırılması<br><span style='font-style: italic';>Comparison of 1,5-anhydroglucitol with HbA1c and fructosamine in diagnosis of prediabetes and diabetes mellitus",Ufuk Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('kwP6GUQtp4Dgy7qoVYUAFQ','vqcQ73T6YkSL4MSJ_Si0TA')"
