tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
294391,SAİM SAĞ,2007,Kronik böbrek yetersizliği bulunan hastaların hemodiyaliz öncesi ve sonrası doku doppler ekokardiyografi bulgularının karşılaştırılması<br><span style='font-style: italic';>Comparison of tissue doppler echocardiography before and after hemodialysis in patients with chronic renal failure,Uludağ Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('nJZ-DTwTED0InoFI9rcrkg','Qcrk8ZyJCdlqCoQmyMMl2A')"
308164,DİLEK ÇETİNER BAHÇETEPE,2012,"Premenstrüel astım prevalansı ve değerlendirilmesi, astımlı kadınlar ile sağlıklı kadınların premenstrüel semptomlar açısından karşılaştırılması<br><span style='font-style: italic';>The prevalence and evaluation of premenstrual asthma, comparing premenstrual symptoms with asthmatic and healthy women.",Uludağ Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('odGlIl1ySenM_fEl8cz4Rw','PTEy_12UbHLazm6O_qxe-Q')"
352966,BURCU SEVİLMİŞ,2014,Neoadjuvan kemoterapi alan akciğer kanserli olgulard PET/BT bulgularının histopatolojik verilerle karşılaştırılması ve prognostik değeri<br><span style='font-style: italic';>Correlation and prognostic value of PET/CTfindings and histopathology after neoadjuvant chemotherapy in lung cancer patients,Uludağ Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('BmokweLZEEecvh7reoagGg','DPiU8qya5CpByMTy9kd11Q')"
174489,BÜLENT OKTAY,1983,Kronik bakteriyel prostatit\'te lokal tiamfenikol uygulanımı<br><span style='font-style: italic';> ,Uludağ Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('yDRm9e4P9y2axaZccAADRQ','g65kP_Rn2PaMzs4_I1JTfQ')"
482726,AYŞE KALAY,2017,Temporomandibular eklem disk bozukluklarında yağ greftinin etkisi<br><span style='font-style: italic';>Effect of fat graft on temporomandibular joint disc disorders,Uludağ Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('FCyeZTH-3Oea7I65MTZogQ','aPY0QPZu2NscPtmEhEh58g')"
307335,ELİF EMRE DOĞRUK,2011,Koroner arter hastalarında aspirin direnci ile oksidatif stres arasındaki ilişki<br><span style='font-style: italic';>The relationship between aspirin resistance and oxidative stress in patients with coronary artery disease,Uludağ Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('ZJqrnJxc5bLoeLiGxfbuoA','xuZA1I9gyDrg2t4AgNHThg')"
303358,TARIK ÇUBUKCUOĞLU,2012,Periton diyaliz hastalarında kardiyovasküler risk faktörleri ile fetuin-a arasındaki ilişkinin değerlendirilmesi<br><span style='font-style: italic';>The evaluation of the relationship between fetuin-a and cardiovascular risk factors in peritoneal dialysis patients,Uludağ Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology ; Nefroloji = Nephrology," onclick=tezDetay('1HLHB7uB8dgZD4Qn5bBH8g','6cBKJxwO5m7OTx4-5F09Xg')"
415070,GÜNAY TÜRKSEVER,2016,"Abdominal visseral ve cilt altı yağ dokusu volümü, karaciğer yağlanma oranı ile düşük ve orta riskli hastalarda koroner arter hastalığı arasındaki ilişkinin multidedektör bilgisayarlı tomografi koroner anjiografi ile değerlendirilmesi<br><span style='font-style: italic';>Evaluation of relationship between abdominal visceral fat tissue volume, subcutaneous fat tissue volume and hepatosteatosis with low and moderate-risk coronary artery disease: assessment with multidetector computed tomography coronary angiography",Uludağ Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('U48Vh1rr2uGCiM9PvTfDhw','pDiJsTE9kg8HZQLk7bsxNQ')"
289241,SEVİL YILDIRIM,2008,Radyoterapi ile eşzamanlı oksaliplatin+kapesitabin uygulanan lokal ileri evre kolorektal kanserli olgularda etkinlik ve toksisitenin değerlendirilmesi<br><span style='font-style: italic';>The efficacy and tolerability of concomittant chemoradiotherapy with oxaliplatin plus capecitabine on the patients with locally advanced colorectal cancer,Uludağ Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('o8mvn8ZFnTmfHDgGaea-9g','1vKhdicA3PZKOzPH2BqhRg')"
308126,ATAKAN TEKİNALP,2012,İmatinib tedavisinin kronik miyeloid lösemi hastalarında erektil fonksiyonlar üzerine etkisinin değerlendirilmesi<br><span style='font-style: italic';>The evaluation of treated with imatinib on the effect of erectile function in patient with chronic myeloid leukemia,Uludağ Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('QCKYT1x6MdT-WahyiBfxHQ','aXMvezHuHhwT7miohsSl_w')"
