tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
802168,SEMİH ÇELİK,2023,Opere diferansiye tiroid kanserli hastalarda tirotropin supresyon tedavisinin kardiyak fonksiyonlar üzerine etkileri<br><span style='font-style: italic';>The effects of thyrotropin suppression therapy on cardiac functions in patients with operated differential thyroid cancer,Uşak Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('aIlKqO9WIB4zwyyIcmzA9A','ao76bOlQ5r2GoKLlF5G6Kw')"
840944,HARUN KÖSEOĞLU,2024,"Uşak ilinde görev yapan Aile Hekimleri ve Aile Sağlığı çalışanlarının otizm spektrum bozukluğu hakkında bilgi, tutum ve davranışlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of knowledge, attitudes and behavior of family physicians and family health workers working in uşak province abpund autism spectrum disorder",Uşak Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('ZxvxrYBxT4YqG0C5vkAFOw','eL8JO0M3WUaSbKmAJgfT0g')"
911972,İLHAN KARANLIK,2024,Hemodiyaliz hastalarında covid-19 pandemi öncesi dönemde ve pandemi sırasında kateter enfeksiyonu sıklığı ve etkenlerin karşılaştırılması<br><span style='font-style: italic';>Comparison of the frequency and causative agents of catheter infections in haemodialysis patients before and during the pandemic,Uşak Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('mAZs8znmiBfoIE9O2yFQ-g','Zc54inajWbaooLDr8yReYQ')"
916521,PINAR YAĞCI YENİLMEZ,2025,"Hemodiyaliz hastalarında, hemodiyaliz seansı öncesi ve sonrası sodyum gradienti ile sağkalımın öngörülebilmesi<br><span style='font-style: italic';>Prediction of survival in hemodialysis patients with sodium gradient before and after hemodialysis session",Uşak Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('b6npzZjH2f5lJCk9dWM25g','9mL5pU451iyRjkYXQvQmbw')"
779870,MUSTAFA YILMAZ,2022,Acil servise başvuran multitravmalı hastaların retrospektif değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of multitrauma patients applying to the emergency department,Uşak Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine," onclick=tezDetay('RATpeGNq7tPQgr0mffZhVg','TEXubGE5M5SM0q1sex7zyQ')"
832934,BÜŞRA ERSOY,2023,Uşak ilinde çalışan hemşirelerin çalıştıkları kurumlara göre obezite ön yargılarının değerlendirilmesi<br><span style='font-style: italic';>Work of nurses working in uşak province obesity prejudices according to institutions evalution,Uşak Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('6kIYpXIoGNE9l7FzdmF1OQ','9OXEhVDJdSwuqFriDKNtIw')"
837944,MURAT ÖZ,2023,"Aile hekimliği polikliniğine başvuran hastalarda yetişkin aşılarında aşılanma sıklığı, bilgi düzeyi ve farkındalığı<br><span style='font-style: italic';>Vaccination frequency, knowledge level and awareness on adult vaccines in patients applying to family medicine outpatient clinic",Uşak Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('KGlu-IFJXafNIcWwazJKBQ','gz5QRyFtldxCOXGYg-Z5Cg')"
848854,MELİH KARTAL,2024,Koronavirüs hastalığı-2019 seyrinde ortaya çıkan karaciğer enzim anormallikleri ve mortalite ile ilişkisi<br><span style='font-style: italic';>Liver enzyme abnormalities and its effects on mortality in coronavirus disease-2019,Uşak Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('yRYdbHkbpYfm354WHE85Ig','t6cXhOLKWiPjkG0lDgowyw')"
856999,NESLİHAN KARABAYIR,2024,Aile hekimliğine akne şikâyeti ile başvuran 18-65 yaş arası hastalarda aknenin yaşam kalitesi etki düzeyinin araştırılması<br><span style='font-style: italic';>Investigation of the impact level of acne on quality of life in patients aged 18-65 who present to family medicine with acne complaint,Uşak Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('tkgVUOGfMxr_hwnlxNBTgg','6QZuurR8fT9_vaKpUNHPaQ')"
803197,EMİN SANCAR,2023,Acil servise iskemik inme nedeni ile başvuran intravenöz trombolitik tedavisi alan hastaların mortalitesinin retrospektif olarak değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of the mortality of patients receiving intravenous thrombolytic therapy WHO were admitted to the emergency department DUE to ischemic stroke,Uşak Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine," onclick=tezDetay('LFnTpTocrd4xO0-egN1OGQ','e_BbOTqVcrEt75VVhdg1jg')"
