tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
293558,YÜCEL İNAN,2011,Gestasyonel diyabet taramasında 11-14. gebelik haftaları arasında yapılan 50 gr glukoz yükleme testi ile 24-28. gebelik haftaları arasında yapılan 50 gr glukoz yükleme testi sonuçlarının karşılaştırılması<br><span style='font-style: italic';>Comparison of the 50 g ogl results between 11-14 weeks of pregnancy and 24-28 weeks of pregnancy,Yeditepe Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('a6gJYQWQkd0N22apieN7Yw','lxAJQu4QO6PRCtIbc0U42Q')"
272457,HÜLYA ERCAN SARIÇOBAN,2011,Atopik dermatitli Türk Çocuklarında Filaggrin R501X gen mutasyonunun araştırılması ve serum immünglobulinlerinin atopik dermatit fenotipleri üzerindeki rolü<br><span style='font-style: italic';>Investigation of Filaggrin R501X gene mutation in turkish children with atopic dermatitis and the role of serum immunoglobulin levels on atopic dermatitis phenotypes,Yeditepe Üniversitesi,Tıpta Uzmanlık,Allerji ve İmmünoloji = Allergy and Immunology," onclick=tezDetay('KkxBrx3rHfqgvgha2-012g','TSW5UNvyQevuwVeAQXJFNQ')"
281241,ALMALA PINAR ULUTAŞ,2011,Atopik dermatitli hastaların değerlendirilmesi<br><span style='font-style: italic';>Evaluation of patients with atopic dermatitis,Yeditepe Üniversitesi,Tıpta Uzmanlık,Allerji ve İmmünoloji = Allergy and Immunology ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('vrVqqMrfQ2jDY3m0l0GkUw','SewkrvPrDIbMU9aAf48uEw')"
648875,BÜŞRA ÇAĞLAR,2020,Pediatrik hastalarda damar yolu girişiminde ağrının azaltılmasında topikal kullanılan lidokain spreyin etkisi<br><span style='font-style: italic';>,Yeditepe Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('-zOw1bA8ZNqIUaDQHoxD8w','G-3wTXgVyHol3BtQY-CzcA')"
656346,KAMURAN DAYAN,2021,Pediatri hekimlerinde malpraktis kaygısının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of malprakti̇ce  anxiety in pediatric doctors,Yeditepe Üniversitesi,Tıpta Uzmanlık,Hukuk = Law ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('j2AXc13Y3kFCZVR5kmL0Fg','Dwe8xj_d6SVcIFiSgSOW6A')"
267994,FATMA BURCU YETİMOĞLU,2010,Beyin tümörlerinin 3T MR fosfor spektroskopi ile değerlendirilmesi<br><span style='font-style: italic';>Beyin tümörlerinin 3T MR fosfor spektroskopi ile değerlendirilmesi,Yeditepe Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('FT3Lzy-46T0oM1McSsVG9w','3pmnLG8b_mcy0tiUY75avA')"
387685,GÜLSEN GÜL ÖZMEN,2011,Klinik biyokimyada ölçüm belirsizliği<br><span style='font-style: italic';>Measurement uncertainty in clinical biochemistry,Yeditepe Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('FU7oS_jXoBIdEg__7N-iRw','okiqzLTXtfO8nP512x4ZAg')"
548236,RAHMAN NURMUHAMMEDOV,2019,Özofageal skuamöz papillomada ve özofagusun malign ve premalign lezyonlarında hpv pozitifliğinin ve genotipinin patolojik preparatlarda araştırılması<br><span style='font-style: italic';>Özofageal skuamöz papi̇llomada ve özofagusun mali̇gn ve premali̇gn lezyonlarinda hpv pozi̇ti̇fli̇ği̇ni̇n ve genoti̇pi̇ni̇n patoloji̇k preparatlarda araştirilmasi,Yeditepe Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('W9_o_0NgOBHnvuNvd7f5gQ','_ylG20Pc2ivVEBRdKqtnxA')"
457304,ŞUHEDA ÇELEBİ,2010,Ortopedik kalça potez cerrahisi öncesi uygulanan transdermel fentanilin postoperatif analjezik tüketimine etkisi<br><span style='font-style: italic';>Preoperative transdermel fentanyl effect of postoperative analgesic consumption orthopedic hip prosthesis surgery,Yeditepe Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('dXPyc1Q1O41mQ3Hrfy-KrQ','gFBvRYjxNbbK-4_A3AaUJw')"
308023,HALİT YEREBAKAN,2012,Ortotopik kalp transplantasyonu sonrası ileri evre kronik böbrek hastalığı<br><span style='font-style: italic';>Severe chronic kidney disease following orthotopic heart transplantation,Yeditepe Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('1WipieAq5f2-3yG3oAzHrQ','TaUUU68_-FJW6tVj1QWG2A')"
