tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
525397,HAKAN YAKUT,2018,Doğum indüksiyonu için 40 ML ve 80 ML servikal balonun etkinliklerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the efficacy of 40 ML and 80 MML cervical balloon for induction of labor,Yozgat Bozok Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('acWEch1zKAsZBPSjFEa-nQ','bqeXHhAq3r2AYYaMYTzDmg')"
666333,OSMAN KOCABIYIK,2021,"Hepatit  B enfeksiyonunda aile içi geçiş, risk faktörleri ve aile bireylerinin bilgi düzeylerinin araştırılması<br><span style='font-style: italic';>Investigation of household transmission, risk factors and knowledge levels of family members in hepatitis B infection",Yozgat Bozok Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('auYXHTiGemKau-D1LiGw5w','-q8MUwLcbNvVS9biIZcpHQ')"
678356,RAMAZAN ÖNALAN,2021,Miks meal ve oral glukoz tolerans testi ile oluşan oksidatif stresin karşılaştırılması<br><span style='font-style: italic';>Comparison of oxidative stress with mixed meal and oral glucose tolerance test,Yozgat Bozok Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases ; İç Hastalıkları = Internal diseases," onclick=tezDetay('98-UB3KDcIEi9MbNmdSp-g','X_4fX8G9cJ2p2SXyBYH-Dw')"
628901,İBRAHİM ADALI,2020,Genel anestezi altında omuz artroskopisi yapılan ve interskalen brakial pleksus bloğu ile omuz artroskopisi yapılan hastaların hemodinamik parametrelerinin ve nöroendokrin yanıtlarının karşılaştırılması<br><span style='font-style: italic';>,Yozgat Bozok Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('jDLvv7IGdC0Pg6MrRaaFcQ','meFQtU0cu62VIPAGvHBBhQ')"
628677,NURAY KILIÇ,2020,Akut KOAH alevlenmesi ile acil servise başvuran hastalarda serum copeptin ve galectin 3 düzeylerinin değerlendirilmesi<br><span style='font-style: italic';>Investigation of serum copeptin and galectin-3 enzyme levels in cases with acute exacerbation of chronic obstructive pulmonary disease,Yozgat Bozok Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('o1NWLNsTTBmc-SBroPGFxA','5Px06Ui9on8ETRjvQkcbnQ')"
665710,ZEHRA BETÜL ERDEN,2021,Böbrek nakli hastalarında böbrek fonksiyon testlerini etkileyen faktörler<br><span style='font-style: italic';>Factors affecting kidney function tests in kidney transplant patients,Yozgat Bozok Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('QADQBlZIcwiqhm9P5L56uQ','LID1frkKSMYt3XfApOTjxQ')"
693892,AYŞE GÜL PARLAK ÇIKRIKCI,2022,"Geriatrik hastalarda frail kırılganlık indeksi, ASA skorlaması, nötrofil-lenfosit oranı ve eritrosit dağılım genişliği ile mortalite ve morbidite arasındaki ilişkinin belirlenmesi<br><span style='font-style: italic';>Determination of the relationship between Frail frailty index, ASA scoring, neutrophil-lymphocyte ratio, erythrocyte distribution width and mortality and morbidity in geriatric patients",Yozgat Bozok Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('LXQ2TtZcn_XKUN8ZYME7KA','I-H8OexZv2jzRvKsZrDAMQ')"
703380,EMİNE MEŞE PEKDEMİR,2021,Migren hastalarında osmofobinin klinik önemi ve yaşam kalitesi üzerine etkisi<br><span style='font-style: italic';>Clinical significance of osmophobia and effect on quality of life in migraine patients,Yozgat Bozok Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('fSigOfMVMD7UOQblkaikxw','4mg4nOPMWnarQ1AiQXalaA')"
674532,EYÜP ERKAN,2021,Yaş tip yaşa bağlı maküla dejenerasyonu olan hastalarda fakoemülsifikasyon cerrahisinin etkilerinin optik koherens tomografi - Anjiografi  ile değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the effects of phacoemulsification surgery with optical coherence tomography - Angiography in patients with neovascular age-related macular degeneration,Yozgat Bozok Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('ASLHKnBarV4cqrhVUenBQA','e51vyz0-lQqj2ypsuiHv4A')"
675565,MELİKŞAH BULUT,2021,Omuz artroskopisi yapılan hastalarda preoperatif manyetik rezonans görüntülemede tespit edilen patolojik bulguların intraoperatif patolojik bulgularla korelasyonu<br><span style='font-style: italic';>Correlation of pathological findings detected by preoperative magnetic resonance with intraoperative pathological findings in patients who had shoulder arthroscopy,Yozgat Bozok Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('8Kc3xPAjaU2-Mvl7w3Xg7g','LK79Uc_Uufu9LN-Ew9yTMQ')"
