tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
539691,AYŞE YILMAZER,2019,Sağlıklı erişkinlerde sigaranın uyku kalitesi üzerine etkisinin araştırılması<br><span style='font-style: italic';>Research of the effect of smoking on sleep quality in healthy adults,Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('Vk6g8xBWvNkBCt7xcePOWw','neCfkEjuutJFnIapaAR-aw')"
607949,FATMA BETÜL ERDEMLİ,2019,18-24. gebelik haftalarındaki plasenta lokalizasyonunun maternal faktörlerle ilişkisi ve gebelik sonuçlarını öngörmedeki etkisi<br><span style='font-style: italic';>The relation of placenta location in 18th - 24TH gestational weeks and maternal factors and prediction of pregnancy outcomes according to  placenta location,Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('JrOftkZGIeydyJnEcQgyIQ','qyFKxzCSKIU6NXZqlVZ1OA')"
454016,NİLAY KAHRAMAN,2016,Diabetes mellituslu hastaların depresyon ve anksiyete düzeylerinin belirlenmesi<br><span style='font-style: italic';>Determination of depression and anxiety levels of patients with diabetes mellitus,Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('a6oNCEnwUjeK_QpNmPVyKQ','LYUc6PT_gEO6-L2ZR39A7w')"
454020,MELEK MUTLU,2017,Keratokonus hastalarında gözyaşı eotaksin-2 ve matriks metalloproteinaz-9 düzeylerinin oküler allerji ve korneal topografi ile ilişkisi<br><span style='font-style: italic';>Relationship between tear eotaxin-2 and matrix metalloproteinase -9 with ocular allergy and corneal topography in patients with keratoconus,Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('AcPWrpHnveN4IZrgPaSI0w','cBksNM4DES8e_rg7R37d0A')"
412589,MEHMET EMİN ŞİMŞEK,2015,Diz artroplastisi uygulanan hastalarda komponent yerleşiminin üç boyutlu analizi ve klinik sonuçlarla ilişkisinin değerlendirilmesi<br><span style='font-style: italic';>Three dimensional analysis of component placemenent at total knee arthroplasty and relationship between clinical outcomes,Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('JskyMmcg-wM1I7UFI43bKw','PFMoXnb09wwbtLDa68bICQ')"
536606,BETÜL AYDIN,2019,"HPV aşısı hakkında aile hekimlerinin bilgi düzeyleri, tutum ve davranışlarının değerlendirilmesi<br><span style='font-style: italic';>Reserching the knowledge,  reaction and sight of family medicine doctors about HPV vaccine",Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('Jdq1jKhyGGNRSVu4ILaWWg','KftAESLZ_NunFRI7gWAF1w')"
454013,MELİKE ESEN ÖZDEMİR,2016,"Atatürk Eğitim Araştırma Hastanesi Aile Hekimliği polikliniklerine başvuran 20 yaş ve üzeri bireylerin kanser tarama testleri hakkında bilgi tutum ve davranışlarının değerlendirilmesi<br><span style='font-style: italic';>Atatürk Education Research Hospital assessment of knowledge, attitudes and accounts about cancer screening tests at 20 years and more thousand people who apply to Family Medicine polyclinics",Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('1wZ2agtOkRn1gyLASY-GuA','hdS6ZXjRFGoKcJzSfkg5QQ')"
643574,IŞIK ELLİBEŞOĞLU,2020,Neostigmin ve sugammadeks\'in kalça kırığı cerrahisine giden geriatrik hastalardaki postoperatif erken dönem kognitif fonksiyonlar üzerindeki etkilerinin kırılganlık durumuna göre karşılaştırılması<br><span style='font-style: italic';>Comparison of the effects of neostigmine and sugammadex on postoperative early cognitive functions in geriatric patients undergoing hip fracture surgery in regard to frailty state,Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('ie1IFHAVd9Ajgmp95gZ2rA','TuHBRLisGZ1jURdzdtSbrQ')"
435734,ERDEM BAYMAN,2016,Atatürk Eğitim ve Araştırma Hastanesi sigara bırakma polikliniklerine başvuran hastalarda başarısızlığa neden olan faktörlerin belirlenmesi<br><span style='font-style: italic';>Determining factors which cause failure in quitting attempts in patients whom applied Atatürk Training and Research Hospital smoking cessation clinics,Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('3MOXdP38bFkQNwrzLcJung','xJ610aJ-PCrpL9FQvITHaw')"
454011,ÇAĞRI SERDAR ELGÖRMÜŞ,2016,Ayak ayak bileği travmalarında ultrasonografinin yeri<br><span style='font-style: italic';>Ultrasonography in foot and ankle trauma,Yıldırım Beyazıt Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('i_18BFCgIy_V35SvPVgFAA','TV68aIo5JgBi5eTbppr0MQ')"
