tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
118720,MULLA İNAN,2002,Birinci basamakta tıbbi kayıtlar ve sağlık hizmet profili<br><span style='font-style: italic';>Medical records and health care service profile in primary care,Çukurova Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('kPxVzwiCEOJnrSu_U0IWZw','r65S2i33G9bH6Q-hhdx4QA')"
91604,AHMET IŞIKTAN,2000,Epitelyal over kanserli olguların değişik parametrelere göre dağılımı ve yaşam süreleri<br><span style='font-style: italic';>The Survival time and the distribution of epithelial ovarian carcinoma cases according to the different parameters,Çukurova Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('QSeM8NeMaHa4B0CkVSD_uQ','za_9zHK6tw5_f4gX-yFFzw')"
16249,GÜLFİLİZ GÖNLÜŞEN,1991,Glomerülonefrit patogenezinde humoral ve hücresel immünitenin değerlendirilmesi<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('izWX8GBnBWd9pjBsANrIiA','izWX8GBnBWd9pjBsANrIiA')"
16250,RAMAZAN ULUHAN,1991,Bölgemizde malignensili hastalarda kültür ve serolojik olarak enfeksiyon etkenlerinin araştırılması ve bunların antibiyotiklere duyarlılıkları<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('An6PW4z7myofRWFWN6ZgOA','An6PW4z7myofRWFWN6ZgOA')"
16251,HAYRİ ÖZBEK,1991,Doğumda epidural % 0.5\'lik bupivakain ve % 2\'lik lidokainin karşılaştırmalı değerlendirilmesi<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('C4-HaV-xjPISwTVV4oQkLw','C4-HaV-xjPISwTVV4oQkLw')"
16252,SİNAN ZEREN,1991,"Bulber ve membranöz uretranın post-travmatik kısa segment darlıklarının, tek seansta, perineal uç uca anastomoz ile onarımı<br><span style='font-style: italic';> ",Çukurova Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('8N3b6GoABHbNbVPiIdVAKg','8N3b6GoABHbNbVPiIdVAKg')"
267462,BERİL AKÇİMEN,2010,Hastane infeksiyonlarından izole edilen vankomisin dirençli enterokokların pulsed field jel elektroforez yöntemiyle genotip tayini<br><span style='font-style: italic';>The genotyping of vancomycine resistant enterococci isolated nosocomial infections with pulsed field gel electrophoresis,Çukurova Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('3MmutzaBJvKgYmsphQ8FXQ','o5ULDtLBMbHaB11McdnQyw')"
91315,NİLAY ERGEN,2000,Aerobik antrenmanın diyabetik sıçan kas karbohidrat metabolizmasına ve dayanıklılığa etkisi<br><span style='font-style: italic';>Effects of aerobic training on diabetic rat muscle carbohydrate metabolism and endurance,Çukurova Üniversitesi,Tıpta Uzmanlık,Fizyoloji = Physiology ; Hematoloji = Hematology," onclick=tezDetay('JkYnRgbOZrYRQ5blDfbgMg','JkYnRgbOZrYRQ5blDfbgMg')"
60024,ENİS FIRINCIOĞULLARI,1997,Eksternal dakriosistorinostomide mitomisin C ve 5-fluorourasil uygulanımı<br><span style='font-style: italic';>Mitomycin C and 5 fluorouracil application in external dacryocystorhinostomy,Çukurova Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('ZFbVFeyJH3uM0H-JImI8jg','ZFbVFeyJH3uM0H-JImI8jg')"
20261,SÜLEYMAN ÖZBEK,1991,"Akut böbrek yetmezliğinde; etiolojik sınıflandırma, dopemin ve furosemidin etkileri<br><span style='font-style: italic';> ",Çukurova Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('2O8zwUG053FYYTAhFsPKDg','2O8zwUG053FYYTAhFsPKDg')"
20262,MEHMET KAHYA,1991,Subaraknoid kanamada klinik ve radyolojik değerlendirme<br><span style='font-style: italic';>,Çukurova Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('0ut5qgnXwoNT0RGKgcRtyQ','0ut5qgnXwoNT0RGKgcRtyQ')"
272396,ZEYNEL DUMAN,2010,Pediatrik açık kalp cerrahisinde preoperatif steroid kullanımının postoperatif antienflamatuar etkisi<br><span style='font-style: italic';>Postoperative anti-inflammatory effect of preoperative use of steroids in pediatric open heart surgery,Çukurova Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('pcEI-KgExeWwSyub6e5nzA','i7UOZhONuUzIFOwUZT_EIA')"
61018,AHMET ÜNSAL ATEŞER,1987,Febril konvülsiyonlu çocuklarda serum çinko ve bakır düzeyleri<br><span style='font-style: italic';>,Çukurova Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('TTqECIKK1j9DZCN4Zf3pUQ','TTqECIKK1j9DZCN4Zf3pUQ')"
20263,Y.GÜL DENLİ,1991,Psoriasisde puva tedavisinin etkinliği<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('8hCDS3uqTvkAcqrtg3t6kg','8hCDS3uqTvkAcqrtg3t6kg')"
20264,NEHİR SUCU,1991,Açık kalp cerrahisinde arttırılmış miyokardiyal glikojen düzeyinin postoperatif kardiyak hemodinami üzerine etkisi<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('1kzWScTvd03MNoDaa5lPag','1kzWScTvd03MNoDaa5lPag')"
156957,EBRU ÖZKAN BENER,2004,Deneysel tavşan modelinde intravitreal metotreksat enjeksiyonunun farmokinetiği ve olası retina harabiyetinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of pharmacokinetics and possible retinal toxicity of intravitreal injection of methotrexate in experimental rabbit model,Çukurova Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('FIsNe8njXr-CWd9vSBy21Q','pzraJ9cz34QePQfPbcanRQ')"
49335,M. ÖZLEM HERGÜNER,1996,Türk çocuklarında solunum fonksiyon testlerinin normal değerleri ve bunların antropometrik ölçümler ve çevresel faktörlerle ilişkisi<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('K52sy6Gk_0cX1uzGUgSvmw','K52sy6Gk_0cX1uzGUgSvmw')"
49367,NAZMİYE AKMANLAR,1996,Dermatophagoides Pteronyssinus\'a allerjik çocuklarda spesifik hızlı immünoterapinin konvansiyonel immünoterapi ve plasebo ile karşılaştırılması<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Allerji ve İmmünoloji = Allergy and Immunology ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('VW_B6JdrLVqYHPP2-QErvw','VW_B6JdrLVqYHPP2-QErvw')"
118721,SEVGİ ÖZCAN (PAYCI),2002,"Kalp sağlığı taraması için başvuran erişkinlerin fiziksel aktivite durumlarının saptanması ve bunun sosyodemografik özellikler, alışkanlıklar ve hastalıklar ile ilişkisinin değerlendirilmesi<br><span style='font-style: italic';>Assessment of physical activity status in adults admitted for heart disease check-up and the relationship between their physical activity status and sociodemographic features, habits and illnesses",Çukurova Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('ohhaxJBINDjfslNG7ZKSrQ','kDNHBLHL7TRuVFQvUbuAhg')"
154896,SELAHATTİN ARICA,1990,Yaşlılıkta operasyon riskini etkileyen faktörler<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('Jey9gG_xkYj_c44K4SuBwQ','Rf55TDYy9YlM87mMPXd72w')"
132248,MEHVEŞ BÜYÜKKÖSE,2003,Fibromiyalji sendromunda parvovirüs B19 seroprevalansı ve etyopatogenezindeki rolünün araştırılması<br><span style='font-style: italic';>Seroprevalance and the eiopathogenetic role of parvovirüs B19 in fibromyalgia syndrome,Çukurova Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('2tmt0Yz5KemcAIbKr7doDw','Gw1PvwhCtR5taSMmOK85qg')"
306004,ATAKAN ATALAY,2012,"Siyanotik pediatrik olgularda, normoksik ve hiperoksik kardiyopulmoner bypass\'ın oksidatif strese etkisi<br><span style='font-style: italic';>The effects of normoxic and hyperoxic cardiopulmonary bypass on oxidative stres ın cyanotic pediatric patients",Çukurova Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('aBdtwoP7Et2Y8bgg_NF-xA','fFGbakgSslX-AC-xs7Mthw')"
247880,ZEHRA KALAOĞLU ÖZTÜRK,2010,Yaşlı bireylerde ölüm kaygısı<br><span style='font-style: italic';>Death anxiety in elderly cases,Çukurova Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('CtA8c6nqEZeajG8RZIR2mA','Isdy5OXcuSOs24Ax_t33Sg')"
60025,İSMAİL İŞİGÜZEL,1997,Deneysel iskemik optik nöropatide erken dönem ultrastrüktürel değişiklikler ve superoksit dismutaz seviyeleri<br><span style='font-style: italic';>Early-term ultrastructural findings and SOD levels in experimental ischemic optic neuropathy: Effect of hypertension and hypotension on ischemic changes,Çukurova Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('ZJPdizeh-2Vg0Mfoh0kqNw','ZJPdizeh-2Vg0Mfoh0kqNw')"
16253,HALUK SARIHAN,1991,Çocuklarda postoperatif periton içi abseler<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('VDuk_JOu7W-X5BIYpaLiNA','VDuk_JOu7W-X5BIYpaLiNA')"
16254,MEHMET ALİ VARDAR,1991,"Klomifen ve HMG/HCG ile indüklenen sikluslarda luteal fazın değerlendirilmesi: kısa luteal faz, luteal faz yetmezliği<br><span style='font-style: italic';> ",Çukurova Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('x8yXSIwlMZfuMr_9cHlPKQ','x8yXSIwlMZfuMr_9cHlPKQ')"
16255,İSMAİL CÜNEYT EVRÜKE,1991,Servikal olgunlaşmada intraservikal prostaglandin E2 kullanım etkinliğinin değerlendirilmesi<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('C6_70R34meEwmsFA6gJvPQ','C6_70R34meEwmsFA6gJvPQ')"
16256,O.FERİDUN ARAT,1991,"Ritodrine hidrochloridin tokoliz esnasında anne kardiovasküler, elektrolit ve serum glikoz düzeylerine tesirleri<br><span style='font-style: italic';> ",Çukurova Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('ri4BsPQy3n9VKuirfcnCbg','ri4BsPQy3n9VKuirfcnCbg')"
16257,GÖKHAN METİN,1991,Geç embolektomiler<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('ip_NBHPaeG8iikuz8moPfg','ip_NBHPaeG8iikuz8moPfg')"
118722,AHMET ERGİN,2002,Adolesanların sık karşılaştığı kasıtsız ve kasıtlı yaralanmalara yönelik riskli davranışların Adana il merkezindeki lise öğrencileri arasındaki yaygınlığı<br><span style='font-style: italic';>Prevalence of risky behaviours related to unintentional and intentional injuries of which adolescents are most frequently exposed among high school students in Adana,Çukurova Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('UTdcrbprESN7Wy0ct6Sj-g','LwcHVg8HG32X9oRw2eA7EA')"
60859,MEHMET DİNÇ,1987,İntrakraniyal tümörlerde amiloidozis<br><span style='font-style: italic';>,Çukurova Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('fceH2JvFYKRf0ISCGWlDKw','fceH2JvFYKRf0ISCGWlDKw')"
60059,TAMER TETİKER,1997,Parsiyel Santral Diabetes İnsipidus\'ta İndapamid\'in antidiuretik etkisi<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('yYUCvXBGOgSEke0dOpIO4w','yYUCvXBGOgSEke0dOpIO4w')"
20265,VEDAT GÜNDAY,1991,Doğu Akdeniz bölgesinde normal populasyonda ve tiroid hastalığı olanlarda antitiroid antikor sıklığı<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('tfPurDBM-Rdrsj6qq11M8w','tfPurDBM-Rdrsj6qq11M8w')"
20266,BELMA YILMAZ,1991,Epidural anestezide bupivakain ve bupivakain fentanil kombinasyonunun karşılaştırmalı olarak değerlendirilmesi<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('jwAEL4ywaHKuSxipFRTO1A','jwAEL4ywaHKuSxipFRTO1A')"
20267,OKTAY GÖNLÜŞEN,1991,"Myastenia gravisde klinik, laboratuvar bulguları ve sonucu etkileyen faktörler<br><span style='font-style: italic';>",Çukurova Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('IauKSPsUIbnAF2v8c1CwPw','IauKSPsUIbnAF2v8c1CwPw')"
20268,ÖMÜR ŞEN,1991,Çocuklarda premedikasyonda oral ketamin ile intramüsküler meperidinin karşılaştırılması<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('sz7VZWYUX91RqF6Jzavhdw','sz7VZWYUX91RqF6Jzavhdw')"
54712,EMEL GÜRKAN,1996,"Sistemik sklerozda interlökin-1, interlökin-6, soluble interlökin-2 reseptörü düzeylerinin ve subpopulasyonlarının incelenmesi<br><span style='font-style: italic';> ",Çukurova Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('Q9WWvntfilbI-kygm0LY3A','Q9WWvntfilbI-kygm0LY3A')"
49920,AYŞE POLAT,1996,Malign melanomlarda HMB-45 ve S-100 Proteini\'nin immünohistokimyasal yöntemle değerlendirilmesi<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('WHpkgVoklacbbyM5OzamTw','WHpkgVoklacbbyM5OzamTw')"
248757,AYŞE BOLAT ÜÇBİLEK,2010,Dinamik kontrastlı meme MRG ile tip 3 boyanma eğrisi saptanan kitle lezyonlarının retrospektif değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of the mass lesions that diagnosed type 3 enhancing curve with dynamic contrast enhancing MRG,Çukurova Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('lJVL4F7KSLoBC9JWX0Z7xg','TtI7VYL1y77LdCEvR5bB6A')"
157081,ELİF ÖZEN AKKURT,2004,Sıçanda farklı anksiyete tipleri ve anksiyete ile ilişkili belleklerin oluşumunda bazolateral amigdalanın rolü<br><span style='font-style: italic';>The role of bazolateral amygdala in the different types of anxiety and formation of anxiety related memories in rats,Çukurova Üniversitesi,Tıpta Uzmanlık,Fizyoloji = Physiology," onclick=tezDetay('DI2MZkCm52obJouvA9blQA','wCT2tiFW9IAg31xcIk51nQ')"
306015,ÖZLEM ÖZGÜR GÜNDEŞLİOĞLU,2011,Çocuklarda hastane kökenli acinetobacter baumannii izolatlarının antibiyotik duyarlılıkları ve moleküler epidemiyolojisi<br><span style='font-style: italic';>Molecular epidemiology and antibiotic susceptibility pattern of nozocomial acinetobacter baumannii isolates in children,Çukurova Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('iuyCH4vh5mfpaHs-AUwy9g','0tsat4YErxaeCsw8oaIk3w')"
49955,İBRAHİM ATİLLA ARIDOĞAN,1996,Üretra darlıklarında intraüretral stent kullanımı<br><span style='font-style: italic';> ,Çukurova Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('GYrpQGEjUdTGzHtaUIWhDA','GYrpQGEjUdTGzHtaUIWhDA')"
225302,MEHMET KAMİL MÜLAYİM,2008,Yüzde yerleşen maküler hiperpigmente lezyonlarda dermatoskopik ve histopatolojik korelasyon<br><span style='font-style: italic';>Dermatoscopic and histopathologic correlation in macular hyperpigmented lesions which are placed on the face,Çukurova Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('9NOhHZbuTmQZ2R2Dd1PRFw','oZRbdrcjc4odM652XyyU4w')"
282120,ERDEM AKTER,2011,Adana il Merkezindeki lise öğrencilerilerinde tütün ve tütün mamullerinin kullanımı<br><span style='font-style: italic';>Tobacco and products use in high school students in adana city centre,Çukurova Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('zIy84lATixcjSjGF1tyS2w','etvaNv-3tCY-jzueR9abVQ')"
