tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
449082,NAZLI GÜL YALÇIN,2016,"Yaşa bağlı maküla dejenerasyonu olgularında kan IL-10, IL-12, IL-17, IL-27 seviyeleri<br><span style='font-style: italic';>IL-10, IL-12, IL-17, IL-27 blood levels in patients with age-related macular degeneration",İstanbul Bilim Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('AR_BXGA7f_6UcnBr264CGw','gyRO2TcXWaAUdUfL7FBfew')"
272686,DERYA BAYRAM KOKANGÜL,2011,"Akne skarların tedavisinde KTP, ND-YAG lazerler ile birlikte derma elektroporasyon kullanımı ve sonuçların değerlendirilmesi<br><span style='font-style: italic';>Treatment of acne scars KTP, Nd-YAG Lasers with Derma electroporation use and evaluation of results",İstanbul Bilim Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('WdNiUjHsF9wcCvYVWyAxWg','ch78WXR8Fb_32pyCXd9poA')"
224745,HİLAL KURTOĞLU GÜMÜŞEL,2008,Endotel disfonksiyonu ile koroner risk faktörleri ve koroner arter hastaliği yayginliği ve ciddiyeti arasindaki ilişki<br><span style='font-style: italic';>Relationship between endothelial dysfunction and coronary risk factors and coronary artery desease?s extend and severity,İstanbul Bilim Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('iprDRwnPkBYTiQ0ciM2Yaw','olci195OpESHSxsSoY0S_A')"
293443,KADRİYE MEMİÇ,2011,Koroner arter bypass cerrahisi yapılan hastalarda kardiyovasküler risk faktörleri ve koroner ateroskleroz ciddiyetinin uzun dönem greft açıklık oranına etkisi<br><span style='font-style: italic';>The effect of cardiovascular risk factors and coronary atherosclerosis severity on long-term patency rates of grafts after coronary artery bypass grafting,İstanbul Bilim Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('K7tOqFy_HWY1XSfvQ1lkBw','FwmftZlVAMEL2HlO3yJpQw')"
224746,ÖZKAN KÖSE,2008,Mitral kapak replasmanı uygulanan hastalarda protez kapak hasta uyumsuzluğunun operasyon sonrası pulmoner arter basıncı üzerine olan etkisinin ekokardiyografi ile değerlendirilmesi<br><span style='font-style: italic';>The effect of prosthesis patient mismatch after mitral valve replacement on postoperative pulmonary arterial pressure evaluated with echocardiography,İstanbul Bilim Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('ThLty0GaElAUGf4p1V-cJA','v3hwe68sbSFoaqD-zPKVnA')"
225490,MEHMET FATİH KORKMAZ,2008,Femur trokanterik bölge kırıklarının proksimal femoral çivi ile cerrahi tedavi sonuçlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the results of the operatif treatment of trochanteric fractures of the femur with the proximal femoral nail,İstanbul Bilim Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('q8RNGADje4bG7ypwzB_XRw','YCr2chKq8PVDZSIolKHflw')"
319247,ALİ DOĞAN,2012,Perkutan koroner girişim uygulanan hastalarda klopidogrel direnci ile CYP2C19 gen polimorfizmi ve serum leptin düzeyi arasindaki ilişki<br><span style='font-style: italic';>The relationship between clopidogrel resistance and CYPC19 gene polymorphism and serum leptin level,İstanbul Bilim Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('2VXU2Vqbtd1WopQCn48taw','OxU6lrtDUkD0rZOvlxXPZQ')"
306183,ŞÜKRAN ERDEM,2012,Koroner arter hastalığının yaygınlığı ve ciddiyeti ile serum adiponektin düzeyi ve adiponektin rs 266729 gen polimorfizmi arasındaki ilişki<br><span style='font-style: italic';>The relation between the prevalence & severity of coronary artery disease and serum adiponectin & leptin levels and rs 266729 gene polymorphism,İstanbul Bilim Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('Grj92LJ02ig-Lz2Au_B8_w','BiSfwztQzwy1m5vtLYxvdg')"
293444,MEHMET KABALCI,2011,Koroner arter baypas cerrahisinde oksijenatörsüz ekstrakorporeal dolaşım sistemi kullanım tekniği<br><span style='font-style: italic';>Extracorporeal circulation without oxygenator during coronary artery bypass grafting,İstanbul Bilim Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('6xxgt1t74UXmcuy3fsRyZw','5fK9AV8SaxiaWC8BbJ5-RA')"
501870,GÜLİZ SIDAR,2018,İntrauterin nöral tüp defekti tanısı alan gebeliklerde sonografik bulguların ve lezyon seviyesinin tanı haftası ile ilişkisi<br><span style='font-style: italic';>Evaluation of sonographic fingdings and lesion level in relation to diagnosis week in pregnancies diagnosed with intrauterine neural tube defects,İstanbul Bilim Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('qeEcjiMiyhq2M634A6ruEA','L-spOmJMhr91uludmE8r4g')"
