tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
576533,ANIL YILDIZ,2019,Neoadjuvan kemoterapi alan lokal ileri meme kanserli hastalarda moleküler alt tiplere göre yanıt oranları ile klinik sonuçlar üzerine etkili prediktif ve prognostik faktörlerin gözden geçirilmesi<br><span style='font-style: italic';>Evaluation of predictive and prognostic factors affecting molecular subtypes and clinical outcomes in patients with locally advanced breast cancer receiving Neoadjuvant chemotherapy,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('s8hjycBA8NMLVYDf-jE2KA','iF4rmZVLDkpkfRg6oL0kAA')"
601432,MERVE ÖZBEK,2017,İntravitreal kolistin retinal toksisitesinin araştırılması<br><span style='font-style: italic';>Study of retinal toxicity of intravitreal colistin,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('mEF0y8cJ9TLTQH_asgmI6Q','47SEoXS3FE9kHfPG21ApMA')"
660570,NİLÜFER BAHADIRLI,2021,Abdominoplastide oluşan suprapubik skarın postoperatif migrasyonunun değerlendirilmesi<br><span style='font-style: italic';>Evaluation of postoperative migration of suprapubicscar in abdominoplasty,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('tw95HpHCd0YDS7HF8tEGAw','j_6jEXcNOKoSuyq0JPNORQ')"
549276,ZEYNEP EĞRİ KANSU,2019,Obstrüktif uyku apne sendromu hastalarında zonulin protein düzeyinin metabolik sendrom ve hastalık derecesi ile ilişkisi<br><span style='font-style: italic';>The relationship between zonulin proretin and metabolic syndrome and severity of sleep apnea in patients with obstructive sleep apnea,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('kg4OsL50e1D2Fv76HJQeag','9Xx4-DHil61JTekHkJu_nA')"
586907,MUHAMMET ARİF ÖZBEK,2018,Trigeminal nevralji cerrahi tedavisinde endoskopik endonazal transsinüzoidal transpterigopalatin yol ile foramen rotundum yaklaşımı<br><span style='font-style: italic';>Foramen rotundum approach with endoscopic transsinusoidal transpterygopalatine route in trigeminal neuralgia treatment\',İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('B6GhioiYmoVlBYMm-7RAbQ','v370gvQiA_tpvl0sdeXO0Q')"
663532,TUNÇ KALLEMOĞLU,2021,Okul çağı çocuklarında hematolojik parametrelerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of hematological parameters in school-age children,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine ; Halk Sağlığı = Public Health ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('Zes9gyvbq5bo6MIgSegOWw','stwW6jkJl7b4Fp5gI0UkYQ')"
538973,MUSTAFA YEMLİHA AYHAN,2017,Plantar fasiiti olan hastalarda kinesiotaping uygulamasının denge düşme riski ve klinik parametrelere etkisi<br><span style='font-style: italic';>,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('UO8c1kzVTnqINmRH545XZg','PrTinkw1imy8xZxjAtgWUw')"
602806,AYBÜKE KACIR,2019,Hematopoetik kök hücre nakli yapılan çocuklarda nakil sonrası dönemde yaşam kalitesinin değerlendirilmesi<br><span style='font-style: italic';>Assessment of \'quality of life\' after hematopoietic stem cell transplantation in pediatric patients,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology ; Onkoloji = Oncology ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('BsgWBs0rnDEh4Ws-MrB2TQ','al_cfaJaOkitIsYj60S95w')"
599736,ULAŞ KARAOĞLU,2019,NSTEMI hastalarında prognozun değerlendirilmesinde hematolojik parametreler ile TIMI risk skoru arasındaki ilişkinin incelenmesi<br><span style='font-style: italic';>Relation between hematological parameters and TIMI risk score in the evaluation of prognosis in NSTEMI patients,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology ; İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('H3ir3en-f8pzXZOWYUTADg','AWsOQeGg-mzpKfGE3_Svbg')"
682363,YASİN ÖZPINAR,2021,COVID-19 hastalarında erken uyarı skorlamalarının prognozu öngörmedeki rolü<br><span style='font-style: italic';>The role of early warning scores in predicting prognosis in COVID-19 patients,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('O39jCu0zZV7hDISkjW0rwg','lxzqCanoy46RSPj_pmk8rA')"
607774,BURÇİN ÇAKAN DEMİREL,2018,İstanbul Medipol Üniversitesi Hastanesi\'nde metastatik kolorektal kanserli hastalarda klinikopatolojik faktörler ve  prognoz üzerine etkileri<br><span style='font-style: italic';>Clinicopathological factors and their effect on prognosis in patients with metastatic colorectal cancer,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('hzL2qvC0Xcx0Btt2wh-ptQ','uOjNKAXx0x-EkoXdrvUYkQ')"
625691,CAHİT BURKE,2020,Arka vitreus dekolmanı gelişen hastalarda renkli görme değerlendirilmesi<br><span style='font-style: italic';>Evaluation of color vision in patients with posterior vitreous detachment,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('6KsWS5TgT8aR8KOkPl0EsA','OWRybC5os59H2bmFrCRZww')"
718760,AHMET MAHMUT TEKİN,2016,Septorinoplasti ameliyati olan hastalarda işitsel ve periferik vestibüler sistemin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of auditory and peripheral vestibular system in patients after septorhinoplasty,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('vKxKjPWR4rU3cxReTcJffA','FNXCqat2r4SNaLW45CvzHw')"
628898,TUTKU ALTUNDERE,2020,Nöromüsküler elektrik stimülasyonu ve manyetik stimülasyonun el bilek fleksör izokinetik kas kuvveti ve el kavrama kuvvetine etkisinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the effect of neuromuscular electrical stimulation and neuromuscular magnetic stimulation on healthy wrist flexor isokinetic muscle strength and hand grip strength,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('09YQG015Y9u82JFb1DbWQQ','4yoiNRiP3anY07xfH3wYjg')"
702688,CEREN SULTAN ALTAY,2021,COVID-19 pandemisi nedeniyle yenidoğan yoğun bakım ünitelerine getirilen ziyaretçi kısıtlaması uygulamasının taburculuk sonrası dönemde anne sütü ile beslenme durumu üzerine etkisi<br><span style='font-style: italic';>The impact of the visitation restriction implemented to neonatal intensive care unit due to the COVID-19 pandemic on the status of nutrition with breast milk in the period after discharge,İstanbul Medipol Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('oEkYynXeX6CUgPH5pOkhsQ','MwfTd-A6bZjYp6ybTm4Xvg')"
