tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
797251,KHAYALA ALAKBARLI,2023,Erken membran rüptürü olgularının prenatal ve obstetrik sonuçları<br><span style='font-style: italic';>Prenatal and obstetric consequences of EARLY membrane rupture cases,İstanbul Üniversitesi-Cerrahpaşa,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('XQja3dJ1ZwJW0yxXUWmynw','P4QwitH8QM2_qx0XJyImtw')"
609717,MEHMET ALİ YEŞİLTAŞ,2019,"Ciddi aort stenozu olan hastalarda(orta/yüksek risk grubu) transkateter aort kapak replasmanı ile cerrahi aort kapak replasmanı uygulanan hastaların kısa ve orta dönem mortalite ve morbiditenin karşılaştırılması<br><span style='font-style: italic';>Comparing short and mid-term mortality and morbidity in patients with severe aortic stenozis(intermediate/high risk) , WHO underwent transcatheter aortic valve replacement and surgical aortic valve replacement",İstanbul Üniversitesi-Cerrahpaşa,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('KNBsjl95i6L-TAJKGHoN0A','zofyVSVwaahDUPdLdx08Gg')"
663374,MÜNEVVER SADUNOĞLU GÜLER,2021,Üriner sistem enfeksiyonlarında enterobacterales ailesi etkenlerinin karbapenem direnci sıklığı ve direnç mekanizmalarının araştırılması<br><span style='font-style: italic';>Investigation of carbapenem resistance frequency and resistance mechanisms of enterobacterales family in urinary tract infections,İstanbul Üniversitesi-Cerrahpaşa,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('rwggjKhb4NXHMJy0-r0pNA','iQ4TJoKLbjm9gIgEngWhoA')"
650270,MUSTAFA DİLEK,2020,Video yardımlı torakoskopik cerrahide ağrı yönetimi için erektör spina plan blok uygulamasının etkinliğinin araştırılması<br><span style='font-style: italic';>Effectiveness of erector spinae plane block for pain management in video assisted thoracoscopic surgery,İstanbul Üniversitesi-Cerrahpaşa,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('X7IQ3M3SUSJrixaqQr-95A','12iGQibhvuwf1tLckbpYOA')"
668686,LÜTFİYE KORU,2021,Serebral palsi tanılı 6-12 yaş arası çocuklarda yaşam kalitesini etkileyen faktörler<br><span style='font-style: italic';>Factors affecting quality of life in children aged 6-12 years with cerebral palsy,İstanbul Üniversitesi-Cerrahpaşa,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('aaVcXrM3vqxy4sTDxo1odA','G6bRFjkGs9BX2J_Y1C32sQ')"
654256,TÜRKER DEMİRTAKAN,2021,Acil servise ani bilinç değişikliği ile gelen geriatrik hastaların değerlendirilmesi<br><span style='font-style: italic';>Clinical assessment of geriatric patients with acute altered mental status in emergency department,İstanbul Üniversitesi-Cerrahpaşa,Tıpta Uzmanlık,Geriatri = Geriatrics ; İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('a3iIV0ttFteqObpRTSskjg','M8UYnhQU4jacC8TrDY0ajA')"
701094,SÜREYYA TOKLU,2021,Yüksek dereceli glial tümörlerde serum ve doku amino asit düzeylerinin belirlenmesi<br><span style='font-style: italic';>Determination of serum and tissue amino acid levels in high-grade glial tumors,İstanbul Üniversitesi-Cerrahpaşa,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('-NZYJvdQRsfx6kl0tpec4A','G2WA9m7DozoNxeYNt76YDA')"
528076,AYŞEGÜL İLBAŞ ERTUĞRUL,2018,Postmenopozal dönemde kadınlarda d vitamini düzeylerinin yaşam kalitesi ve kognitif fonksiyonlarla ilişkisi<br><span style='font-style: italic';>The association of vitamin d levels with cognitive function and quality of life in postmenopausal women,İstanbul Üniversitesi-Cerrahpaşa,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('x9djacVhC4nvw6LAe8vShA','nwUvXmlbfmBA4xCWU23wSA')"
651590,ABDULSAMET ÇAM,2020,Aquaporin IV pozitif nöromiyelitis optika spektrum bozukluğu hastalarında klinik ve radyolojik özellikler<br><span style='font-style: italic';>Aquaporin IV positive neuromyelitis optica spectrum disorders clinical and radiological characteristics,İstanbul Üniversitesi-Cerrahpaşa,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('hVPvLWJcisT_2r4IJj6ZQw','iz8NTT1o49QZEwJ67QYAmQ')"
575557,MUSTAFA SEÇKİN ÖZYAYLA,2019,Postmortem resüsitasyon artefaktları ve medikolegal sorunlar<br><span style='font-style: italic';>Postmortem resusitation artifacts and medicolegal problems,İstanbul Üniversitesi-Cerrahpaşa,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('1GrbX0weyT3IaX5LO-qEyA','wpkoTPfLUKexQUeGXveeJQ')"
