tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
60783,CİHAT YÜCEL,1987,POR-8\'in (Ornithine-8-vazopressin) lokal vazokonstriktör olarak halothen anestezisinde değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('NdgrAx5MbeFgRjoN98gQvA','NdgrAx5MbeFgRjoN98gQvA')"
60850,SARİYE TANYERİ,1987,41 dev hücreli arterit (DHA) olgusunun retrospektif incelemede klinik ve laboratuvar özellikleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('D5eO5Y8JzyM-qUp8DYqe6A','D5eO5Y8JzyM-qUp8DYqe6A')"
71474,FİLİZ BAL (ÇETİNKAYA),1986,Normal ve patolojik durumlarda dişetlerindeki serotonin (5-HT) değerlerindeki değişiklikler<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Diş Hekimliği = Dentistry," onclick=tezDetay('4_e20NlYSokx94OXPWEe-Q','4_e20NlYSokx94OXPWEe-Q')"
71418,DURMUŞ FAKIOĞLU,1986,Skrotal hastalıkların tanısında ultrasonografinin yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('fdx9naa518mPgjvukQ8n8w','fdx9naa518mPgjvukQ8n8w')"
71419,HİKMET FEYİZOĞLU,1986,"317 Akut lösemi vakasında epidemiyoloji, klinik ve laboratuvar bulguları, tedavi ve prognoz<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('dMjVh2at91znchniGXK0Og','dMjVh2at91znchniGXK0Og')"
71420,NESRİN YETKİN,1986,Cinsel işlev bozukluğu ve nörotik yakınmaları olan iki grup erkekte cinsel işlevin değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('IsEZAdWUDlfs814MF1sHIg','IsEZAdWUDlfs814MF1sHIg')"
71421,NUR YALÇIN,1986,İdrar yolu enfeksiyonlarında tek yüksek doz ve kısa süreli tedavi yöntemlerinin 10 günlük uygulama ile karşılaştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('roG67r_Z-8QGmgDhsrM7Hw','roG67r_Z-8QGmgDhsrM7Hw')"
71422,FEZA ERKELLER YÜKSEL,1986,Kolestazlarda glukagon testinin tanı değeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('WPvbp6Ox8Gtl7yQOrcAs0w','WPvbp6Ox8Gtl7yQOrcAs0w')"
60867,MERAL YELKENKAYA,1987,İnfertilitede hidrotubasyonun yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('JWub6NRGzEjPc4PeQOwDUA','JWub6NRGzEjPc4PeQOwDUA')"
60868,AHMET EREN,1987,Sterilitede servikal mukusla serum prolaktin düzeylerinin karşılaştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('UT332dFLcam6wlECJalbXg','UT332dFLcam6wlECJalbXg')"
60869,A. TUĞRUL ABACIOĞLU,1987,1975-1984 tarihleri arasında kliniğimizde Wertheim-Lenfadenektomi operasyonu geirmiş hastaların sürvilerinin erken ve geç komplikasyonlarının araştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('KiFWYN2q7NhUofZX-RUgbw','KiFWYN2q7NhUofZX-RUgbw')"
71431,KAMİL ADALET,1986,Plevra iğne biopsi materyalinin histopatolojik ve bakteriyolojik tetkiklerinin plörezilerin etyolojik teşhisindeki değeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('M1TeWZO31Q1TxHFQMNJoFg','M1TeWZO31Q1TxHFQMNJoFg')"
