tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
247090,ÖZER PEHLİVAN,2009,Psoriasis vulgarisli hastalarla normal popülasyon arasındaki PPD değerlerinin karşılaştırılması<br><span style='font-style: italic';>The comparison between PPD measurements of psoriasis vulgaris patients and normal popülation,İstanbul Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('TqnI5F_0NW7-cnmNeBldlg','ET2R9a6SjQa4yz7ueKwC7Q')"
301301,OKAN ÖZKUNT,2011,Dejeneratif omurga hastalığında cisimlerarası (interbody) füzyonun etkinliği<br><span style='font-style: italic';>Effectivity of interbody fusion procedure in dejenerative spine diseases,İstanbul Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('0P8eubllTlzyvBLYvvsQgA','0EcrlT5gEw83o58vNUxBDg')"
224615,SVETLANA İASIBAŞ,2007,Diyabetik makula ödeminde GRID laser tedavisi sonrası makula kalınlığının OCT ile takibi<br><span style='font-style: italic';>Follow-up of macular thickness via OCT in macular edema after GRID laser photocoagulation,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('fc6aFHWESAWlhCIje_z41Q','B-3EW8ySYfUOuZm4Z0iX8A')"
247349,GÜVEN ÇETİN,2009,Multipl myelomlu hastalarda çeşitli tedavi seçeneklerinde kemik spesifik alkalen fosfataz düzeyleri<br><span style='font-style: italic';>Bone spesific alkalen phosphatase levels of multiple myeloma diagnosed patients with different teratment options,İstanbul Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('B8cU_KjMYmxEnW7ywdaEBQ','n6USF3F-2aeEHZ7xwUBxUA')"
243361,AYLİN ÖZDİLEK,2010,Laparaskopik adrenelektomilerde genel anestezi ile genel + epidural anestezi uygulaması<br><span style='font-style: italic';>General anesthesia and general + epidural anesthesia in laparoscopic adrenalectomies,İstanbul Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('Sy5PDN88DNSqOf-oIdkvzQ','KJx1dtaEVaAu0qnaQjXMVg')"
230500,AYTEN CAN,2009,Tip 2 diyabetik hastalarda asimetrik dimetilarginin ve düşük seyirli inflamasyonun ilişkisi<br><span style='font-style: italic';>The relationship between asymmetrical dimethylarginine and low grade inflammation in diabetic patients,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('h3LTnIRevYVenaSf75_F6g','thoO4b9_bKh6A-Jsor2Cvg')"
242551,UMUT YAKA,2009,Fonksiyonel (Yüzüstü ve sırtüstü pozisyonda) manyetik rezonans görüntüleme ile konus medullaris hareketinin belirlenmesinin gergin omurilik sendromonun tanısına katkıları<br><span style='font-style: italic';>Value of determining conus medullaris movement with supine and prone position functional magnetic resonance imaging in the diagnois of tethered cord syndrome: A clinical study,İstanbul Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('PdaU47Nm3jBJk0pYhetnmg','MPlIhy8TO_HS5Sat6Q0ong')"
229559,HASAN ÖZKAN,2008,Aktif ve inaktif akromegali tanılı hastalarda erken ateroskleroz ve prokalsitonin ilişkisi<br><span style='font-style: italic';>Premature atherosclerosis and procalcitonin relation in active and inactive acromegaly patients,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('WCRwLM78cFaFRRt5oSXOuw','hMEaOAcudkKzsWAbqp4HPA')"
247358,ORHAN COŞKUN,2009,"Cerrahpaşa Tıp Fakültesinde çalışan hemşirelerde hipertansiyon sıklığı, hipertansiyonun depresyon ve anksiyeteyle ilişkisi<br><span style='font-style: italic';>Hypertension among of nurses working at the Cerrahpaşa Medical Faculty, the relationship between depression and anxiety of hypertension.",İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('_4zyWboOqZd6W_nOmQaeQw','OpnmzCfgm-Si7draIqq9xg')"
224437,ŞERMİN ŞENGÜN,2008,Dalgıçlarda dalış aktivitesi ile biyoempedans değişiklikleri<br><span style='font-style: italic';>Bioempedance differences of divers with diving activity,İstanbul Üniversitesi,Tıpta Uzmanlık,Deniz ve Sualtı Hekimliği = Marine and Underwater Medicine," onclick=tezDetay('PebsT_gUEX0NLOrfne3R5g','-5q5BKObKFu_e14pJKxIEw')"
