tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
703410,PINAR BAKIR KÜÇÜK,2014,Zehirlenme olgularında rabdomyolizin ölüm mekanizmasındaki rolü<br><span style='font-style: italic';>Role of rhabdomyolysis on mechanism of death in cases of intoxication,Adalet Bakanlığı,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('cublQ_b-SHfC3alaLtL02Q','zuRQPRoe66UFTmVQJIPt-Q')"
515108,ESİN AKGÜL,2002,Avrupa İnsan Hakları Mahkemesi Türkiye kararlarında yaşam hakkı ve işkence yasağı ihlali olgularının adli tıp boyutu<br><span style='font-style: italic';>Forensic medicine aspect of the European Court of Human Rights decisions against Turkey regarding the violations of right to life and prohibition of torture,Adalet Bakanlığı,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('EDS1FIlLUt_LZYr3FRpXGQ','Cu1vLlvWVvdbmOjNUr1dPQ')"
463807,NAİLE ESRA SAKA,2004,Adli Tıp Kurumu Başkanlığı\'nca karara bağlanmış çocuk ölümlerinin \'çocuk  istismarı ve ihmali\' açısından incelenmesi<br><span style='font-style: italic';>,Adalet Bakanlığı,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('2Jl9JsyVGzSt_O6H73O3LQ','Kl8GL2Y8oR-WvT2qmByaLg')"
412044,MURAT NİHAT ARSLAN,2009,Kan lekesi model analizi ile olay yerinin yeniden yapılandırılması<br><span style='font-style: italic';>Crime scene reconstruction with bloodstain pattern analysis,Adalet Bakanlığı,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('IUZTJzZCnisOk_zwYzDdMQ','vIjk28V3NDAWLKOiC9qsMA')"
799776,CANER BEŞKOÇ,2009,Alveolar alkol seviyeleri ile kan alkol seviyelerinin klinik muayene bulguları ile birlikte değerlendirilmesi ve standart alkol muayene formunun oluşturulması<br><span style='font-style: italic';>Evaluatuion of alveolar alcohol concentration and blood alcohol concentration together with clinical examination findings and preparing a standard alcohol examination form,Adalet Bakanlığı,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine ; Farmasötik Toksikoloji = Pharmaceutical Toxicology," onclick=tezDetay('_UQw6puAv6pUhDwmGA90-Q','ngNX0mw4ZVnrFQOB_lxOYw')"
742023,ERDEM HÖSÜKLER,2015,"2012-2014 yılları arasında adli tıp kurumu birinci adli tıp ihtisas kurulu tarafından görüş bildirilen çocuk sağlığı ve hastalıkları branşı ile ilgili tıbbi uygulama hatası iddiası bulunan olguların değerlendirilmesi<br><span style='font-style: italic';>Evaluation of cases with medical malpractice claims regarding the pediatric health and diseases branch, reported by the first board of specialization of the council of forensic medicine between 2012-2014",Adalet Bakanlığı,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('j7BHUC37p_rOoMWV9U4JTQ','m2l9T3SPB5QMzIJEn8lbRQ')"
853240,ARİF GARBİOĞLU,2018,Adli tıp genel kurulunda karara bağlanan maluliyet dosyalarında tespit edilen çelişki ve yaklaşım farklılıklarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of conflicts and manner of approach diversities among impairment reports of forensic medicine general assembly of council of forensic medicine of turkey,Adalet Bakanlığı,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('Ng8SEfKFlTZ93Y7ECkM01Q','rfcvYlPn0LP6aK1h1TFG2g')"
874133,GAMZE BAŞ,2021,Çocuklar arasında gerçekleşen cinsel eylemlerin yargıda TCK 31/2 maddesi kapsamında değerlendirilmesi<br><span style='font-style: italic';>Peer on peer sexual abuse according to TCK 31/2 in court of law,Adalet Bakanlığı,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('AJrRYougcld-9L4zeir4Pg','kWEpKenskeH2y5iupsqgBw')"
872684,ÜMRAN TAŞÇI BÜYÜKŞAHAN,2022,El parmak arızalarında çalışma gücü ve meslekte kazanma gücü kaybı oranı tespit işlemleri yönetmeliği ile erişkinler için engellilik değerlendirmesi hakkında yönetmeliğin karşılaştırılması<br><span style='font-style: italic';>Comparison of the \'regulation on the determination of the loss of working capacity and earning capacity in the profession\' and the \'regulation on the evaluation of disability for adults\' in finger injuries,Adalet Bakanlığı,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('sfU0AWhWzFOHs7fRQZkI8A','MIW31eEWHy05FY0Wst3s1A')"
621202,NEVİN KÜÇÜKÇALLI,2003,Uzun süreli açlıkların adli tıptaki yeri ve önemi<br><span style='font-style: italic';>The significance of the prolonged hungers in forensic medicine,Adalet Bakanlığı,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('xXFGFOIqS8ZHQ2rBgW-0dg','2_KxvbxUTUDvse0TQRdcPA')"
