tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
310257,CENK ERASLAN,2010,Ultrasonografi kılavuzluğunda 18 ve 20 gauge iğneler ile yapılan perkütan karaciğer kitle biyopsisi sonuçlarının karşılaştırılması<br><span style='font-style: italic';>Comparison of the results of ultrasonography guided percutaneous liver mass biopsy using 18 and 20 gauge cutting needles,Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('iO5XQMfVIXYUZeUvQuruWw','oOMeTdBr3LYMTCFN6xBP6w')"
424813,AYŞE ÜNAL EŞİYOK,2016,Sepsis tanısında moleküler yöntemlerin konvansiyonel yöntemler ile karşılaştırılması<br><span style='font-style: italic';>Comparison with conventional methods in molecular methods in the sepsis diagnosis,Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('vMOFam2lUnyWibv3gEJTpA','YeQlWNGXPBuIy943_3iW4w')"
680474,SELAHADDİN CEVİZBAŞ,2021,Kronik hipertansiyonu olan çocuklarda erken kardiyak hasar göstergesi olarak nabız dalga hızının yeri<br><span style='font-style: italic';>The place of pulse wave velocity as an indicator of early cardiac damage in children with chronic hypertension,Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('0ZXLfcnsW63gED0-dGjdhw','fSEUDsjGniJL89Nqne-eaw')"
523444,DENİZ ARMAĞAN DENİZ,2018,Adnan Menderes Üniversitesi\'ne başvuran hastaların hepatit B virüs seroprevelansının ve bazı demografik özelliklerinin belirlenmesi<br><span style='font-style: italic';>Determining the seroprevalance of hepatitis B virus and some demografic features of patients WHO were adjusted Adnan Menderes University,Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('k8MoTNDnDCsDYkdA--gw9A','oBhS4UdDpGMpOFT2BTZprw')"
424818,NİLGÜL UZUN,2016,Clostridium difficile toksin A geninin klonlanması<br><span style='font-style: italic';>The cloning of Clostridium difficile toxin A gene,Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('22BZ2tJrwFRc2EEeaUGLYg','au3W6Whe9pb-jE3B_5-Obw')"
195782,NİHAL URAZ,2007,Aydın\'da zorlamalı kadın ölümleri<br><span style='font-style: italic';>Female violent death in Aydin,Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('KLixu_ZvN9F6BsqbxUorSA','cY2oiZmPi6LaojfpWFLnYg')"
523462,BETÜL PEKŞEN KOÇ,2018,Vajinal yoldan cinsel istismar/saldırı iddiası olan olgularda polarize multispektral videokolposkopinin kullanılması<br><span style='font-style: italic';>The use of polarized multispectral videocoloscopy in cases of vaginal sexual abuse / assault,Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('mI8VPKOwO-lInczCFeXvGQ','Vt08wbsDuh3MhJXG92Bxlw')"
384171,FATİH TÜRKMEN,2014,Parasetamol intoksikasyonunda renal ve karaciğer hasarını önlemede amifostinin rolü<br><span style='font-style: italic';>Role of amiphostine in prevention of hepatic and renal injuries due to paracetamol intoxication,Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology ; İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('VuWsVPKS5rB_IAmURZl6gw','YoDYn8QKc7yf0T3xM6lCWA')"
549709,AYŞE TAŞ,2019,Aydın ilinde kamuda çalışan diş hekimlerinin tütün ürünleri kullanma profili ve tütünle mücadele uygulamalarını etkileyen faktörler<br><span style='font-style: italic';>Tobacco consumption profile of dentists work in the public sector i̇n Aydin province and the factors that affect their combat against tobacco,Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('JPxZyCef2-E5Jb3995YHfg','z4xx6d27kKcF-2_1SEldRw')"
466374,ALPER NESİP MANAV,2017,Prostat kanserinde prostat spesifik antijeni kütle oranının yeri<br><span style='font-style: italic';>The usage of prostate specific antigen mass ratio in prostate cancer,Adnan Menderes Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('D5bQC0YHEbNAmO3Sh0P2NA','p7X0JKuSThadNGUYBe-OHw')"
