tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
634020,OLGA BAYAR KAPICI,2020,Pediatrik popülasyonda normal corpus callosum boyutları ve manyetik rezonans görüntülemede kantitatif analiz<br><span style='font-style: italic';>Normal corpus callosum dimensions in pediatric population and quantitative analysis in magnetic resonance imaging,Adıyaman Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('BF5ZXK1kaEhIRZZQy2swWg','zExDjBsHEhIRvT1rPSnHLQ')"
458081,ERDAL DAYAN,2017,Asemptomatik vitamin B12 eksikliğinde serebral manyetik rezonans görüntüleme değişikliklerinin kognitif testlerle ilişkisi<br><span style='font-style: italic';>Cerebral magnetic resonance imaging changes related to cognitive tests in asymptomatic vitamin B12 deficiency,Adıyaman Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('1uUjiqI7DeJYqfI4sjAGfA','UY0O2E4jBngXVU16nJ8Uww')"
665564,AHMET TOPRAK,2021,Çocuk acil servisine başvuran yenidoğan hastaların incelenmesi<br><span style='font-style: italic';>Evaluation of newborn patients applying to the pediatric emergency department,Adıyaman Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('BeJs3nfTDUJIXwEAKKXJwg','pr0rHxv2Z5cUqWcXf1Qw-A')"
712852,NURGÜL ÇETGEN,2021,Ultrasonografi eşliğinde yapılan aksiller bloklarda bloğun başarılı olduğunu gösteren(CUT-OFF) perfüzyon indeksi değerini göstermek<br><span style='font-style: italic';>Show the perfusion index value showing the success of the block (CUT-OFF) in the axillary blocks made with ultrasound,Adıyaman Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('fKrmfd0WLGQEladvlMnkLA','yX3oYroVveX3fQ3ytmwlQA')"
614541,ARZU EMECEN,2019,Göğüs ağrısı ile başvuran hastalarda akut koroner sendrom tanısı koymada ortalama trombosit hacmi(MPV)\'nin tanısal değerliliği<br><span style='font-style: italic';>Utility of mean platelet volume (MPV) for diagnosing acute coronary syndrome in patients with chest pain,Adıyaman Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('ZWcclgofljxlXj15cOzWnA','ZsMcPDF6_uoLc4Cqh0tluQ')"
641399,AYŞE ATILGAN ÇELİK,2020,Tip 2 diyabetes mellituslu hastaların alt ekstremite kas kuvvetlerinin izokinetik testlerle değerlendirilmesi ve alt ekstremite kas kuvvetlerinin yürüme ve günlük yaşam üzerine olan etkileri<br><span style='font-style: italic';>Evaluation of lower extremity muscle strength of patients with Type 2 Diabetes Mellitus by isokinetic tests and effects of lower extremity muscle strength on walking and daily life,Adıyaman Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('4IlHpU8qTr_qzYTAkyJI4Q','5dhCIMPPmN7gFpjCaDJ84A')"
520552,ABDULLAH ATLIHAN,2018,Memenin benign hastalıklarında ca-15.3 sonuçlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the results of ca-15.3 for benign diseases of breast,Adıyaman Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('oss5j0_HQC-PIGE4ybTfSQ','Yzw3l_FuKX8zM3w1HrC1pw')"
687481,İBRAHİM ŞEYHANLI,2021,Ultrasonografi eşliğinde yapılan infraklavikuler bloklarda bloğun başarılı olduğunu gösteren (CUT-OFF) perfüzyon indeksi değerini araştırmak<br><span style='font-style: italic';>Investigating the perfusion index CUT-OFF value showing the success of the infraclavicular block made with ultrasound,Adıyaman Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('HgfzVPVRPbpASTk4rw3qYQ','LF4upI5eOLeelKbDVf0NLQ')"
549390,GÖKHAN ÖZEL,2019,Çocuk acil servis yoğunluğunu etkileyen faktörlerin belirlenmesi<br><span style='font-style: italic';>Determination of factors affecting the children\'s emergency service density,Adıyaman Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('fdRo2RdLX4LEUOppclIaHA','ynsn-28_PsVM11NJzBHdSQ')"
484768,KENAN ATEŞ,2018,Adıyaman ilinde 18-65 yaş sağlıklı erişkin kişilerde hematolojik referans değerlerin belirlenmesi<br><span style='font-style: italic';>Determination of hematological reference values in 18-65 year old healthy adults in Adiyaman,Adıyaman Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('HVKuvM-pY2H39883jGaCmg','aDUEOo4ZbJKhKxptnQ6DjQ')"
520210,CEM YENİCESU,2018,"Çocuk acil ünitemize ateşli nöbet yakınması ile başvurup febril konvülziyon tanısı konulan ve kliniğimizde yatırılarak takip edilen olguların, risk faktörleri ve sosyo demografik özelliklerinin değerlendirilmesi<br><span style='font-style: italic';>The assessment of risk factors and sociodemographic characteristics of the children, apply pediatric emergency unit with febrile convulsion complaint and hospitalized in our clinic",Adıyaman Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('m-OoBCGNFie_kWuc_PHLAg','cKUzIg7vuHs90RhHXe4c0w')"
708024,ELİF MUTLU OĞUR,2021,Anormal uterin kanama ile başvuran hastalarda benign veya malign endometrial patoloji risk faktörlerinin araştırılması<br><span style='font-style: italic';>Investigation of benign or malign endometrial pathology risk factors in patients presenting with abnormal uterine bleeding,Adıyaman Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('NyAYBJodeUF9_ta1FrWi-g','2mexQXx4iklFseoV-ZXGsQ')"
715067,MUHAMMET ALİ IŞIK,2021,"Açık (acil) ve laparoskopik (elektif) cerrahide; CK ve CK-MB değerlerinin, preoperatif ve postoperatif dönemlerde karşılaştırılması<br><span style='font-style: italic';>In open (emergency) and laparoscopic (elective) surgery; comparison of CK and CK-MB values in preoperative and postoperative periods",Adıyaman Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('fqii7rtg6tjNIaLDo5wW0A','9lh-Yt1paCHblDiS77u9xA')"
478279,ORHAN ÖZNAS,2017,Chemerin gen polimorfizmi ile tip 2 diyabetes mellitus arasındaki ilişkinin incelenmesi<br><span style='font-style: italic';>,Adıyaman Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases ; Genetik = Genetics," onclick=tezDetay('5KnLLQVjQfgDstVx_b_oEw','dy5yAzvirC2Jl_qzRivSJg')"
