tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
362858,M. YAŞAR ÖRÜCÜOĞLU,1990,Stabil anjina pektorisde 3X60 miligram diltiazemin egzersiz performansı ve sol ventrikül fonksiyonlarına etkisi<br><span style='font-style: italic';>,Anadolu Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('5JSIz1lqJndOeQA56i-OwQ','BwT1IA8MhtwFB4gzWpiXbw')"
362725,ÖZGÜL PAŞAOĞLU,1984,Eksperimental karaciğer hasarında estrojen ve projesteronun etkileri<br><span style='font-style: italic';>,Anadolu Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('g2K8MfNLjO2JnMEEUboAZw','PTtXCsEerFYFzVP_vEoE7A')"
358096,REYHAN PÜTÜN,1985,Vertebral kolon ve disk aralığına cerrahi girişim uygulanan olguların klinik analizi<br><span style='font-style: italic';>,Anadolu Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('uKSuX7VkC9aysqTXEs-v0A','YvpuGL6xpWnk2tlckGZAAg')"
362860,Z. NURHAN SARAÇOĞLU,1990,Ürtikere neden olabilecek faktörlerin 100 kronik ürtiker olgusunda araştırılması<br><span style='font-style: italic';>,Anadolu Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('krkob_rebA-CmPbjl-zD8w','vKntICftee6tvELyUBW9Qg')"
362754,MÜSLÜM DURU,1986,Periferik damar hastalıklarında lomber sempatektominin doppler ile değerlendirilmesi<br><span style='font-style: italic';>,Anadolu Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('UDo87ECCdj07xpWuR1y2fg','l7od_wuexBBZJa0IqSdwhw')"
362760,MERAL SARIKARDEŞOĞLU,1986,Diabetik ve aterosklerotik kalp hastalarında serum lipid parametreleri ve lipoprotein elektroforezi değerlendirmeleri ile tanıyla yaklaşım<br><span style='font-style: italic';>,Anadolu Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry ; Kardiyoloji = Cardiology," onclick=tezDetay('vKDPdSJprMxB7POIlmoyYw','Oe-XrCf8ofOPHwAClFysXQ')"
362740,BEHİCE SÖNMEZ,1985,"Konjenital malformasyon sıklığı, özellikleri ve major malformasyonlarda kromozom analiz sonuçları<br><span style='font-style: italic';>",Anadolu Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('P5I5eP38wPnimT31xJRvAA','QZgxCjQl40hCVEbC-YgPCw')"
362895,MÜSLÜM ŞAHİN,1991,İsofluranın pediatrik anestezide indüksiyon ve derleme özelliklerinin halothan ile karşılaştırılması<br><span style='font-style: italic';>,Anadolu Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('tAWeQRpMFVtjdqgEm0AjZw','5T95_8YxX46JTvvThnt9xg')"
362824,TÜLİN ŞAYLI,1989,"Akut bakteriyel menenjitin erken tanı ve takibinde serum ve beyin omurilik sıvısı c-reaktif protein, beyin omurilik sıvısı immunglobulin düzeyleri ve lateks aglutinasyonu ile etken saptaması<br><span style='font-style: italic';>",Anadolu Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('flT3lsiGBvlXmc-uWX164w','sBm5i3agZRV3JjGuKmmOZw')"
362804,AYLA ŞENDAĞ,1988,Romatoid artritde gelişen bazı kardiak lezyonların değerlendirilmesi<br><span style='font-style: italic';>,Anadolu Üniversitesi,Tıpta Uzmanlık,Fizyoterapi ve Rehabilitasyon = Physiotherapy and Rehabilitation," onclick=tezDetay('3bFyT18h1Rv4vvHCvbeYdA','bQFIdFBlBbN54ZvC1pAtPw')"
