tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
157137,ŞEBNEM KOLDAŞ DOĞAN,2004,Kronik bel ağrısında üç farklı tedavi yönteminin karşılaştırılması<br><span style='font-style: italic';>Comprasion of three different approaches in the treatment of chronic low back pain,Ankara Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('SQCOMNyt12sA23TjOtyN4w','IdXrhZxMiqDWNKovBw9mVA')"
91314,ÖZGÜR BAŞARAN,2000,Benign tiroid büyümelerine bağlı gelişen hava yolu obstrüksiyonunun onjektif değerlendirilmesi<br><span style='font-style: italic';>Objective assessment of airway obstruction secondary to thyroid enlargement,Ankara Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('3R0_52sNPBboRs0ow-GmLA','3R0_52sNPBboRs0ow-GmLA')"
132383,ELİF KÜPELİ,2003,"Yayma negatif aktif akciğer tüberkülozlu olgularda serum ve brokoalveoler lavajda tümör nekrozis faktör-alfa-interferon-gamma ve interlökin-2\'nin tanısal değerleri<br><span style='font-style: italic';>The diagnostic value of the cytokines (IL-2, TNF-alpha, IFN-gamma) in sera and BAL in smear negative active pulmonary tuberculosis",Ankara Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('u8GzXKXBBZwtPA_pFobZXA','BaJSEO8ilCMxF_eu51LvBg')"
132384,GİZEM DEMİR,2003,Kronik obstrüktif akciğer hastalığı ve bronşektazide akut ve stabil dönemde nefes darlığı ve hayat kalitesini etkileyen faktörlerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of factors related with dyspnea and quality of life during exacer bation and stable state in COPD and bronchiectasis,Ankara Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('I0wiPjNGGN57TIHJ0pPTJg','QzC1DIOoVxcNiWqhpiEW9g')"
71315,ARZU ATALAY AKAN,1998,Tek taraflı iliak ya da femoral tıkanıklıklarda yapılan bypasslar ile radyolojik girişimlerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of bypass and radiologic procedure performed in uniiliac or unifemoral arterial obstructions,Ankara Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery ; Kardiyoloji = Cardiology," onclick=tezDetay('WH1gQWCOwMiDd94Ik-19vw','WH1gQWCOwMiDd94Ik-19vw')"
71316,HAYRETTİN VAROLGÜNEŞ,1998,Ratlarda karın duvarı fasyası ve kolon anastomozu iyileşmesi üzerine bFGF ve Fenitoin\'nin etkileri<br><span style='font-style: italic';>The Effects of bFGF and fenitoin on healing abdominal wall fascia and colon anastomoses in rats,Ankara Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('3BOAAN6wIlXFkjPeySQgfQ','3BOAAN6wIlXFkjPeySQgfQ')"
71336,ALP ASLAN,1998,"Kristaloid kardiyopleji ve kan kardiyoplejisinin klinik, biyokimyasal ve radyonüklid yöntemler kullanılarak karşılaştırılması (Klinik çalışma)<br><span style='font-style: italic';>Comparison of cristalloid and blood cardioplegia by clinical, biochemistrical and radionuclide methods",Ankara Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('LLRLyZeDJvJ8Q2naUy3TvA','LLRLyZeDJvJ8Q2naUy3TvA')"
71337,HİKMET YÜCEL,1998,Patellofemoral ağrı sendromunun sıçrama üzerine etkileri<br><span style='font-style: italic';>Influence of patellofemoral pain syndrome on jumping performance,Ankara Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('hVepnQhH3U-uB4oWv97Inw','hVepnQhH3U-uB4oWv97Inw')"
71367,CÜNEYT TEMİZ,1998,"Tavşan orta serebral arter iskemisi modelinde değişik dozlarda L-arginin\'in bölgesel serebral kan akımı, infarkt alanı, doku ödemi ve penumbral bölge kan nitrat-nitrit düzeyleri üzerine etkisi<br><span style='font-style: italic';>Effects of different dozes of L-arginine on regional cerebral blood flow, infarction area, tissue edema and penumbral zone nitrite-nitrate levels at the model of rabbit middle cerebral artery occlusion",Ankara Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('HOUMOCg6B4O446lfs44H-w','HOUMOCg6B4O446lfs44H-w')"
71368,SÜLEYMAN ŞEFİK ATABEKOĞLU,1998,Major hepatektomi sonrası erken dönem portal basınç artışının karaciğer fonksiyonu üzerine etkileri<br><span style='font-style: italic';>The Effect of increased portal pressure on liver function early after major hepatectomy,Ankara Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery ; Onkoloji = Oncology," onclick=tezDetay('db-YsWLg88-ZKo-s9b0nyQ','db-YsWLg88-ZKo-s9b0nyQ')"
