tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
635082,FEYZULLAH ÇELİK,2020,Renal taş tedavisinde flexibl üreterorenoskopi  ile  lazer litotripsi  sonrası enfektif komplikasyonları etkileyen faktörler<br><span style='font-style: italic';>Factors affecting infective complications after laser lithotripsy with flexible ureterorenoscopy in renal stone treatment,Atatürk Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('xXt7PB5zxEbWyEFGwiPKZg','Dei11w5-vE6F2A609ihzaw')"
329967,SAİD ALĞAN,2013,Topikal negatif basınç uygulaması (tnb) ile fiziksel flep geciktirme yöntemi: Tavşanlarda deneysel çalışma<br><span style='font-style: italic';>Physical flap delay technique using topical negative pressure: An experimental study with rabbits,Atatürk Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('h5f95Gs7k8YIWgDR6gxvLQ','ePhinbrJrFbw1R4QIVp42A')"
420164,AMİNE ÖNER,2016,"Erzurum ilinde, aile hekimliğinde hizmetin sürekliliğinin ölçülmesi<br><span style='font-style: italic';>Measurement of continuity of care in family practice in Erzurum",Atatürk Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('UENQvtl3vbqFtNYFykRJWg','jSrw4Jx4NWbWV2_N9uAGsA')"
324062,AHMET YALÇIN,2013,Kognitif bozukluğun eşlik ettiği multipl sklerozlu hastalarda perfüzyon ağirlikli manyetik rezonans görüntüleme<br><span style='font-style: italic';>Perfusion weighted magnetic resonance imaging in patients with cogntive impaired multipl sclerosis,Atatürk Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('ECCB610qLuiQA_0cJNbqwg','kvLH1dYw4IRGjUPUsSDkvA')"
361421,RECEP YEVGİ,2014,Fingolimod tedavisi başlanan multipl skleroz hastalarında total oksidatif stres ve total antioksidan kapasitenin değerlendirilmesi<br><span style='font-style: italic';>The assessment of  total oxidative stress and total antioxidant capacity in the patient with multiple sclerosis cured with fingolimod treatment,Atatürk Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('LA4SDHjcP2VO__GL1E5yhg','2P2yzbf-ftG852yplfIbWA')"
613786,ELİF AKTAŞ YAPICI,2019,Hiperkapnik solunum yetmezliğinde etyolojinin araştırılması<br><span style='font-style: italic';>Investigation of etiology in hypercapnic respiratory failure,Atatürk Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('GKzPKcwNCT-DsgNkwH876w','7g0wQEXXsUZCQlNWuPtAag')"
517787,DURSUN EROL AFŞİN,2018,Gebelerde sigara içme durumunun değerlendirilmesi ve sigaranın zararları konusunda bilgi düzeylerinin tespiti<br><span style='font-style: italic';>Assessing the smoking status of pregnancies and determining the level of knowledge about the harms of cigarettes,Atatürk Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('e3JEq5H09dgPzWZr6QtZxA','hOcZqOJFPAKdzh3glaas2g')"
479075,TURGAY ARAS,2017,Gebelikleri boyunca D vitamini takviyesi almış ve almamış gebelerde ve eş zamanlı bebeklerin kord kanında vitamin D düzeyinin sosyodemografik verilerle ilişkisi.<br><span style='font-style: italic';>The relation between vitamin D levels in gravidas with and without vitamin D supplementation in pregnancy and in synchronous babies\' cord blood and sociodemographic data,Atatürk Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('zlv785iMMpRgk8-QE2BYOg','AotuHlWJ1vyHL4M25RV-ZQ')"
652463,İBRAHİM TİRYAKİ,2020,Egzersizin dikkat eksikliği hiperaktivite bozukluğu tanısı olan ve omayan çocuk ve ergenlerde nöropsikolojik test performansları üzerine akut etkisinin işlevsel yakın kızılötesi spektroskopi (FNIRS) yöntemiyle değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the acute effect of exercise on neuropsychological testperformance in children and adolescents with and without attention deficit hyperactivity disorder by functional near infrared spectroscopy (FNİRS),Atatürk Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('nd5R2JyZS26eSuvp3ISuZQ','cr9DwD8l9_y5tUm05YG_4w')"
324066,İBRAHİM SELÇUK ESİN,2013,Okulda sorun davranışı olan öğrencilerde psikopatoloji ve ilişkili psikososyal faktörler<br><span style='font-style: italic';>Psychopathology and related psychosocial factors in children with conduct problems at school,Atatürk Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('9ciwG1my-TItgoNMACQpfA','JLUkINZeE2EBzahIavRU4g')"
625828,HACI AHMET AYDEMİR,2020,Atatürk Üniversitesi Tıp Fakültesi eğitim aile sağlığı merkezlerine başvuran metabolik sendromlu hastalarda obstrüktif uyku apne sendromu riskinin araştırılması<br><span style='font-style: italic';>Investigation of obstructive sleep apnea syndrome risk in patients with metabolic syndrome who apply to Ataturk University Medical Faculty educational family health centers,Atatürk Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('_WahuECQhy4_zXG3lHOrgA','W6ysy_Tp-SKVM1UwKuuoJA')"
633934,BÜŞRA BAYDEMİR KILINÇ,2020,Atatürk Üniversitesi Tıp Fakültesi Adli Tıp anabilim dalında 2016-2018 yılları arasında adli değerlendirmesi yapılan çocuk travma olgularının retrospektif incelenmesi<br><span style='font-style: italic';>A retrospective investigation of forensic assessment of child trauma cases in Atatürk University Faculty of Medicine forensic medicine department between 2016 and 2018,Atatürk Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('FUcffPX4uA5iJqQfBDkZHQ','gRL52JEVJ-cUwcbLMpAWcw')"
462405,ÇAĞRI KARA,2017,Erzurum\'da otopsileri yapılan asıya bağlı ölümlerin değerlendirilmesi<br><span style='font-style: italic';>Assessment of autopsied deaths DUE to hanging in Erzurum,Atatürk Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('L91kJmBxgcd54t2MTAldUA','VMEB1k-OopYFgWbRLHr54w')"
549714,MEHMET SEFA ALTAY,2019,Prostat spesifik antijen yüksekliği ve rektal tuşede özelliği olan hastalarda multiparametrik prostat MRG\'si ile prostat biyopsisinin karşılaştırılması<br><span style='font-style: italic';>The comparison of multiparametric prostate MRI and prostate biopsy in patients with prostate specific antigen height and abnormal rectal examination,Atatürk Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('LTlno7YEVFuSBmdeUlvnJA','Nz8-9g1MhifBlI7l9D401A')"
462407,MEVLANA ÖMEROĞLU,2017,ST elevasyonlu - elevasyonsuz miyokard enfarktüsü olan hastalarda faktör 8 düzeylerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of factor 8 levels in patients with st elevated – NON ST elevated myocardial infarction,Atatürk Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('uPxpDDUq7oPimQbVB0iZWg','EtGa3UTvk-ISozx_8TX4vw')"
672014,MUHAMMET MUTLU,2021,Çocukluk çağı aşıları hakkında ebeveynlerin tutumları ölçeğinin Türkçe geçerlilik ve güvenilirlik çalışması<br><span style='font-style: italic';>Turkish validity and reliability study of the parent attitudes about childhood vaccines scale,Atatürk Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('p4MGlWi91LwXZIS0OzZjng','eD_3UkMQft-SxN-lekhbYQ')"
578238,REMZİYE DOĞAN,2019,"İleri aort darlığı tanısıyla tavi (transkatater aortik kapak implantasyonu) işlemi  uygulanan hastalarda perioperatif ve hastane içi mortalite tahmininde  syntax skoru ıı ,  euroscore ve sts skorlarının karşılaştırılması<br><span style='font-style: italic';>Comparison of syntax II score, euroscore and sts scores for perioperative and in-hospital mortality prediction in patients who underwent tavi (transortic valve implantation) procedure for severe aortic stenosis.",Atatürk Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('2spQNLJeixD67rChyJQY6A','SC5UPtpxSoWgfdSe7C4bXw')"
