tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
625758,NAZMİ MUTLU KARAKAŞ,2010,Anne ve bebek interlökin-6 geni promotor bölgesindeki -174 g/c polimorfizminin yenidoğan morbiditesi ve gebelik sorunları ile ilişkisinin araştırılması<br><span style='font-style: italic';>The relationship of il-6 (174 g/c) gene polymorphism of mothers and their infants with neonatal and perinatal morbidity,Başkent Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('BjW6dyGAc1PDQyd9oHIuaA','6bKFsuWurJx96JoePfsJcw')"
369880,ÖZGÜR ÖZÇEREZCİ,2014,Yenidoğan yoğun bakım ünitesinde preterm ve term bebeklerde genişlemiş spektrumlu beta-laktamaz salgılayan gram negatif  mikroorganizma enfeksiyonları<br><span style='font-style: italic';>ESBL producing gram negative bacteria infections among term and preterm newborns in neonatal intensive care unit,Başkent Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('fITMKecDs50swmR7dnFeNg','msvgX_ymj-Z6XqbleoaE5A')"
412017,HAKAN YABANOĞLU,2009,"Çoklu antibiyotik dirençli, pseudomonas aeroginosa enfeksiyonu oluşturulmuş ratlarda topikal antimikrobiyal ajanların (sitrik asit %3, klorheksidin asetat %0.5 (bactigras®), gümüş sülfodiyazin %1 (silverdin®) ve silver-coated dressing (acticoat®)) etkinliğinin değerlendirilmesi:<br><span style='font-style: italic';>Çoklu anti̇bi̇yoti̇k di̇rençli̇, pseudomonas aerogi̇nosa enfeksi̇yonu oluşturulmuş ratlarda topi̇kal anti̇mi̇krobi̇yal ajanlarin (si̇tri̇k asi̇t %3, klorheksi̇di̇n asetat %0.5 (bacti̇gras®), gümüş sülfodi̇yazi̇n %1 (si̇lverdi̇n®) ve si̇lver-coated dressi̇ng (acti̇coat®)) etki̇nli̇ği̇ni̇n değerlendi̇ri̇lmesi̇:",Başkent Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('YcIKcgCiqyKD-8CiFgOaUQ','XOB52SMf8T1eikXLyl8vpQ')"
429140,GÜLİZ ÖZCAN,2016,Son dönem böbrek yetmezliği hastalarında beyaz cevher değişikliklerinin beyin diffüzyon tensör görüntüleme ile değerlendirilmesi<br><span style='font-style: italic';>Diffusion tensor imaging of white matter changes in end stage renal disease,Başkent Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('io3QMFdAHf2dfzv6W9CHNQ','8G9lpXa0S3cmHDOhRxpEIg')"
683379,MÜBERRA TURAN,2021,Meme kanseri tanısında klinik meme muayenesinin etkinliği<br><span style='font-style: italic';>Effectiveness of clinical breast examination in the diagnosis of breast cancer,Başkent Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('t6mlRTZSboLc1779WCcLMA','RCLI6y9Hhxiuhe3b2Qqxbw')"
480101,İLKAY KILIÇ MÜFTÜOĞLU,2012,"Primer açık açılı glokom, preperimetrik glokom ve oküler hipertansiyon olgularında heidelberg retina tomografi ve optik koherens tomografi bulgularının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of heidelberg retinal tomography and optic coherence tomography findings in cases with primary open angle glaucoma, pre-perimetric glaucoma and ocular hypertension",Başkent Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('dHGGfYreRL0tZVZ1yQ_nDA','8hUEO-7CxnKUZD4V66yyJQ')"
421972,FATMA SEVİN COŞAR AYAZ,2003,Akut renal disfonksiyon gelişen renal transplant  alıcılarında Tc-99m DTPA ve Tc-99m MAG3 renal sintigrafilerinin tanısal değerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the diagnostic values of Tc-99m DTPA and Tc-99m MAG3 renal scintigraphy in acute renal allograft dysfunction,Başkent Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('HpSMJPQHO0PO0N84iLRlRw','2AxnNobk_7EJoCe5FZXIyg')"
658892,SAADET DEMİRTAŞ,2009,Son dönem kronik karaciğer yetersizliği olan hastalarda koroner akım rezervinin değerlendirilmesi<br><span style='font-style: italic';>Assessment coronary flow reserve in patients with end stage liver disease,Başkent Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('QKQ3aUVISo4lHJdp_2IUUQ','Sc3XbAcxwvYCXDWIpz_0TQ')"
369882,BİRAND TANERİ,2014,"Acil servisde acil tıp hekimlerinin organ bağışı sürecinde yönetim, duyarlılık ve farkındalıkları<br><span style='font-style: italic';>The role of emergency physicians about organ donation and organ transplantation at the emergency department",Başkent Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('Niey17Z32gP7buBBCwpaRw','DgtC9pfV5HvT-tiDNgsqsw')"
514077,VİLDAN ŞAHİN,2018,Böbrek ve üriner sistem konjenital anomalisi (CAKUT) olan hastalarda BMP4 gen mutasyonunun önemi<br><span style='font-style: italic';>The importance of BMP4 gene mutation in patients with renal and urinary tract congenital anomaly (CAKUT),Başkent Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('vobsnsLHhuIRLS2jh1jj7A','MlvhZ9RLBJ0Yi30WLBumKg')"
661667,FATMA ÇORAK EROĞLU,2010,Akomodatif ve infantil ezotropya olgularında kalıtım sıklığı ve kalıtım özelliklerinin belirlenmesi ve myozin 13 ağır zincir geni dizi analizinin yapılması<br><span style='font-style: italic';>Determination of inheritance frequency and heredity characteristics in accommodative and infantile esotropia cases and performing sequence analysis of myosin 13 heavy chain gene,Başkent Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('Q-y2kPQDN_3sf9BfloM_7A','hth8JPTTLLa-X6l7BblTGw')"
