tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
289080,ALİ CEM AKPINAR,2011,Resveratrolün sıçan random deri fleplerinin yaşayabilirliği üzerine etkisi: Deneysel çalışma<br><span style='font-style: italic';>The effect of resveratrol on the survival of random skin flaps in rats: An experimental study,Bezm-i Alem Vakıf Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('2aQUcr4MGp5D7U1ohuBD_A','ZG6v1bshqk8MYCC5KEn9MA')"
417296,EMİNE YILMAZ GÜLER,2015,Kalça protezlerinde postoperatif analjezi için kullanılan epidural infüzyon ve bolus tekniklerinin karşılaştırılması<br><span style='font-style: italic';>Compare the effectiveness of epidural bolus administration to continuous ei in posoperative pain treatment after total hip arthroplasty,Bezm-i Alem Vakıf Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('ddnMalaacOljiGpDHOajYA','8Bu--kdA1bM7HHXKCRld-Q')"
604506,MEHRIBAN ALIYEVA,2019,Fetal kilo tahmininde yumuşak doku kalınlık ölçümünün kullanılması<br><span style='font-style: italic';>Soft tissue thickness measurement in fetal weight estimation,Bezm-i Alem Vakıf Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('juLwiOEqXbt5O6ubhuYPCg','eLMsS9YMgyq1M9OtGwh9dQ')"
289081,AZİMET ÖZDEMİR,2011,0-6 yaş grubu çocuklarda el yaralanmalarının retrospektif analizi: Klinik çalışma<br><span style='font-style: italic';>Retrospective analysis of hand injuries in children aged between 0 and 6 years: Clinical study,Bezm-i Alem Vakıf Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('_k5PbWabSVHjDwGkyVaLxQ','bXzqMadSPMp7JXWtA_AlQA')"
452902,CEVPER ERSÖZ,2012,"İki santimetreden küçük, beden dışı şok dalgalarına dirençli böbrek taşları tedavisinde minimal invaziv Mikro-Perkütan Nefrolitotominin etkinliği ve güvenilirliği<br><span style='font-style: italic';>Efficiency and safety of minimal invasive Micro Percutaneous Nephrolithotomy in renal stones which is resistant to extracorporeal shock wave lithotripsy and less than two centimeter",Bezm-i Alem Vakıf Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('UmD0tkxhOe3bo7ttlU1J2A','mPiVFnuQlz8KyXH7bq9Y-w')"
526011,BERNA ÜRKMEZ,2018,İnmeli hastalarda erken dönem rehabilitasyonun öneminin difüzyon tensör traktografi verilerine dayanılarak gösterilmesi<br><span style='font-style: italic';>Demonstration the importance of the early rehabilitation in stroke patients based on diffüsion tensor imaging data,Bezm-i Alem Vakıf Üniversitesi,Tıpta Uzmanlık,Fizyoterapi ve Rehabilitasyon = Physiotherapy and Rehabilitation," onclick=tezDetay('QjXqRx6BzrCCuBBi7Gv8aw','_D3-0tUEqt0Rhm9ReeDIyg')"
289092,NEŞE KARPUZ,2011,Karaciğer sirozlu olgularımızda sirotik kardiyomiyopatiyle ilgili belirli biyokimyasal ve ekokardiyografik parametrelerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of certain biochemical and echocardiographic parameters related to cirrhotic cardiomyopathy in liver cirrhosis cases,Bezm-i Alem Vakıf Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases ; Kardiyoloji = Cardiology," onclick=tezDetay('HvO9lrw-Vq1aOOl-y8h4cw','MwpqbuEzaYUe7wWEyx2H0A')"
526069,AYKUT ÖZMEN,2017,Kronik karaciğer hastalıklarında 25(OH) Vitamin D düzeylerinin incelenmesi<br><span style='font-style: italic';>Investigation of 25 (OH) Vitamin D levels in chronic liverdiseases,Bezm-i Alem Vakıf Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('hKr8ZjV_Hno-uCunfKkojg','zKkVLI6dxsg28sW6LdpT9A')"
709612,IRANA GORCHIYEVA,2021,Sezaryen sonrası normal doğum planlanan gebelerde sonografik uterin alt segment kalınlık ölçümünün prediktif değeri<br><span style='font-style: italic';>Predi̇cti̇ve value of sonographi̇c measurement of lower uteri̇n segment,Bezm-i Alem Vakıf Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('cBF0mYhk1hhhPB_sJ0Jvow','mbB3tTcr3gmRQSGgdBHs-w')"
655627,YUNUS KAYALI,2019,Prostat spesifik antijen (PSA) yüksekliği nedenli antibiyotik tedavisi alan hastalarda tedavi sonrası prostat spesifik antijen (PSA) değişiminin ve multiparametrik prostat manyetik rezonans görüntüleme (MRG) ile yapılan prostat kognitif füzyon biyopsisinin prostat kanserini saptamadaki tanısal değeri<br><span style='font-style: italic';>The diagnostic value of prostate specific antigen (PSA) change after receiving antibiotic therapy due to prostate specific antigen (PSA) elevation and prostate cognitive fusion biopsy with multiparametric prostate magnetic resonance imaging (MRI) in detecting prostate cancer,Bezm-i Alem Vakıf Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('I-84iJvG24RlVwIoaon3uw','rUsrcenWtvi6_0pBZqnEbg')"
