tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
484067,MÜNİRE IŞLAK DEMİR,2018,Yozgat ilinde farklı yaş gruplarında epsteın barr virüs immünglobulin g seroprevalansının belirlenmesi<br><span style='font-style: italic';>Determination of epstein barr virus immunoglobulin g seroprevalation in different age groups in Yozgat,Bozok Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('EjSLTHNc1XaC06hpZCCrjA','DaXXB-z2XU_gx1MevVBchg')"
445257,ŞÜKRAN BEKDEMİR,2016,Konjonktivaşalazisin gözyaşı MMP-9 ve oküler yüzey üzerine etkisi<br><span style='font-style: italic';>The effect of conjunctivochalasis on tear MMP-9 level and ocular surface,Bozok Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('NjPpNoeV_SfsUbNH7vlLfQ','vwukxG9kHQsDXTDmANPP5g')"
474591,ADEM KARA,2017,Tip 2 diabetes mellitus\'ta diyabetik nöropati ile osteoporoz ilişkisi<br><span style='font-style: italic';>Type 2 diabetes in diabetic mellitus neuropathy and osteoporosis relationship,Bozok Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('5ZjlLOskoaKiGSUK7XgRcA','z0TnLZXZMba3RJ0HjrGS_A')"
451079,REHA AYDIN,2017,Septum deviasyonu olan hastalarda preoperatif ve postoperatif olfaktor bulbus volümleri ve koku fonksiyonlarının karşılaştırılması<br><span style='font-style: italic';>Comparison of preoperative and postoperative olfector bulbus volumes and odor functions in patients with septum deviation,Bozok Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('UpCTHk1mRT32AaVca0TOlw','YKAizmUZSXnVqvT1IFgl0Q')"
445256,AKİF DEMİREL,2016,Ortopedik alt ekstremite cerrahisinde spinal anestezi ile kombine femoral ve siyatik bloğun; Hemodinamik etkiler ve anestezik-analjezik etkinliğinin karşılaştırılması<br><span style='font-style: italic';>The comparison of the spinal anesthesia and combined femoral and sciatic block in terms of hemodynamic and anesthetic-analgesic effects in orthopedic lower extremity surgery,Bozok Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('gqodsrSzw6YCOlZmZTOaUg','CLPATIcDWVlz-Ldgfdb8NA')"
496897,MUHİTTİN ATAR,2018,Böbrek ve üreter taşlarının kontrastsız bilgisayarlı tomografi üzerinde hesaplanan hounsfield ünitesinin holmium yag laser ile yapılan üreterorenoskopi ve retrograd intrarenal cerrahi tedavisinde fragmantasyon üzerindeki etkisi<br><span style='font-style: italic';>Effect of holmium laser measured in computerized tomography on fragmentation in retrograde intrarenal surgery and ureterorenoscopy performed with holmium yag laser for treatment of kidney and ureter stones,Bozok Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('rHDB67kLHSvPB2fnb9-HkQ','xUZmIpL-1QpBORXFLjeIdg')"
445258,İLYAS PIRTI,2016,"Non-alkolik yağlı karaciğer hastalığı ile sistatin c, neutrophil gelatinase-associated lipocalin (NGAL) arasındaki ilişki<br><span style='font-style: italic';>",Bozok Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('H-jhOF4TtHP7Hrc4MLaNdQ','yRN99QOI8GjZXeMBnJImkw')"
479924,MUHAMMED GÖMEÇ,2017,Sıçanlarda Ganoderma lucidumun mezenter iskemi- reperfüzyon hasarı üzerindeki iyileştirici etkileri<br><span style='font-style: italic';>The healing effects of ganoderma lucidum on mesenteric ischemia-reperfusion injury in rats,Bozok Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('0R7DF0N37sLoEph74gnjHA','ex1OwMb715Qe9VO8WTJPAg')"
450813,ÖZLEM ŞİMŞEK TANIN,2017,Normal gebeler ile gestasyonel diyabetli gebelerde glukoz yıkım ürünleri ve reseptörlerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of glucose degradation product and receptor levels in diabetic and normal pregnancy,Bozok Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('7YvddIVD4iT_KoonOhiHAw','EgqgRkl-aL6wdkPiUr4mOg')"
723579,MESUT BEK,2022,Epizodik gerilim tipi başağrısı olan hastaların kognitif fonksiyonlarını değerlendirme<br><span style='font-style: italic';>,Bozok Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('X4pP0NRbdYG_GozIsssmrg','A0LmIvSAszGrwj-JBmhgYQ')"
