tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
666510,GÜLCE YÖRÜK,2021,Çocuk hematoloji kliniği ve polikliniğinde tedavi gören hastaların katater komplikasyonlarının retrospektif incelenmesi<br><span style='font-style: italic';>Catheter complications of patients treated in pediatric hematology clinic and polyclinic: Retrospective study,Bursa Uludağ Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('B-1C5hpVVLXi6JyOdT6R4A','Vt9qfY3MjtMUUB-42QKaiw')"
572228,ABDULHAKİM GÜNEŞ,2019,Hipertiroidi tanısı alan olguların retrospektif olarak değerlendirilmesi<br><span style='font-style: italic';>The patients with hypertyroidia diagnosis retrospective evaluation,Bursa Uludağ Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('S-yg1XvgbfcK09W1cuWrMA','pAwzAvW-CI42jx32YR_ivA')"
519190,KEREM ÖZTÜRK,2018,Glial beyin tümörlerinin evrelendirilmesinde T1 ağırlıklı kontrast ajanı bolus izleme tekniği ile elde olunan perfüzyon manyetik rezonans görüntülemenin rolü: Glial tümörün moleküler belirteçleri ile retrospektif korelasyonu<br><span style='font-style: italic';>Quantitative analysis of dynamic contrast-enhanced T1-weightedperfusion MR imaging identifies glioblastoma molecular phenotypes viatumoral and peritumoral approach: Preliminary results with majorgenomic biomarkers,Bursa Uludağ Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('tyGF6Xkva1zRNK8YVZ_44w','9QdQ99pDEgZTtU8mHSExJA')"
541360,HİKMET UTKU ODMAN,2019,Böbrek nakli alıcılarında diyaliz giriş yolunun graft fonksiyonları üzerine etkisinin retrospektif incelenmesi<br><span style='font-style: italic';>Retrospective analysis of the effect of arteriovenous fistula on graft functions in kidney transplant recipients,Bursa Uludağ Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('L13sZWScPdrXyPnP_iE5pg','-eIh7MR0SbqzM_5ZhFX32g')"
607435,AYLİN ORHANER,2019,"Akut fetal distres nedeniyle operatif doğum yaptırılan hastaların fetal monitorizasyon ile fetal umblikal arter kan gazı, apgar skorunun korelasyonun değerlendirilmesi<br><span style='font-style: italic';>Operative delivery due to acute fetal distressevaluation of corelation of fetal monitorization and fetal umblycal artery blood gas and apgar score",Bursa Uludağ Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('RlWE2b2E6X5vhVaT3xZbpA','2_hRTQRC6wkJ5jSGFKPZ0w')"
572799,MUSTAFA ÖZGÜR KAYA,2019,Bursa ili birinci basamak hekimlerinde egzersiz reçeteetme ve sağlıklı yaşam danışmanlığı değerlendirilmesi<br><span style='font-style: italic';>Evaluation of exercise prescription and healthy life consultancy among primary care physicians in Bursa,Bursa Uludağ Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('n0MXgOhmxF76u8ikLu-lkA','fcNMFMtpn8h5OIIVPQz2lQ')"
657081,ALİCAN AYGÜN,2020,Psiko-yasal değerlendirmesi yapılan çocuk ve ergenlerin sosyodemografik ve psikopatolojik verilerinin retrospektif incelenmesi<br><span style='font-style: italic';>Retrospective analysis of sociodemographic and psychopathological data of children and adolescents WHO have a psycho-legal assessment,Bursa Uludağ Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('dmWXyZsC7n3w_2NtjezDuA','ckBoSSZtCOKpcD73qlRmlg')"
704182,AYŞEN GÖKBEL ASLANKAYA,2021,Evli çiftler arasında kronik hastalıklara ve yaşam tarzı faktörlerine ilişkin eş uyumu<br><span style='font-style: italic';>Spousal concordance between married couples regarding to chronic diseases and lifestyle factors,Bursa Uludağ Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('J0-__o8DKvhTpi5bCf0lQw','2LeZGAdOY7a6U6lQqe42Ww')"
666514,BARIŞ ÇAĞLAR,2021,Multimodal ultrasonografi incelemesinin tiroid nodül karakterizasyonundaki rolü ve histopatoloji sonuçlarının retrospektif karşılaştırılması<br><span style='font-style: italic';>The role of multimodal ultrasonography evaluation in thyroid nodule characterization and retrospective comparison of histopathology results,Bursa Uludağ Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('LL-3ZXuUAdBg9tkPoOzw9w','5XNE6f2l6OoBiShFBa0elQ')"
719493,ZEYNEP DEMİRCİ,2021,Kronik hastalığı olan bireylerde sağlık okuryazarlığı düzeyi ile kronik hastalık uyum düzeyi ilişkisinin incelenmesi<br><span style='font-style: italic';>Examination of the relationship between health literacy and the level of adaptation to disease in individuals with chronic diseases,Bursa Uludağ Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('8A-X-XWQrBqti4IhYVl3iQ','tN2conPDu3skS1xH_0gNMQ')"
